question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"In the German Nationwide Survey, what was the incidence of pulmonary embolism after bariatric surgery, and what was the incidence of VTE after gastric banding according to the BOLD Registry?",PMC3400389_00002.txt,multihop,llama4-maverick,1,0,1,1,1,1.0,538,56,2358.4,0.000114,"According to the text, the incidence of pulmonary embolism (PE) after bariatric surgery in the German Nationwide Survey was 0.08%. The incidence of VTE after ga",,1,0,1,1,1,1.0,630,60,2183.3,0.000131,"According to the provided context, the incidence of pulmonary embolism (PE) after bariatric surgery in Germany between 2005 and 2010 was 0.08%. The BOLD Registr",,1,0,1,1,1,1.0,715,55,2170.7,0.00014,"According to the text, the incidence of pulmonary embolism (PE) after bariatric surgery in the German Nationwide Survey was 0.08%. The BOLD Registry reported an",,1,0,1,1,1,1.0,811,246,7178.3,0.000269,"To answer this question, we need to look at the information provided in the text context and the knowledge-graph facts.  The text context mentions that ""re OF E",
"What is the odds ratio for headache in individuals with chronic pain, and what is it for back pain?",PMC4913715_00002.txt,multihop,llama4-maverick,0,0,1,0,0,0.0,490,70,2752.7,0.000115,I don't know. The provided context doesn't mention the odds ratio for headache in individuals with chronic pain or back pain. It does mention odds ratios for ce,,0,0,1,0,0,0.0,518,110,4075.9,0.000144,I don't know. The provided context passages and knowledge-graph facts do not contain information about the odds ratio for headache in individuals with chronic p,,0,0,1,0,0,0.0,629,87,3353.1,0.000147,I don't know. The provided text context and image descriptions do not contain information about the odds ratio for headache in individuals with chronic pain or ,,0,0,1,0,0,0.0,661,40,2474.3,0.000123,I don't know. The provided text context and knowledge-graph facts do not mention the odds ratio for headache in individuals with chronic pain or back pain. The ,
"What does the new global dataset on killings of journalists between 2002 and 2013 reveal about the perpetrators of all killings, and what does the analysis show about the likelihood of state repression deteriorating in the following two years after journalists are killed?",PMC5427995_00002.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,450,75,3278.0,0.000112,"According to the text, the new global dataset on killings of journalists between 2002 and 2013 reveals that for most killings, the perpetrators usually remain u",,1,1,1,1,1,1.0,534,69,3176.1,0.000121,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,,1,1,1,1,1,1.0,616,75,4088.9,0.000137,"According to the text, the new global dataset on killings of journalists between 2002 and 2013 reveals that across all killings, the perpetrators usually remain",,1,1,1,1,1,1.0,704,69,3055.6,0.000147,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,
"What percentage of Native Hawaiians and other Pacific Islanders were among the highest of all ethnic groups for obesity, and what type of program was culturally adapted to reduce diabetes and improve weight and exercise in worksites serving these populations?",PMC4927448_00000.txt,multihop,llama4-maverick,1,0,1,1,1,1.0,491,70,3114.2,0.000116,"According to the text, 72.5% of Native Hawaiians and 27% of other Pacific Islanders were among the highest of all ethnic groups for obesity. The PILI@Work Progr",,1,1,1,1,1,1.0,502,68,3213.0,0.000116,"According to the provided context, 72% of Native Hawaiians and other Pacific Islanders (27%) were among the highest of all ethnic groups for obesity. The PILI@W",,1,0,1,1,1,1.0,622,73,2502.9,0.000137,"According to the text, 72.5% of Native Hawaiians and 27% of other Pacific Islanders were among the highest of all ethnic groups for obesity. The PILI@Work Progr",,1,1,1,1,1,1.0,637,71,3319.3,0.000138,"According to the text context, 72.5% of Native Hawaiians and 27% of other Pacific Islanders were among the highest of all ethnic groups for obesity. The PILI@Wo",
"What is the retention factor for moxonidine under the optimal HILIC conditions, and what is the recovery percentage for impurity A?",PMC5101389_00000.txt,multihop,llama4-maverick,0,0,1,1,1,1.0,420,54,3351.9,9.5e-05,I don't know. The provided context does not contain the retention factor for moxonidine under the optimal HILIC conditions or the recovery percentage for impuri,,0,0,0,1,1,1.0,529,103,5464.9,0.000141,I don't know.   Reasoning: The provided context passages and knowledge-graph facts do not contain information about the retention factor for moxonidine under th,,0,0,1,1,1,1.0,570,74,2321.1,0.00013,I don't know. The provided text context and image descriptions do not contain information about the retention factor for moxonidine or the recovery percentage f,,1,0,1,1,1,1.0,683,43,1647.1,0.000128,I don't know. The provided text context and knowledge-graph facts do not contain information about the retention factor for moxonidine or the recovery percentag,
"What is the vapor pressure of 1-butanol at 304 K, and what is the vapor pressure of 1-nonanol at the same temperature?",PMC5704694_00001.txt,multihop,llama4-maverick,0,0,0,1,1,1.0,495,5,408.3,7.7e-05,I don't know.,,0,0,0,1,1,1.0,506,5,397.5,7.9e-05,I don't know.,,0,0,1,1,1,1.0,678,35,1770.6,0.000123,I don't know. The provided text context and image descriptions do not contain information about the vapor pressure of 1-butanol or 1-nonanol at 304 K.,,0,0,0,1,1,1.0,693,5,631.1,0.000107,I don't know.,
"What is the number of cases reported for the 20–24 age group in the 2013 data, and what is the corresponding number for the 25–29 age group?",PMC4359599_00004.txt,multihop,llama4-maverick,0,0,0,0,0,0.0,662,5,464.9,0.000102,I don't know.,,0,0,0,0,0,0.0,687,5,605.7,0.000106,I don't know.,,0,0,1,0,0,0.0,800,45,2310.6,0.000147,I don't know. The provided text context and image descriptions do not contain information about the number of cases reported for the 20–24 age group and the 25–,,0,0,0,0,0,0.0,829,5,530.6,0.000127,I don't know.,
"What is the age range of the males with FXS in the Repetitive Behavior Questionnaire study, and how many such individuals were included?",PMC5467057_00021.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,483,28,1051.6,8.9e-05,"The age range of the males with FXS in the study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1,1.0,519,28,1005.2,9.5e-05,"The age range of the males with FXS in the study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1,1.0,626,32,910.1,0.000113,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study was 6-17 years, and there were 191 individuals included.",,1,1,1,1,1,1.0,666,32,1540.7,0.000119,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study was 6-17 years, and there were 191 individuals included.",
"What is the correlation between wave V latency and implant experience in the prelingual group, and what time constant describes the exponential decay of wave V latency on the middle electrode in prelingual subjects?",PMC4569605_00005.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,569,68,1899.9,0.000126,"According to the text, in the prelingual group, wave V latency is significantly correlated to implant experience with a correlation coefficient (r) of -0.706 (P",,1,0,1,1,1,1.0,627,65,1428.9,0.000133,"According to the provided context, in the prelingual group, wave V latency was significantly correlated to implant experience (r = -0.706, P = 0.04). The time c",,1,0,1,1,1,1.0,731,71,1898.7,0.000152,"According to the text, in the prelingual group, wave V latency was significantly correlated to implant experience with a correlation coefficient (r) of -0.706 a",,1,1,1,1,1,1.0,793,68,2182.9,0.00016,"The correlation between wave V latency and implant experience in the prelingual group is significant, with a correlation coefficient (r) of -0.706 and a p-value",
What was the effect of celecoxib treatment on the escape latency and path length in diabetic rats compared to the diabetic group?,PMC5486519_00004.txt,multihop,llama4-maverick,0,0,1,1,1,1.0,504,56,1485.9,0.000109,"The celecoxib treatment significantly increased the escape latency and decreased the path length in diabetic rats compared to the diabetic group, suggesting tha",,0,0,1,1,1,1.0,582,36,993.9,0.000109,"The celecoxib treatment significantly increased escape latency and path length in diabetic rats compared to the diabetic animals, suggesting that celecoxib trea",,1,1,1,1,1,1.0,700,39,1670.5,0.000128,"The escape latency and path length in diabetic rats treated with celecoxib were significantly decreased compared to the diabetic animals, suggesting that celeco",,0,0,1,1,1,1.0,782,38,2953.6,0.00014,"The celecoxib treatment significantly increased the escape latency and path length in diabetic rats compared to the diabetic animals, suggesting that celecoxib ",
