question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"Which coreference resolver ranks best on the CoNLL development and test sets, and what is the performance ranking of the same systems when evaluated on the WikiCoref dataset?",1708.00160v2.txt,multihop,gpt4o-mini,0,1,1,1,1,1.0,448,71,2431.0,0.00011,"The coreference resolver that ranks best on the CoNLL development and test sets is the model of Lee et al. (2017). However, when evaluated on the WikiCoref data",,0,1,1,1,1,1.0,526,71,2126.0,0.000121,"The coreference resolver that ranks best on the CoNLL development and test sets is the model of Lee et al. (2017). However, when evaluated on the WikiCoref data",,0,1,1,1,1,1.0,666,72,1702.1,0.000143,"The coreference resolver that ranks best on the CoNLL development and test sets is the model of Lee et al. (2017). However, when evaluated on the WikiCoref data",,0,1,1,1,1,1.0,748,72,2666.3,0.000155,"The coreference resolver that ranks best on the CoNLL development and test sets is the model of Lee et al. (2017). However, when evaluated on the WikiCoref data",
"In the MTSA mechanism, which type of self-attention captures pairwise dependency, and which type captures global dependency?",1805.00912v4.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,418,41,1457.0,8.7e-05,"In the MTSA mechanism, the pairwise dependency is captured by the token2token self-attention, while the global dependency is modeled by the feature-wise multi-d",,1,1,1,1,1,1.0,507,42,1126.3,0.000101,"In the MTSA mechanism, pairwise dependency is captured by the dot-product based token2token self-attention, while global dependency is modeled by the feature-wi",,1,1,1,1,1,1.0,621,39,899.1,0.000117,"In the MTSA mechanism, the pairwise dependency is captured by token2token self-attention, while the global dependency is modeled by feature-wise multi-dim sourc",,1,1,1,1,1,1.0,714,44,1300.6,0.000133,"In the MTSA mechanism, the pairwise dependency is captured by the dot-product based token2token self-attention, while the global dependency is modeled by the fe",
"What percentage of fake news data traffic during the 2016 US president election came from online social networks, and what type of traditional medium had a smaller share than that?",1805.08751v2.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,398,45,842.2,8.7e-05,"Online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election, which is much greater than the data tr",,1,1,1,1,1,1.0,488,42,1109.6,9.8e-05,"Online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election, and traditional TV/radio/print medium ",,1,1,1,1,1,1.0,670,45,1420.6,0.000128,"Online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election, which is much greater than the data tr",,1,1,1,1,1,1.0,764,45,1321.6,0.000142,"Online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election, which is much greater than the data tr",
"In the Seq2Sick framework, which two techniques are combined to address the challenge posed by the discrete input space of sequence-to-sequence models?",1803.01128v3.txt,multihop,gpt4o-mini,0,1,1,1,1,1.0,511,37,946.6,9.9e-05,The Seq2Sick framework combines the use of a generic attack that does not depend on pre-trained word embedding and approximate nearest neighbor (ANN) approaches,,0,0,1,1,1,1.0,589,4,495.9,9.1e-05,I don't know.,,0,1,1,1,1,1.0,726,62,1212.9,0.000146,"In the Seq2Sick framework, the two techniques combined to address the challenge posed by the discrete input space of sequence-to-sequence models are the use of ",,1,0,1,1,1,1.0,808,34,989.7,0.000142,The Seq2Sick framework combines techniques such as projected gradient method and group lasso to address the challenge posed by the discrete input space of seque,
"What speed-up does the Simple Recurrent Unit achieve compared to cuDNN LSTM, and on which two task types does it outperform common recurrent and non-recurrent architectures?",1709.02755v5.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,442,44,1331.4,9.3e-05,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,493,44,1043.1,0.0001,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,634,43,1092.0,0.000121,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM and outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,689,44,1606.5,0.00013,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,
"What speed-up factor does the mobile device implementation achieve, and what type of function is used to represent a single 3D input surface over time?",1704.07854v4.txt,multihop,gpt4o-mini,1,0,1,1,1,1.0,404,39,1036.0,8.4e-05,The mobile device implementation achieves speed-up factors of more than 2000. The type of function used to represent a single 3D input surface over time is a de,,1,1,1,1,1,1.0,488,32,1078.7,9.2e-05,The mobile device implementation achieves speed-up factors of more than 2000. A single 3D input surface is represented as a four-dimensional signed-distance fun,,1,1,1,1,1,1.0,585,43,1235.3,0.000114,The mobile device implementation achieves effective speed-up factors of more than 2000. The type of function used to represent a single 3D input surface over ti,,1,1,1,1,1,1.0,673,35,1446.4,0.000122,The mobile device implementation achieves effective speed-up factors of more than 2000. A single 3D input surface over time is represented as a four-dimensional,
"In the network traffic use case, what type of query is used to find malicious attackers, and in the social networks use case, what type of query is used to track the spreading path of news?",1809.01246v1.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,412,37,1295.6,8.4e-05,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, queries are used to track the spreading pat",,1,1,1,1,1,1.0,473,36,956.0,9.3e-05,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, subgraph queries are used to track the spre",,1,1,1,1,1,1.0,581,37,1281.7,0.000109,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, queries are used to track the spreading pat",,1,1,1,1,1,1.0,646,36,3112.2,0.000118,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, subgraph queries are used to track the spre",
"In the Taobao adaptive exposure framework, what two levels of constraints are considered when determining the maximum and average number of ads per user visit?",1809.03149v2.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,395,51,1092.3,9e-05,"The two levels of constraints considered in the Taobao adaptive exposure framework are: (1) request-level: the maximum number of ads on each request, and (2) pl",,1,1,1,1,1,1.0,539,59,1333.8,0.000116,"The two levels of constraints considered in the Taobao adaptive exposure framework are: (1) request-level constraints, which refer to the maximum number of ads ",,1,1,1,1,1,1.0,623,52,1055.5,0.000125,"The two levels of constraints considered in the Taobao adaptive exposure framework are: (1) request-level: the maximum number of ads on each request, and (2) pl",,1,1,1,1,1,1.0,771,57,1066.4,0.00015,"The two levels of constraints considered in the Taobao adaptive exposure framework are: (1) request-level, which refers to the maximum number of ads on each use",
"What is the average path length of a merge-and-run block with two residual branches, and what testing error does the network built from these blocks achieve on CIFAR-100?",1611.07718v2.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,417,4,501.4,6.5e-05,I don't know.,,0,0,0,1,1,1.0,497,4,2319.4,7.7e-05,I don't know.,,0,0,0,1,1,1.0,659,4,614.5,0.000101,I don't know.,,0,1,1,1,1,1.0,743,77,3452.5,0.000158,"The average length of two residual blocks is 222, but the average length of the corresponding merge-and-run block is not specified in the provided text. Additio",
"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, how many times per day could a contestant submit guesses, and what accuracy metric did the oracle return for each submission?",1709.02418v2.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,429,52,2220.6,9.6e-05,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per day, and the oracle re",,1,1,1,1,1,1.0,526,55,1140.0,0.000112,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per day, and the oracle re",,1,1,1,1,1,1.0,629,60,1381.9,0.00013,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per day, and the oracle re",,1,1,1,1,1,1.0,730,60,1431.5,0.000145,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per day, and the oracle re",
