question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"What is the name of the algorithm proposed for mining informative (feature, value) pairs in coreference resolution?",1708.00160v2.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,423,9,654.1,4.6e-05,The name of the algorithm is EPM.,,1,1,1,1,1,1.0,488,19,530.5,5.6e-05,"The name of the algorithm proposed for mining informative (feature, value) pairs is EPM.",,1,1,1,1,1,1.0,619,17,665.2,6.9e-05,"The algorithm proposed for mining informative (feature, value) pairs is called EPM.",,1,1,1,1,1,1.0,688,25,512.5,7.9e-05,"The name of the algorithm proposed for determining (feature, value) pairs that are informative for the given task is EPM.",
What approach is proposed to safely collect demonstrations for training a deep neural network based assistive robot controller?,1603.03833v4.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,385,18,410.9,4.6e-05,The proposed approach is to have users demonstrate the tasks to be performed in a virtual environment.,,1,1,1,1,1,1.0,452,43,567.2,6.2e-05,The proposed approach is to have users demonstrate the tasks in a virtual environment. This allows for the safe collection of sufficient demonstrations to train,,1,1,1,1,1,1.0,639,49,565.7,8.4e-05,The proposed approach is to have users demonstrate the tasks to be performed in a virtual environment. This allows for the safe collection of a sufficient numbe,,1,1,1,1,1,1.0,710,46,468.5,8.9e-05,The proposed approach is to have users demonstrate the tasks to be performed in a virtual environment. This allows for the safe collection of sufficient demonst,
What are the two categories into which self-attention mechanisms are divided based on the type of dependency they model?,1805.00912v4.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,496,19,429.6,5.7e-05,Self-attention mechanisms are divided into token2token and source2token self-attention mechanisms.,,1,1,1,1,1,1.0,574,44,471.9,7.5e-05,"Based on the provided context, self-attention mechanisms are divided into the following two categories based on the type of dependency they model:  1. Token2tok",,1,1,1,1,1,1.0,687,19,552.7,7.6e-05,Self-attention mechanisms are divided into token2token and source2token self-attention mechanisms.,,1,1,1,1,1,1.0,769,36,503.6,9.1e-05,"Based on the provided text, self-attention mechanisms are divided into the following two categories:  1. Token2token self-attention 2. Source2token self-attenti",
What is the name of the model introduced by Pedarsani et al. in 2011 for studying de-anonymization?,1805.02349v2.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,538,27,481.1,6.5e-05,The model introduced by Pedarsani et al. in 2011 is the correlated Erdös-Rényi model.,,1,1,1,1,1,1.0,578,40,643.7,7.4e-05,"The model introduced by Pedarsani et al. in 2011 is the correlated Erdös-Rényi model, denoted as $\mathbb{G}(n,p;\gamma)$.",,1,1,1,1,1,1.0,793,42,470.1,9.6e-05,"The model introduced by Pedarsani et al. in 2011 is the correlated Erdös-Rényi model, denoted as $\operatorname{\mathbb{G}}(n,p;\gamma)$.",,1,1,1,1,1,1.0,837,42,547.8,0.000101,"The model introduced by Pedarsani et al. in 2011 is the correlated Erdös-Rényi model, denoted as $\operatorname{\mathbb{G}}(n,p;\gamma)$.",
What is the weight of a loss in the adaptive weighted sum used for anytime neural networks?,1708.06832v3.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,424,26,524.0,5.3e-05,"In the adaptive weighted sum, the weight of a loss is inversely proportional to the empirical mean of the loss on the training set.",,1,1,1,1,1,1.0,512,31,605.9,6.4e-05,"According to the provided context, the weight of a loss in the adaptive weighted sum is inversely proportional to the empirical mean of the loss on the training",,1,1,1,1,1,1.0,654,26,457.4,7.6e-05,"In the adaptive weighted sum, the weight of a loss is inversely proportional to the empirical mean of the loss on the training set.",,1,1,1,1,1,1.0,746,31,610.2,8.7e-05,"According to the provided text, the weight of a loss in the adaptive weighted sum is inversely proportional to the empirical mean of the loss on the training se",
What loss function is proposed for end-to-end F-measure maximization in salient object detection?,1805.07567v2.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,462,9,400.9,5e-05,The proposed loss function is named FLoss.,,1,1,1,1,1,1.0,554,23,468.4,6.5e-05,The loss function proposed for end-to-end F-measure maximization in salient object detection is called FLoss.,,1,1,1,1,1,1.0,718,23,586.8,8.1e-05,The proposed loss function for end-to-end F-measure maximization in salient object detection is named FLoss.,,1,1,1,1,1,1.0,814,23,562.0,9.1e-05,The loss function proposed for end-to-end F-measure maximization in salient object detection is named FLoss.,
What is the name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction?,1707.01917v2.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,434,9,442.4,4.7e-05,The name of the method is TFBA.,,1,1,1,1,1,1.0,504,21,579.3,5.9e-05,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,,1,1,1,1,1,1.0,663,21,500.2,7.5e-05,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,,1,1,1,1,1,1.0,737,21,493.5,8.2e-05,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,
What method does the Multi-X approach use to reduce the label space and speed up energy minimization?,1706.00827v2.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,387,31,446.2,5.1e-05,The Multi-X approach reduces the label space and speeds up energy minimization by replacing a set of labels with the corresponding density mode in the model par,,1,1,1,1,1,1.0,469,31,425.6,5.9e-05,The Multi-X approach reduces the label space and speeds up energy minimization by replacing a set of labels with the corresponding density mode in the model par,,1,1,1,1,1,1.0,619,31,501.3,7.4e-05,The Multi-X approach reduces the label space and speeds up energy minimization by replacing a set of labels with the corresponding density mode in the model par,,1,1,1,1,1,1.0,705,31,523.4,8.3e-05,The Multi-X approach reduces the label space and speeds up energy minimization by replacing a set of labels with the corresponding density mode in the model par,
What is the average length of a merge-and-run block when two residual branches are assembled in parallel?,1611.07718v2.txt,text,gemini-flash-lite,0,0,1,1,1,1.0,484,43,486.0,6.6e-05,"I don't know. The provided text mentions that the average length of two residual blocks is 222, but it cuts off before providing the specific average length for",,0,0,1,1,1,1.0,567,43,645.3,7.4e-05,"I don't know. The provided context mentions that the average length of two residual blocks is 222, but it cuts off before providing the specific average length ",,0,0,1,1,1,1.0,704,46,519.6,8.9e-05,"The provided text states that the average length of two residual blocks is 222, but it cuts off before providing the specific average length for the merge-and-r",,0,0,1,1,1,1.0,791,43,502.8,9.6e-05,"I don't know. The provided text mentions that the average length of two residual blocks is 222, but it cuts off before providing the specific average length for",
What is the maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle?,1709.02418v2.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,450,16,537.4,5.1e-05,Every contestant can submit her/his guesses up to 5 times per day.,,1,1,1,1,1,1.0,544,15,451.8,6e-05,Contestants can submit their guesses up to 5 times per day.,,1,1,1,1,1,1.0,698,36,565.3,8.4e-05,Contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle can submit their guesses up to 5 times per day.,,1,1,1,1,1,1.0,796,37,468.8,9.4e-05,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, contestants are allowed to submit their guesses up to 5 times per day.",
