question_type,question_set,model,system,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
text,questions_publaynet_text,gpt4o-mini,baseline,457.8,22.7,919.8,0.00288,0.0082
text,questions_publaynet_text,gpt4o-mini,+KG,500.0,20.9,1084.5,0.003065,0.0088
text,questions_publaynet_text,gpt4o-mini,+multimodal,628.2,24.1,1024.3,0.003804,0.0109
text,questions_publaynet_text,gpt4o-mini,+both,674.3,22.1,984.7,0.004005,0.0114
text,questions_publaynet_text,gemini-flash-lite,baseline,484.2,24.5,619.6,0.002038,0.0058
text,questions_publaynet_text,gemini-flash-lite,+KG,526.8,24.1,735.8,0.002181,0.0062
text,questions_publaynet_text,gemini-flash-lite,+multimodal,684.9,28.0,617.5,0.002789,0.008
text,questions_publaynet_text,gemini-flash-lite,+both,731.5,29.1,876.5,0.002968,0.0085
text,questions_publaynet_text,llama4-scout,baseline,459.6,23.2,890.7,0.001531,0.0044
text,questions_publaynet_text,llama4-scout,+KG,499.6,36.5,1341.9,0.001782,0.0051
text,questions_publaynet_text,llama4-scout,+multimodal,628.9,38.2,1598.2,0.002162,0.0062
text,questions_publaynet_text,llama4-scout,+both,672.8,37.6,1363.7,0.002279,0.0065
text,questions_publaynet_text,llama4-maverick,baseline,459.6,51.1,2845.5,0.003486,0.01
text,questions_publaynet_text,llama4-maverick,+KG,499.6,58.6,2748.8,0.003853,0.011
text,questions_publaynet_text,llama4-maverick,+multimodal,628.9,59.6,2672.0,0.004554,0.013
text,questions_publaynet_text,llama4-maverick,+both,672.8,79.8,4087.1,0.005207,0.0149
multihop,questions_publaynet_multihop,gpt4o-mini,baseline,484.4,32.2,1169.7,0.002759,0.0092
multihop,questions_publaynet_multihop,gpt4o-mini,+KG,536.7,27.7,1122.6,0.002914,0.0097
multihop,questions_publaynet_multihop,gpt4o-mini,+multimodal,657.2,32.4,1129.6,0.003541,0.0118
multihop,questions_publaynet_multihop,gpt4o-mini,+both,713.4,31.9,1036.0,0.003785,0.0126
multihop,questions_publaynet_multihop,gemini-flash-lite,baseline,516.8,37.7,501.9,0.002003,0.0067
multihop,questions_publaynet_multihop,gemini-flash-lite,+KG,570.8,46.2,498.9,0.002267,0.0076
multihop,questions_publaynet_multihop,gemini-flash-lite,+multimodal,718.9,47.7,507.0,0.002729,0.0091
multihop,questions_publaynet_multihop,gemini-flash-lite,+both,776.9,47.9,659.2,0.002906,0.0097
multihop,questions_publaynet_multihop,llama4-scout,baseline,486.0,70.0,1603.8,0.001797,0.006
multihop,questions_publaynet_multihop,llama4-scout,+KG,536.0,72.7,1699.7,0.00194,0.0065
multihop,questions_publaynet_multihop,llama4-scout,+multimodal,657.1,62.4,1323.5,0.002139,0.0071
