question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What vaccine is currently the only one used in China for leptospirosis?,PMC5985562_00009.txt,text,llama4-scout,1,1,1,1,1,1.0,434,8,910.9,3.7e-05,A multivalent inactivated vaccine.,,1,1,1,1,1,1.0,445,20,575.8,4.2e-05,The currently used vaccine in China for leptospirosis is a multivalent inactivated vaccine.,,1,1,1,1,1,1.0,624,28,779.5,5.8e-05,"The text context states that a ""multivalent inactivated vaccine"" is currently the only one used in China for leptospirosis.",,1,1,1,1,1,1.0,639,20,679.1,5.7e-05,The current vaccine used in China for leptospirosis is a multivalent inactivated vaccine.,
What percentage increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS?,PMC5731661_00008.txt,text,llama4-scout,1,1,1,1,1,1.0,474,28,1022.7,4.6e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1,1.0,519,17,686.6,4.7e-05,A 323% increase in signal was observed for buprenorphine.,,1,1,1,1,1,1.0,629,34,899.3,6.1e-05,"According to the text context, a 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.",,1,1,1,1,1,1.0,678,28,2021.0,6.3e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,
What is the name of the instrument developed at Laval University to measure doctor-patient communication competency in medical students?,PMC5658909_00001.txt,text,llama4-scout,0,0,0,1,1,1.0,417,5,448.1,3.5e-05,I don't know.,,0,0,0,1,1,1.0,509,5,460.7,4.2e-05,I don't know.,,0,0,0,1,1,1.0,582,5,597.5,4.8e-05,I don't know.,,0,0,0,1,1,1.0,678,5,432.5,5.6e-05,I don't know.,
What linguistic cue indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension?,PMC5018041_00001.txt,text,llama4-scout,1,1,1,1,1,1.0,367,59,2627.0,4.7e-05,"According to the context, the subjunctive mood is a linguistic cue that indicates the speaker knows what they are saying is factually not true in counterfactual",,1,1,1,1,1,1.0,416,114,3207.3,6.7e-05,"Based on the provided context and knowledge-graph facts, the answer is:   The subjunctive mood is the linguistic cue that indicates the speaker knows what they ",,1,1,1,1,1,1.0,526,50,1329.6,5.7e-05,"The subjunctive mood. According to the text, counterfactual comprehension relies on successful comprehension of the subjunctive mood, which is used to convey in",,1,1,1,1,1,1.0,579,149,4179.1,9.1e-05,"Based on the provided text context and knowledge-graph facts, the linguistic cue that indicates the speaker knows what they are saying is factually not true in ",
What was the primary diagnosis of the 115 women in the BED group?,PMC3051108_00002.txt,text,llama4-scout,0,1,1,1,1,1.0,464,40,1364.0,4.9e-05,The primary diagnosis of the women in the BED group was BED (Binge Eating Disorder). The text specifically states that there were 15 women with BED as their pri,,0,0,1,1,1,1.0,480,29,1668.2,4.7e-05,"I don't know. According to the context, the BED group included 15 women, not 115, with BED as their primary diagnosis.",,1,0,1,1,1,1.0,603,104,2225.2,7.9e-05,"According to the text, the primary diagnosis of the 115 women in the BED group was BED (Binge Eating Disorder). The text states: ""...15 women with BED as their ",,0,0,1,1,1,1.0,623,95,2452.1,7.8e-05,"The text context actually states that there were 15 women with BED as their primary diagnosis, not 115. According to the text, the BED group included 15 women w",
What type of mice were used to evaluate the protective role of EGCG against diabetic testicular damage?,PMC5733955_00001.txt,text,llama4-scout,0,1,1,1,1,1.0,478,37,945.1,4.9e-05,Eight-week-old normal and diabetic male C57BL/6 wild-type and Nef Knockout mice were used to evaluate the protective role of EGCG against diabetic testicular da,,1,1,1,1,1,1.0,568,41,928.3,5.8e-05,"The mice used to evaluate the protective role of EGCG against diabetic testicular damage were C57BL/6, both wild-type and Nef Knockout mice, that were 8 weeks o",,1,1,1,1,1,1.0,658,37,1386.9,6.4e-05,"The mice used to evaluate the protective role of EGCG against diabetic testicular damage were C57BL/6 wild-type and Nef Knockout mice, aged 8 weeks.",,1,1,1,1,1,1.0,752,39,3329.8,7.2e-05,"The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were C57BL/6 wild-type and Nef Knockout mice, aged 8 weeks.",
What questionnaire module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms?,PMC5759866_00005.txt,text,llama4-scout,0,1,1,1,1,1.0,494,11,715.5,4.3e-05,The EORTC-QLQ-BR25.,,0,1,1,1,1,1.0,579,26,1718.0,5.4e-05,The breast cancer-specific module used alongside the EORTC QLQ-C30 is EORTC-QLQ-BR25.,,0,1,1,1,1,1.0,652,29,741.6,6.1e-05,The EORTC-QLQ-BR25 module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms.,,0,1,1,1,1,1.0,741,48,2166.1,7.4e-05,"The EORTC-QLQ-BR25 module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms, but in the provided text it is mentioned as EORTC-QLQ-E",
What year is associated with the Cngenve ae Fae nvsom esas entity in the passage?,PMC4974260_00004.txt,text,llama4-scout,0,0,0,0,0,0.0,464,5,373.2,3.9e-05,I don't know.,,0,0,0,0,0,0.0,475,5,761.4,4e-05,I don't know.,,0,0,0,0,0,0.0,633,5,403.0,5.2e-05,I don't know.,,0,0,0,0,0,0.0,648,5,401.6,5.3e-05,I don't know.,
What term did the vocational trainees in this Swedish general practice study use to refer to a specific refugee group?,PMC4205530_00005.txt,text,llama4-scout,1,1,1,1,1,1.0,448,24,1235.2,4.3e-05,"The term used by the vocational trainees in this study to refer to a specific refugee group is ""Somali patient"".",,1,0,1,1,1,1.0,476,27,765.0,4.6e-05,"The term used by the vocational trainees in this Swedish general practice study to refer to a specific refugee group was ""Somali patient"".",,1,0,1,1,1,1.0,610,27,2623.5,5.7e-05,"The term used by the vocational trainees in this Swedish general practice study to refer to a specific refugee group is ""Somali patient"".",,1,0,1,1,1,1.0,642,27,800.4,5.9e-05,"The term used by the vocational trainees in this Swedish general practice study to refer to a specific refugee group is ""Somali patient"".",
What two approaches are discussed for assessing the grammatical abilities of nonhuman animals?,PMC5325849_00000.txt,text,llama4-scout,1,1,1,1,1,1.0,433,41,1294.1,4.7e-05,The two approaches discussed are:   1. Comparing the sounds of animal vocalizations with linguistic ones. 2. Addressing the grammatical rule- and pattern-learni,,1,1,1,1,1,1.0,451,38,1062.6,4.7e-05,One approach is comparing the sounds of animal vocalizations with linguist ones. The other approach is addressing the grammatical rule- and pattern-learning abi,,1,1,1,1,1,1.0,588,50,2343.6,6.2e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the sounds of animal vocalizations with linguist one,,1,1,1,1,1,1.0,610,74,2594.0,7.1e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the sounds of animal vocalizations with those of lan,
