question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error
"In the Multi-DPP architecture, what are the three specific components or outputs labeled in the central processing unit?",1812.00108v4-Figure2-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,378,4,993.4,5.9e-05,I don't know.,,0,0,0,0,0,0.0,384,4,1216.3,6e-05,I don't know.,
"In the improved alignment section with parameters β₁ = 0.5, β₂ = 1, what geometric shape does the solution V display on the right side of the grid?",1704.07854v4-Figure10-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,733,4,3921.0,0.000112,I don't know.,,0,0,1,0,0,0.0,739,4,1014.1,0.000113,I don't know.,
"In the missing sequence frames 9-15 of the human motion sequence, which method produces red error markers at frames 9, 10, 11, 12, 13, 14, and 15?",1809.00263v5-Figure12-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,442,4,1055.5,6.9e-05,I don't know.,,0,0,0,1,1,1.0,448,4,556.4,7e-05,I don't know.,
Which ATE estimation method produces the narrowest confidence interval around its point estimate?,1906.10843v1-Figure5-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,538,4,954.2,8.3e-05,I don't know.,,0,0,0,0,0,0.0,544,4,618.8,8.4e-05,I don't know.,
What is the output channel dimension of the transformation layer in the autoencoder architecture?,1707.00524v2-Figure2-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,457,4,878.3,7.1e-05,I don't know.,,0,0,0,0,0,0.0,463,4,420.1,7.2e-05,I don't know.,
What are the three main components that process the input frame $f_t$ in the Talking Face Generator architecture?,1812.06589v2-Figure2-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,477,46,888.7,9.9e-05,"The three main components that process the input frame $f_t$ in the Talking Face Generator architecture are: 1) the talking face generator, 2) the asymmetric mu",,0,0,1,0,0,0.0,483,43,1004.5,9.8e-05,The three main components that process the input frame \( f_t \) in the Talking Face Generator architecture are:  1. The talking face generator. 2. The asymmetr,
What is the Extended training B metric value when tested on the Extended B condition?,1811.08481v2-Table3-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,434,4,617.8,6.8e-05,I don't know.,,0,0,1,0,0,0.0,440,4,932.1,6.8e-05,I don't know.,
"What is the geographic distribution pattern of cities across the continental United States, and which regions show the highest concentration of urban centers?",1611.03780v2-Figure3-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,392,4,573.7,6.1e-05,I don't know.,,0,0,0,1,1,1.0,398,4,698.3,6.2e-05,I don't know.,
What is the d60-140 performance value for the Devon model in the Clean category?,1802.07351v2-Table3-1.png,figure,gpt4o-mini,0,0,1,0,0,0.0,541,4,669.7,8.4e-05,I don't know.,,0,0,1,0,0,0.0,547,4,627.5,8.4e-05,I don't know.,
"In the DCT + YUV method for face generation, how many distinct facial images are displayed in the rightmost column of the comparison?",1701.03077v10-Figure3-1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,421,4,674.7,6.6e-05,I don't know.,,0,0,0,0,0,0.0,427,4,694.8,6.6e-05,I don't know.,
