question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"In the German Nationwide Survey, what was the incidence of pulmonary embolism after bariatric surgery, and what was the incidence of VTE after gastric banding according to the BOLD Registry?",PMC3400389_00002.txt,multihop,gemini-flash-lite,1,0,1,1,1,1.0,574,52,862.7,7.8e-05,"According to the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was 0.08%. According to the BOLD Registry, the incid",,0,0,1,1,1,1.0,676,64,549.1,9.3e-05,"According to the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery in Germany between 2005 and 2010 was 0.08%.  Regardi",,1,0,1,1,1,1.0,786,70,653.1,0.000107,"According to the provided text, the German Nationwide Survey reported an incidence of pulmonary embolism (PE) of 0.08% in bariatric surgery between 2005 and 201",,0,0,1,1,1,1.0,892,75,597.7,0.000119,"According to the provided text, the German Nationwide Survey reported the incidence of pulmonary embolism (PE) in bariatric surgery in Germany between 2005 and ",
"What is the odds ratio for headache in individuals with chronic pain, and what is it for back pain?",PMC4913715_00002.txt,multihop,gemini-flash-lite,0,0,0,0,0,0.0,520,6,381.1,5.4e-05,I don't know.,,0,0,0,0,0,0.0,549,6,433.8,5.7e-05,I don't know.,,0,0,0,0,0,0.0,691,6,444.7,7.2e-05,I don't know.,,0,0,0,0,0,0.0,724,6,421.8,7.5e-05,I don't know.,
"What does the new global dataset on killings of journalists between 2002 and 2013 reveal about the perpetrators of all killings, and what does the analysis show about the likelihood of state repression deteriorating in the following two years after journalists are killed?",PMC5427995_00002.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,470,55,512.0,6.9e-05,"Based on the provided text, the dataset reveals that for all killings, the perpetrators usually remain unconfirmed. The analysis shows that if journalists are k",,1,1,1,1,1,1.0,556,60,499.1,8e-05,"Based on the provided context and knowledge-graph facts, the dataset reveals that for all killings, the perpetrators usually remain unconfirmed. The analysis sh",,1,1,1,1,1,1.0,664,55,489.9,8.8e-05,"Based on the provided text, the dataset reveals that for all killings, the perpetrators usually remain unconfirmed. The analysis shows that if journalists are k",,1,1,1,1,1,1.0,754,60,513.2,9.9e-05,"Based on the provided text and knowledge-graph facts, the dataset reveals that for all killings, the perpetrators usually remain unconfirmed. The analysis shows",
"What percentage of Native Hawaiians and other Pacific Islanders were among the highest of all ethnic groups for obesity, and what type of program was culturally adapted to reduce diabetes and improve weight and exercise in worksites serving these populations?",PMC4927448_00000.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,507,69,563.7,7.8e-05,"According to the provided text, Native Hawaiians (72.5%) and other Pacific Islanders (27%) were among the highest of all ethnic groups for obesity. The program ",,0,1,1,1,1,1.0,522,63,564.6,7.7e-05,"According to the provided text, Native Hawaiians (72.5%) and other Pacific Islanders (2.7%) were among the highest of all ethnic groups for obesity. The program",,0,1,1,1,1,1.0,669,63,536.1,9.2e-05,"According to the provided text, Native Hawaiians (72.5%) and other Pacific Islanders (2.7%) were among the highest of all ethnic groups for obesity. The program",,1,1,1,1,1,1.0,688,62,518.3,9.4e-05,"According to the provided text, Native Hawaiians (72.5%) and other Pacific Islanders (27%) were among the highest of all ethnic groups for obesity. The program ",
"What is the retention factor for moxonidine under the optimal HILIC conditions, and what is the recovery percentage for impurity A?",PMC5101389_00000.txt,multihop,gemini-flash-lite,0,0,0,1,1,1.0,440,6,485.7,4.6e-05,I don't know.,,1,0,1,1,1,1.0,555,34,430.6,6.9e-05,I don't know. The provided text and knowledge-graph facts do not contain the specific retention factor for moxonidine or the recovery percentage for impurity A.,,1,0,1,1,1,1.0,625,32,461.6,7.5e-05,I don't know. The provided text and image descriptions do not contain the specific retention factor for moxonidine or the recovery percentage for impurity A.,,1,0,1,1,1,1.0,744,34,448.2,8.8e-05,I don't know. The provided text and knowledge-graph facts do not contain the specific retention factor for moxonidine or the recovery percentage for impurity A.,
"What is the vapor pressure of 1-butanol at 304 K, and what is the vapor pressure of 1-nonanol at the same temperature?",PMC5704694_00001.txt,multihop,gemini-flash-lite,0,0,0,1,1,1.0,527,6,386.4,5.5e-05,I don't know.,,0,0,0,1,1,1.0,542,6,367.9,5.7e-05,I don't know.,,0,0,0,1,1,1.0,738,5,380.6,7.6e-05,I do not know.,,0,0,0,1,1,1.0,757,6,404.6,7.8e-05,I don't know.,
"What is the number of cases reported for the 20–24 age group in the 2013 data, and what is the corresponding number for the 25–29 age group?",PMC4359599_00004.txt,multihop,gemini-flash-lite,0,0,0,0,0,0.0,815,6,385.0,8.4e-05,I don't know.,,0,0,0,0,0,0.0,842,6,403.1,8.7e-05,I don't know.,,0,0,1,0,0,0.0,985,41,473.5,0.000115,I do not know. The provided text and image descriptions do not contain data regarding the 20–24 or 25–29 age groups for the year 2013.,,0,0,0,0,0,0.0,1016,6,330.9,0.000104,I don't know.,
"What is the age range of the males with FXS in the Repetitive Behavior Questionnaire study, and how many such individuals were included?",PMC5467057_00021.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,508,26,430.9,6.1e-05,"The males with FXS in the study were aged 6-17 years, and 191 individuals were included.",,1,1,1,1,1,1.0,548,31,444.0,6.7e-05,"The males with FXS in the Repetitive Behavior Questionnaire study were aged 6-17 years, and 191 individuals were included.",,1,1,1,1,1,1.0,684,26,412.6,7.9e-05,"The males with FXS in the study were aged 6-17 years, and 191 individuals were included.",,1,1,1,1,1,1.0,728,35,420.5,8.7e-05,"The males with FXS in the Repetitive Behavior Questionnaire (RBQ) study were aged 6-17 years, and 191 individuals were included.",
"What is the correlation between wave V latency and implant experience in the prelingual group, and what time constant describes the exponential decay of wave V latency on the middle electrode in prelingual subjects?",PMC4569605_00005.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,609,59,632.8,8.4e-05,"In the prelingual group, wave V latency was significantly correlated to implant experience (r = -0.706, p = 0.004). The time constant describing the exponential",,1,1,1,1,1,1.0,670,61,544.5,9.1e-05,"In the prelingual group, wave V latency was significantly correlated to implant experience (r = -0.706, P = 0.004). The exponential decay of wave V latency on t",,1,1,1,1,1,1.0,800,61,470.3,0.000104,"In the prelingual group, wave V latency was significantly correlated to implant experience (r = -0.706, P = 0.004). The exponential decay of wave V latency on t",,1,1,1,1,1,1.0,865,61,485.8,0.000111,"In the prelingual group, wave V latency was significantly correlated to implant experience (r = -0.706, P = 0.004). The exponential decay of wave V latency on t",
What was the effect of celecoxib treatment on the escape latency and path length in diabetic rats compared to the diabetic group?,PMC5486519_00004.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,507,25,387.8,6.1e-05,"In the diabetic group treated with celecoxib, the escape latency and path length were significantly decreased compared to the diabetic animals.",,1,0,1,1,1,1.0,588,27,455.2,7e-05,"Based on the provided context, celecoxib treatment significantly decreased the escape latency and path length in diabetic rats compared to the diabetic group.",,1,1,1,1,1,1.0,731,25,483.2,8.3e-05,"In the diabetic group treated with celecoxib, the escape latency and path length were significantly decreased compared to the diabetic animals.",,1,1,1,1,1,1.0,816,32,528.6,9.4e-05,"Based on the provided text, in the group of diabetics treated with celecoxib, the escape latency and path length were significantly decreased compared to the di",
