question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
"According to the 2001 census, what was the population of the city in which Kirton End is located?",Boston_Lincolnshire.txt|Kirton_End.txt,hotpot_bridge,llama4-scout,0,1,1,0.5,0,1.0,315,47,1513.3,3.9e-05,"The context doesn't mention the population of the city in which Kirton End is located, only the population of Kirton in Boston district. Kirton End is in Lincol",,0,0,1,0.5,0,1.0,418,121,3160.5,7e-05,"The population of Kirton End is not provided, but we know Kirton End is located in the civil parish of Kirton, which is not the same as the village of Kirton in",,0,1,1,0.5,0,1.0,525,58,1397.5,5.9e-05,The context does not provide information about the population of the city in which Kirton End is located. Kirton End is located in the Boston district of Lincol,
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,Andrew_Jaspan.txt|The_Conversation_website.txt,hotpot_bridge,llama4-scout,1,1,1,1.0,1,1.0,339,4,427.7,2.8e-05,The Conversation.,,1,1,1,1.0,1,1.0,421,4,400.9,3.5e-05,The Conversation.,,1,1,1,1.0,1,1.0,560,4,515.4,4.6e-05,The Conversation.,
Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Charles_Hastings_Judd.txt|Kalakaua_055843.txt,hotpot_bridge,llama4-scout,0,0,1,0.0,0,0.0,357,5,467.0,3e-05,I don't know.,,0,0,1,0.0,0,0.0,368,5,419.2,3.1e-05,I don't know.,,1,1,1,0.5,0,0.2,539,54,1376.7,5.9e-05,"I don't know. The text does not mention ""The Merrie Monarch."" However, it does mention that Colonel Charles Hastings Judd was Chamberlain and Colonel of the mil",
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",Chattahoochee_song.txt|We_ll_Burn_That_Bridge.txt,hotpot_bridge,llama4-scout,0,0,0,0.5,0,0.5,420,5,450.3,3.5e-05,I don't know.,,0,0,0,0.5,0,0.5,458,5,431.5,3.8e-05,I don't know.,,0,0,0,0.5,0,0.5,623,5,865.6,5.1e-05,I don't know.,
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Aonghus_Mor_b5e643.txt|Kingdom_of_the_Isles.txt,hotpot_bridge,llama4-scout,1,1,1,0.5,0,0.5,428,21,631.4,4.1e-05,"The Kingdom of the Isles, also referred to as the Kingdom of Mann and the Isles.",,1,1,1,0.5,0,0.5,450,96,1611.9,6.5e-05,"Based on the provided context and knowledge-graph facts, I can tell you that the Isles referred to are the Kingdom of the Isles, also sometimes referred to as t",,1,1,1,1.0,1,0.5,701,21,651.7,6.2e-05,"The Kingdom of the Isles, also referred to as the Kingdom of Mann and the Isles.",
Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Gerald_Reive.txt|Samoa.txt,hotpot_bridge,llama4-scout,0,0,1,0.0,0,0.0,268,5,472.9,2.3e-05,I don't know.,,0,0,1,0.0,0,0.0,314,5,644.1,2.7e-05,I don't know.,,1,0,1,0.5,0,0.25,490,27,861.7,4.7e-05,Samoa has 11 administrative divisions (districts). The Falkland Islands beat Samoa in the 2010 Commonwealth Games.,
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,End_of_Days_film.txt|Oh_My_God_Guns_N_Roses_song.txt,hotpot_bridge,llama4-scout,0,0,1,0.5,0,0.333,297,5,411.7,2.5e-05,I don't know.,,1,0,1,0.5,0,0.333,406,128,3642.2,7.1e-05,"To find the year Guns N' Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective, let's analyze the information",,1,1,1,1.0,1,0.333,544,58,1710.8,6.1e-05,"According to the provided context, Guns N' Roses performed a promo for the movie ""End of Days"" in 1999. The movie ""End of Days"" stars Arnold Schwarzenegger as a",
"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",Marry_Me_a_Little_Marry_Me_a_Little_More.txt|Will_&amp;_Grace.txt,hotpot_bridge,llama4-scout,1,1,1,0.5,0,1.0,437,21,703.0,4.1e-05,"The NBC station broadcast the episode ""Marry Me a Little, Marry Me a Little More"".",,1,0,1,0.5,0,1.0,586,4,402.5,4.8e-05,NBC.,,1,1,1,0.5,0,1.0,673,58,1158.1,7.1e-05,"The context doesn't say that ""Marry Me a Little, Marry Me a Little More"" is part of the series created by Max Mutchnick and David Kohan. It does say that ""Marry",
Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,Greatest_Sports_Legends.txt|Reggie_Jackson.txt,hotpot_bridge,llama4-scout,0,0,1,0.5,0,1.0,242,5,644.7,2.1e-05,I don't know.,,0,0,1,0.5,0,1.0,260,5,421.6,2.2e-05,I don't know.,,0,0,1,0.5,0,1.0,416,5,1228.0,3.5e-05,I don't know.,
"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",Siege_of_Bharatpur.txt|Stapleton_Cotton_1st_Viscount_Combermere.txt,hotpot_bridge,llama4-scout,1,0,1,0.5,0,1.0,362,14,1299.7,3.3e-05,Stapleton Cotton 1st Viscount Combermere.,,1,1,1,0.5,0,1.0,447,45,1182.8,4.9e-05,"The answer is Stapleton Cotton, 1st Viscount Combermere. According to the context passage, he stormed Bharatpur—a fort which previously had been deemed impregna",,1,0,1,1.0,1,1.0,549,15,565.0,4.8e-05,"Stapleton Cotton, 1st Viscount Combermere.",
