question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What demographic and lifestyle factors are categorized in relation to mean BMI and waist circumference?,PMC4537884_00002_table0.png,figure,llama4-maverick,0,0,1,0,0,0.0,471,61,1700.1,0.000107,"According to [PMC4537884_00002.txt], sociodemographic and lifestyle factors are categorized in relation to mean BMI, waist circumference (WC), and prevalence ra",,0,0,1,0,0,0.0,547,61,1619.2,0.000119,"According to the context passage [PMC4537884_00002.txt], sociodemographic and lifestyle factors are related to mean BMI, waist circumference (WC), and prevalenc",,0,0,0,0,0,0.0,624,62,2036.9,0.000131,"I don't know. The provided text context does not contain the answer to the question, and there is no relevant information in the attached image. The text snippe",,0,0,1,0,0,0.0,704,95,25337.8,0.000163,"The text does not directly answer the question, but based on the provided text context, specifically [PMC4537884_00002.txt], it is mentioned that ""BMI, WC and p",
How many genes are included in the Retinitis Pigmentosa panel?,PMC5592712_00002_table0.png,figure,llama4-maverick,1,1,1,0,0,0.0,493,60,1699.1,0.00011,"According to the context, the 132 gene panel was comprised of coding exons and splicing sites of 132 known retinal disease genes, and these 132 genes are relate",,1,1,1,0,0,0.0,511,60,1489.5,0.000113,"The passage mentions that the 132 gene panel was comprised of coding exons and splicing sites of 132 known retinal disease genes, and that these 132 genes are r",,1,0,1,0,0,0.0,936,64,3038.5,0.000179,"The text context mentions a ""132 gene panel"" that was developed at the Casey Eye Institute (CEI) Molecular Diagnostic Laboratory. This panel includes coding exo",,1,0,1,0,0,0.0,958,60,2866.3,0.00018,"The text context states that the 132 gene panel was comprised of coding exons and splicing sites of 132 known retinal disease genes, and that these 132 genes ar",
"What are the statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benefit (INB)?",PMC5763423_00016_table0.png,figure,llama4-maverick,0,0,1,0,0,0.0,338,72,1784.8,9.4e-05,"I don't know. The provided context does not mention the specific statistical methods used to estimate incremental cost, incremental QALYs, and incremental net b",,0,0,0,0,0,0.0,375,101,2191.0,0.000117,"I don't know.   The provided context passages and knowledge-graph facts do not directly mention the statistical methods used to estimate incremental cost, incre",,0,0,0,0,0,0.0,781,288,6412.8,0.00029,"The table shows various statistical methods used, including SR (0.84, 95% CI: 0.81-0.86), FR (0.89, 95% CI: 0.87-0.91), EF (0.80, 95% CI: 0.76-0.83), and SE (0.",,0,0,0,0,0,0.0,822,207,5214.2,0.000247,"The table shows various statistical measures (SSR, FR, EF, SE, FF, EO) with their corresponding 95% confidence intervals for different groups (MZC, MZI, DZC) at",
What genetic variants are analyzed for allele frequency in the NLGN3 and NLGN4X genes?,PMC3120659_00004_table0.png,figure,llama4-maverick,0,0,0,0,0,0.0,481,105,4027.7,0.000135,"The context doesn't directly state the specific genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes. However, according to [PMC3120659_",,0,0,0,0,0,0.0,492,137,4004.9,0.000156,"Unfortunately, the provided context passages and knowledge-graph facts do not directly answer the question. However, based on the content of [PMC3120659_00004.t",,0,0,1,0,0,0.0,924,154,4438.3,0.000231,"The text context does not directly mention the genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes. However, it does mention that there",,0,0,0,0,0,0.0,939,207,6165.6,0.000265,"The text context does not provide information on the specific genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes. However, it mentions",
What types of microorganisms are distributed in the saturated zone during baseflow and an event?,PMC5947618_00010_figure0.png,figure,llama4-maverick,0,0,0,0,0,0.0,449,26,909.5,8.3e-05,I don't know. The provided context doesn't mention the types of microorganisms distributed in the saturated zone during baseflow and an event.,,0,0,0,0,0,0.0,460,90,1973.7,0.000123,You don't know.   The provided context passages discuss the introduction of non-permanent genotypes into alpine karst aquifers from various environments and the,,1,1,1,1,1,1.0,892,59,1804.6,0.000169,"The types of microorganisms distributed in the saturated zone during baseflow and an event are Protozoa, Bacteria and archaea, and Bacteriophages. During basefl",,1,1,1,1,1,1.0,907,41,1790.3,0.000161,"The image shows the distribution of microorganisms in the saturated zone during baseflow and an event. The types of microorganisms distributed are: Protozoa, Ba",
"What are the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups?",PMC5986835_00005_figure0.png,figure,llama4-maverick,0,0,1,0,0,0.0,572,103,3221.2,0.000148,I don't know. The provided context does not contain information about the concentrations of IL-1β. It does mention TGFβ1 in [PMC5928379_00005.txt] with a concen,,0,0,0,0,0,0.0,583,5,344.5,9e-05,I don't know.,,0,0,0,0,0,0.0,1015,208,4121.5,0.000277,"The table shows cytokine induction responses for two cell lines, J774A.1 and A549, across various cytokines. However, it does not directly provide the concentra",,0,0,0,0,0,0.0,1030,345,10960.1,0.000362,"The table shows the cytokine induction response for two cell types, J774A.1 and A549. However, it does not provide the concentrations of TGFβ1, IL-1β, and IL-6 ",
What are the key considerations for bariatric intervention in type 1 diabetes?,PMC4936488_00011_table0.png,figure,llama4-maverick,0,0,0,0,0,0.0,327,58,1615.0,8.4e-05,"I don't know. The provided context doesn't discuss key considerations for bariatric intervention in type 1 diabetes. It mentions ""Weight Loss Surgery in Obese I",,0,0,0,0,0,0.0,338,101,2342.2,0.000111,"I don't know. The provided context passages do not directly discuss key considerations for bariatric intervention in type 1 diabetes, and the knowledge-graph fa",,0,0,0,0,0,0.0,770,150,3986.5,0.000205,"The provided text context does not directly discuss key considerations for bariatric intervention in type 1 diabetes. However, [PMC4936488_00011.txt] mentions """,,0,0,0,0,0,0.0,785,252,9936.5,0.000269,"The provided text context includes a document titled ""Clinical Considerations for Weight Loss Surgery in Obese Individuals with Type | Diabetes."" Although it is",
What are the categories compared for the duration and display percentages of alcohol cues and responsible drinking statements?,PMC5467671_00004_table0.png,figure,llama4-maverick,0,0,0,0,0,0.0,404,65,2398.5,0.0001,I don't know. The provided context doesn't contain information about the categories compared for the duration and display percentages of alcohol cues and respon,,0,0,0,0,0,0.0,438,112,2580.4,0.000133,"I don't know. The knowledge-graph facts mention categories such as ""alcohol related"", ""drug related"", ""alcohol and drug related"", and ""substance negative"", but ",,0,0,0,0,0,0.0,557,128,2979.9,0.00016,I don't know. The provided text context and the attached image do not contain information about the categories compared for the duration and display percentages,,0,0,0,0,0,0.0,595,88,1908.8,0.000142,"The question is not answerable with the provided text context and knowledge-graph facts. However, it is answerable using the attached image. The categories comp",
What does the phylogenetic tree illustrate about genetic relationships?,PMC4366372_00020_figure0.png,figure,llama4-maverick,1,1,1,0,0,0.0,345,75,2395.2,9.7e-05,"The phylogenetic tree illustrates the evolutionary relationships and genetic distances between different species. The scale bar represents 0.1 changes per site,",,0,0,1,0,0,0.0,356,112,3864.8,0.000121,"Based on the provided context passages, a phylogenetic tree illustrates the evolutionary relationships and genetic distances between different species. For exam",,1,1,1,0,0,0.0,788,141,6606.8,0.000203,The phylogenetic tree illustrates the evolutionary relationships among different Entamoeba species based on their genetic similarities and differences. The tree,,1,1,1,0,0,0.0,803,161,4849.9,0.000217,The phylogenetic tree illustrates the evolutionary relationships among different Entamoeba species based on their genetic similarities and differences. The tree,
What opportunities for additional funding are available for undergraduate medical education at Radboud University Medical Center?,PMC5579150_00007_table0.png,figure,llama4-maverick,0,0,0,0,0,0.0,392,5,612.3,6.2e-05,I don't know.,,0,0,0,0,0,0.0,425,57,2048.5,9.8e-05,I don't know.   The provided context passages and knowledge-graph facts do not mention Radboud University Medical Center or its undergraduate medical education ,,0,0,1,1,1,1.0,835,90,3020.9,0.000179,"According to the provided image, opportunities for additional funding for undergraduate medical education at Radboud University Medical Center include:  1. SIBP",,0,0,1,1,1,1.0,872,69,3382.2,0.000172,"The financing system for undergraduate medical education at the Radboud University Medical Center is characterized by several points, including: extra money for",
