question_type,question_set,model,vendor,access,system,recall,complete,mrr,acc,faith,rel
text,questions_publaynet_text,gpt4o-mini,OpenAI,closed,baseline,0.914,0.914,0.886,0.657,0.714,0.8
text,questions_publaynet_text,gpt4o-mini,OpenAI,closed,+KG,0.914,0.914,0.886,0.571,0.571,0.743
text,questions_publaynet_text,gpt4o-mini,OpenAI,closed,+multimodal,0.914,0.914,0.886,0.657,0.714,0.829
text,questions_publaynet_text,gpt4o-mini,OpenAI,closed,+both,0.914,0.914,0.886,0.6,0.629,0.8
text,questions_publaynet_text,gemini-flash-lite,Google,closed,baseline,0.914,0.914,0.886,0.514,0.6,0.771
text,questions_publaynet_text,gemini-flash-lite,Google,closed,+KG,0.914,0.914,0.886,0.6,0.543,0.771
text,questions_publaynet_text,gemini-flash-lite,Google,closed,+multimodal,0.914,0.914,0.886,0.571,0.6,0.8
text,questions_publaynet_text,gemini-flash-lite,Google,closed,+both,0.914,0.914,0.886,0.6,0.571,0.8
text,questions_publaynet_text,llama4-scout,Meta/DeepInfra,open,baseline,0.914,0.914,0.886,0.543,0.686,0.8
text,questions_publaynet_text,llama4-scout,Meta/DeepInfra,open,+KG,0.914,0.914,0.886,0.6,0.571,0.829
text,questions_publaynet_text,llama4-scout,Meta/DeepInfra,open,+multimodal,0.914,0.914,0.886,0.6,0.571,0.771
text,questions_publaynet_text,llama4-scout,Meta/DeepInfra,open,+both,0.914,0.914,0.886,0.571,0.543,0.8
text,questions_publaynet_text,llama4-maverick,Meta/DeepInfra,open,baseline,0.914,0.914,0.886,0.657,0.571,0.857
text,questions_publaynet_text,llama4-maverick,Meta/DeepInfra,open,+KG,0.914,0.914,0.886,0.714,0.543,0.857
text,questions_publaynet_text,llama4-maverick,Meta/DeepInfra,open,+multimodal,0.914,0.914,0.886,0.6,0.629,0.857
text,questions_publaynet_text,llama4-maverick,Meta/DeepInfra,open,+both,0.914,0.914,0.886,0.657,0.486,0.857
multihop,questions_publaynet_multihop,gpt4o-mini,OpenAI,closed,baseline,0.9,0.9,0.883,0.433,0.5,0.633
multihop,questions_publaynet_multihop,gpt4o-mini,OpenAI,closed,+KG,0.9,0.9,0.883,0.367,0.467,0.6
multihop,questions_publaynet_multihop,gpt4o-mini,OpenAI,closed,+multimodal,0.9,0.9,0.883,0.433,0.5,0.633
multihop,questions_publaynet_multihop,gpt4o-mini,OpenAI,closed,+both,0.9,0.9,0.883,0.467,0.467,0.667
multihop,questions_publaynet_multihop,gemini-flash-lite,Google,closed,baseline,0.9,0.9,0.883,0.6,0.467,0.633
multihop,questions_publaynet_multihop,gemini-flash-lite,Google,closed,+KG,0.9,0.9,0.883,0.533,0.433,0.733
multihop,questions_publaynet_multihop,gemini-flash-lite,Google,closed,+multimodal,0.9,0.9,0.883,0.633,0.5,0.867
multihop,questions_publaynet_multihop,gemini-flash-lite,Google,closed,+both,0.9,0.9,0.883,0.567,0.467,0.767
multihop,questions_publaynet_multihop,llama4-scout,Meta/DeepInfra,open,baseline,0.9,0.9,0.883,0.5,0.467,0.7
multihop,questions_publaynet_multihop,llama4-scout,Meta/DeepInfra,open,+KG,0.9,0.9,0.883,0.533,0.467,0.667
multihop,questions_publaynet_multihop,llama4-scout,Meta/DeepInfra,open,+multimodal,0.9,0.9,0.883,0.5,0.533,0.733
multihop,questions_publaynet_multihop,llama4-scout,Meta/DeepInfra,open,+both,0.9,0.9,0.883,0.533,0.5,0.6
multihop,questions_publaynet_multihop,llama4-maverick,Meta/DeepInfra,open,baseline,0.9,0.9,0.883,0.5,0.467,0.733
multihop,questions_publaynet_multihop,llama4-maverick,Meta/DeepInfra,open,+KG,0.9,0.9,0.883,0.533,0.4,0.667
multihop,questions_publaynet_multihop,llama4-maverick,Meta/DeepInfra,open,+multimodal,0.9,0.9,0.883,0.567,0.433,0.867
multihop,questions_publaynet_multihop,llama4-maverick,Meta/DeepInfra,open,+both,0.9,0.9,0.883,0.533,0.367,0.733
figure,questions_publaynet_figures_caption,gpt4o-mini,OpenAI,closed,baseline,0.0,0.0,0.0,0.2,0.429,0.429
figure,questions_publaynet_figures_caption,gpt4o-mini,OpenAI,closed,+KG,0.0,0.0,0.0,0.114,0.286,0.343
figure,questions_publaynet_figures_caption,gpt4o-mini,OpenAI,closed,+multimodal,0.257,0.257,0.186,0.371,0.229,0.714
figure,questions_publaynet_figures_caption,gpt4o-mini,OpenAI,closed,+both,0.257,0.257,0.186,0.4,0.257,0.743
figure,questions_publaynet_figures_caption,gemini-flash-lite,Google,closed,baseline,0.0,0.0,0.0,0.2,0.343,0.486
figure,questions_publaynet_figures_caption,gemini-flash-lite,Google,closed,+KG,0.0,0.0,0.0,0.171,0.4,0.571
figure,questions_publaynet_figures_caption,gemini-flash-lite,Google,closed,+multimodal,0.257,0.257,0.186,0.314,0.257,0.8
figure,questions_publaynet_figures_caption,gemini-flash-lite,Google,closed,+both,0.257,0.257,0.186,0.257,0.229,0.8
figure,questions_publaynet_figures_caption,llama4-scout,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.143,0.371,0.657
figure,questions_publaynet_figures_caption,llama4-scout,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.2,0.4,0.571
figure,questions_publaynet_figures_caption,llama4-scout,Meta/DeepInfra,open,+multimodal,0.257,0.257,0.186,0.257,0.143,0.543
figure,questions_publaynet_figures_caption,llama4-scout,Meta/DeepInfra,open,+both,0.257,0.257,0.186,0.2,0.143,0.657
figure,questions_publaynet_figures_caption,llama4-maverick,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.171,0.343,0.571
figure,questions_publaynet_figures_caption,llama4-maverick,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.143,0.314,0.571
figure,questions_publaynet_figures_caption,llama4-maverick,Meta/DeepInfra,open,+multimodal,0.257,0.257,0.186,0.257,0.2,0.714
figure,questions_publaynet_figures_caption,llama4-maverick,Meta/DeepInfra,open,+both,0.257,0.257,0.186,0.257,0.257,0.714
figure,questions_publaynet_figures,gpt4o-mini,OpenAI,closed,baseline,0.0,0.0,0.0,0.0,0.0,0.0
