question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"In the German Nationwide Survey, what was the incidence of pulmonary embolism after bariatric surgery, and what was the incidence of VTE after gastric banding according to the BOLD Registry?",PMC3400389_00002.txt,multihop,llama4-scout,0,0,1,1,1,1.0,538,130,3257.7,8.2e-05,"According to the provided context:  * In the German Nationwide Survey, the incidence of pulmonary embolism (PE) and venous thromboembolism (VTE) after bariatric",,1,0,1,1,1,1.0,630,131,2071.8,9e-05,"According to the provided context, I can answer the following:  * The German Nationwide Survey reported an incidence of pulmonary embolism (PE) of 0.08% and ven",,1,0,1,1,1,1.0,715,96,1331.9,8.6e-05,"The German Nationwide Survey reported an incidence of pulmonary embolism (PE) of 0.08% after bariatric surgery.   According to the BOLD Registry, the incidence ",,1,0,1,1,1,1.0,811,244,3873.2,0.000138,"According to the text context, in Germany between 2005 and 2010, the incidence of VTE and PE in bariatric surgery was 0.06% and 0.08%, respectively.  The BOLD R",
"What is the odds ratio for headache in individuals with chronic pain, and what is it for back pain?",PMC4913715_00002.txt,multihop,llama4-scout,0,0,0,0,0,0.0,490,94,1740.7,6.7e-05,"I don't know. The provided context only mentions the odds ratios for migraine (OR = 6.73), parental headache (OR = 1.80), frequent events (OR = 1.12), and dysfu",,0,0,0,0,0,0.0,518,82,2136.2,6.6e-05,I don't know. The provided context and knowledge-graph facts do not mention the odds ratio for headache in individuals with chronic pain or back pain. The conte,,0,0,1,0,0,0.0,629,76,1319.3,7.3e-05,I don't know. The provided text context and image descriptions do not mention the odds ratio for headache in individuals with chronic pain or back pain. The tex,,0,0,0,0,0,0.0,661,162,3292.3,0.000101,"The provided text context and knowledge-graph facts do not mention the odds ratio for headache in individuals with chronic pain or back pain. However, I found a",
"What does the new global dataset on killings of journalists between 2002 and 2013 reveal about the perpetrators of all killings, and what does the analysis show about the likelihood of state repression deteriorating in the following two years after journalists are killed?",PMC5427995_00002.txt,multihop,llama4-scout,1,1,1,1,1,1.0,450,78,2008.0,5.9e-05,"According to the text, the dataset shows that:  1. International journalists are targeted only in certain circumstances. 2. In most killings, the perpetrators u",,1,1,1,1,1,1.0,534,71,2576.1,6.4e-05,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed.   The analysis,,1,1,1,1,1,1.0,616,108,2633.4,8.2e-05,The new global dataset on killings of journalists between 2002 and 2013 reveals that international journalists are targeted only in certain circumstances. Addit,,1,1,1,1,1,1.0,704,70,2451.5,7.7e-05,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed.   The analysis,
"What percentage of Native Hawaiians and other Pacific Islanders were among the highest of all ethnic groups for obesity, and what type of program was culturally adapted to reduce diabetes and improve weight and exercise in worksites serving these populations?",PMC4927448_00000.txt,multihop,llama4-scout,1,1,1,1,1,1.0,491,65,1075.2,5.9e-05,Native Hawaiians (72.5%) and other Pacific Islanders (27%) were among the highest of all ethnic groups for obesity. The program that was culturally adapted to r,,1,1,1,1,1,1.0,502,62,1255.2,5.9e-05,Native Hawaiians (72.5%) and other Pacific Islanders (27%) were among the highest of all ethnic groups for obesity. The PILI@Work Program was a translation of t,,1,1,1,1,1,1.0,622,103,2077.5,8.1e-05,"According to the text context, Native Hawaiians (72.5%) and other Pacific Islanders (27%) were among the highest of all ethnic groups for obesity, and they also",,1,1,1,1,1,1.0,637,94,2335.9,7.9e-05,"According to the text context, Native Hawaiians (72.5%) and other Pacific Islanders (27%) were among the highest of all ethnic groups for obesity, along with ot",
"What is the retention factor for moxonidine under the optimal HILIC conditions, and what is the recovery percentage for impurity A?",PMC5101389_00000.txt,multihop,llama4-scout,1,0,1,1,1,1.0,420,80,1308.4,5.8e-05,I don't know. The provided context does not mention the retention factor for moxonidine or the recovery percentage for impurity A specifically. It does mention ,,0,0,0,1,1,1.0,529,5,420.2,4.4e-05,I don't know.,,0,0,0,1,1,1.0,570,5,370.0,4.7e-05,I don't know.,,0,0,0,1,1,1.0,683,5,357.9,5.6e-05,I don't know.,
"What is the vapor pressure of 1-butanol at 304 K, and what is the vapor pressure of 1-nonanol at the same temperature?",PMC5704694_00001.txt,multihop,llama4-scout,0,0,0,1,1,1.0,495,5,640.5,4.1e-05,I don't know.,,0,0,0,1,1,1.0,506,5,651.7,4.2e-05,I don't know.,,0,0,0,1,1,1.0,678,5,402.7,5.6e-05,I don't know.,,0,0,0,1,1,1.0,693,5,350.8,5.7e-05,I don't know.,
"What is the number of cases reported for the 20–24 age group in the 2013 data, and what is the corresponding number for the 25–29 age group?",PMC4359599_00004.txt,multihop,llama4-scout,0,0,0,0,0,0.0,662,5,781.4,5.4e-05,I don't know.,,0,0,0,0,0,0.0,687,5,357.2,5.6e-05,I don't know.,,0,0,0,0,0,0.0,800,5,355.1,6.6e-05,I don't know.,,0,0,0,0,0,0.0,829,5,1153.1,6.8e-05,I don't know.,
"What is the age range of the males with FXS in the Repetitive Behavior Questionnaire study, and how many such individuals were included?",PMC5467057_00021.txt,multihop,llama4-scout,1,1,1,1,1,1.0,483,28,649.6,4.7e-05,"The males with FXS included in the study were aged 6-17 years, and there were 191 individuals in this group.",,1,1,1,1,1,1.0,519,34,721.6,5.2e-05,The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years. The study included 191 males with FXS.,,1,1,1,1,1,1.0,626,29,756.2,5.9e-05,"The males with FXS in the Repetitive Behavior Questionnaire study were aged 6-17 years, and there were 191 individuals included.",,1,1,1,1,1,1.0,666,29,637.2,6.2e-05,"The males with FXS in the Repetitive Behavior Questionnaire study were aged 6-17 years, and there were 191 individuals included.",
"What is the correlation between wave V latency and implant experience in the prelingual group, and what time constant describes the exponential decay of wave V latency on the middle electrode in prelingual subjects?",PMC4569605_00005.txt,multihop,llama4-scout,1,1,1,1,1,1.0,569,57,1069.2,6.3e-05,"In the prelingual group, wave V latency was significantly correlated with implant experience (r = -0.706, p < 0.04).   The time constant that describes the expo",,1,1,1,1,1,1.0,627,65,2994.2,7e-05,"In the prelingual group, wave V latency was significantly correlated with implant experience (r = -0.706, p = 0.004).   The wave V latencies on the middle elect",,1,1,1,1,1,1.0,731,64,1337.3,7.8e-05,The correlation between wave V latency and implant experience in the prelingual group is -0.706 (with a p-value of 0.004).   As for the time constant that descr,,1,1,1,1,1,1.0,793,119,2433.5,9.9e-05,"The correlation between wave V latency and implant experience in the prelingual group is -0.706, with a p-value of 0.004 (as stated in the text context: ""eAe V ",
What was the effect of celecoxib treatment on the escape latency and path length in diabetic rats compared to the diabetic group?,PMC5486519_00004.txt,multihop,llama4-scout,1,1,1,1,1,1.0,504,41,941.8,5.3e-05,"The escape latency and path length were significantly decreased in the diabetic group treated with celecoxib compared to the diabetic animals, suggesting that c",,1,1,1,1,1,1.0,582,48,1099.4,6.1e-05,The escape latency and path length were significantly decreased in the diabetic group treated with celecoxib compared to the diabetic group. This suggests that ,,1,1,1,1,1,1.0,700,66,1053.3,7.6e-05,"The escape latency and path length were significantly decreased in the diabetic group treated with celecoxib compared to the diabetic group, suggesting that cel",,1,1,1,1,1,1.0,782,48,847.1,7.7e-05,The escape latency and path length were significantly decreased in the diabetic group treated with celecoxib compared to the diabetic group. This suggests that ,
