question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What demographic and lifestyle factors are categorized in relation to mean BMI and waist circumference?,PMC4537884_00002_table0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,489,45,1046.4,6.7e-05,"I don't know. The provided text mentions that the study examined BMI, waist circumference, and prevalence rates of overweight and abdominal obesity with sociode",,0,1,1,0,0,0.0,568,47,565.0,7.6e-05,"Based on the provided context and knowledge-graph facts, lifestyle factors are related to abdominal obesity rates, and sociodemographic and lifestyle factors ar",,0,0,0,0,0,0.0,1584,51,883.3,0.000179,"Based on the provided text context, the specific demographic and lifestyle factors categorized in relation to mean BMI and waist circumference are not listed. T",,0,0,0,0,0,0.0,1667,84,1190.6,0.0002,"Based on the provided text context [PMC4537884_00002.txt], the demographic and lifestyle factors categorized in relation to mean BMI and waist circumference are",
How many genes are included in the Retinitis Pigmentosa panel?,PMC5592712_00002_table0.png,figure,gemini-flash-lite,1,1,1,0,0,0.0,529,46,516.3,7.1e-05,"The provided context states that the panel developed at the Casey Eye Institute (CEI) includes 132 retinal dystrophy genes, which are related to non-syndromic a",,1,1,1,0,0,0.0,551,47,518.1,7.4e-05,"The provided context states that the panel developed at the Casey Eye Institute contains 132 retinal dystrophy genes, which are related to all nonsyndromic and ",,1,0,1,0,0,0.0,1641,59,910.0,0.000188,"Based on the provided text, a panel with 132 retinal dystrophy genes was developed, which includes genes related to non-syndromic and a few syndromic forms of R",,0,0,1,0,0,0.0,1667,56,1407.9,0.000189,"I don't know. The provided text and context describe a panel of 132 retinal dystrophy genes related to forms of Retinitis Pigmentosa (RP), but it does not speci",
"What are the statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benefit (INB)?",PMC5763423_00016_table0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,360,6,544.6,3.8e-05,I don't know.,,0,0,0,0,0,0.0,400,6,349.1,4.2e-05,I don't know.,,0,1,1,0,0,0.0,1447,39,1029.5,0.00016,"I don't know. The provided text and image do not contain information regarding the specific statistical methods used to estimate incremental cost, incremental Q",,0,1,1,0,0,0.0,1491,39,673.1,0.000165,"I don't know. The provided text and image do not contain information regarding the specific statistical methods used to estimate incremental cost, incremental Q",
What genetic variants are analyzed for allele frequency in the NLGN3 and NLGN4X genes?,PMC3120659_00004_table0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,529,6,413.3,5.5e-05,I don't know.,,0,0,1,0,0,0.0,544,41,613.2,7.1e-05,"I don't know. The provided context mentions that Table 2 contains allelic frequencies for the NLGN3 and NLGN4X genes, but it does not list the specific genetic ",,0,1,1,0,0,0.0,1616,34,1142.6,0.000175,I don't know. The provided text and image do not list the specific genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes.,,0,0,1,0,0,0.0,1635,92,768.1,0.0002,"I don't know. The provided text context mentions that Table 2 contains allelic frequencies and case-control association analysis for the NLGN3 and NLGN4X genes,",
What types of microorganisms are distributed in the saturated zone during baseflow and an event?,PMC5947618_00010_figure0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,472,6,403.2,5e-05,I don't know.,,0,0,0,0,0,0.0,487,6,447.8,5.1e-05,I don't know.,,1,0,1,1,1,1.0,1559,93,1345.4,0.000193,"Based on the provided image, the microorganisms distributed in the saturated zone during both baseflow and an event include:  *   **Protozoa** *   **Bacteria an",,1,0,1,1,1,1.0,1578,83,1177.2,0.000191,"Based on the provided image, the microorganisms distributed in the saturated zone during both baseflow and an event include:  *   **Protozoa** *   **Bacteria an",
"What are the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups?",PMC5986835_00005_figure0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,624,6,557.7,6.5e-05,I don't know.,,0,0,1,0,0,0.0,639,33,537.8,7.7e-05,"I don't know. The provided context does not contain the concentrations for TGFβ1, IL-1β, and IL-6 across the three groups.",,0,0,1,0,0,0.0,1676,36,929.1,0.000182,"I don't know. The provided text and image do not contain the specific concentrations for TGFβ1, IL-1β, and IL-6 across the three groups.",,0,0,1,0,0,0.0,1695,68,698.1,0.000197,"I don't know. The provided text and image do not contain the concentrations of TGFβ1, IL-1β, and IL-6 across three groups. The image provides correlation (R) an",
What are the key considerations for bariatric intervention in type 1 diabetes?,PMC4936488_00011_table0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,347,6,407.3,3.7e-05,I don't know.,,0,0,0,0,0,0.0,362,6,479.1,3.9e-05,I don't know.,,0,0,0,0,0,0.0,1464,41,1091.2,0.000163,"I don't know. While the provided text mentions ""Clinical Considerations for Weight Loss Surgery in Obese Individuals with Type 1 Diabetes,"" it does not provide ",,0,0,0,0,0,0.0,1483,41,808.7,0.000165,"I don't know. While the provided text mentions ""Clinical Considerations for Weight Loss Surgery in Obese Individuals with Type 1 Diabetes,"" it does not provide ",
What are the categories compared for the duration and display percentages of alcohol cues and responsible drinking statements?,PMC5467671_00004_table0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,432,6,408.5,4.6e-05,I don't know.,,0,0,0,0,0,0.0,469,6,345.7,4.9e-05,I don't know.,,0,0,0,0,0,0.0,1524,33,1095.2,0.000166,I don't know. The provided text and image do not contain information regarding the categories compared for the duration and display percentages of alcohol cues ,,0,0,0,0,0,0.0,1565,33,636.1,0.00017,I don't know. The provided text and image do not contain information regarding the categories compared for the duration and display percentages of alcohol cues ,
What does the phylogenetic tree illustrate about genetic relationships?,PMC4366372_00020_figure0.png,figure,gemini-flash-lite,0,1,1,0,0,0.0,381,53,627.3,5.9e-05,The provided context states that the phylogenetic tree illustrates the phylogenetic relationships among *Histiostoma* species. It also indicates that species pr,,0,1,1,0,0,0.0,396,51,597.6,6e-05,The provided context states that the phylogenetic tree illustrates the phylogenetic relationships among *Histeusesbe* species. It also indicates which species p,,0,1,1,0,0,0.0,1473,50,1112.3,0.000167,"Based on the provided text and image, the phylogenetic tree illustrates the phylogenetic relationships among *Entamoeba* species. It also indicates species prod",,0,1,1,0,0,0.0,1492,67,785.6,0.000176,"Based on the provided text and image, the phylogenetic tree illustrates the phylogenetic relationships among *Entamoeba* species. It also indicates species prod",
What opportunities for additional funding are available for undergraduate medical education at Radboud University Medical Center?,PMC5579150_00007_table0.png,figure,gemini-flash-lite,0,0,0,0,0,0.0,404,6,355.5,4.3e-05,I don't know.,,0,0,0,0,0,0.0,440,6,367.8,4.6e-05,I don't know.,,1,0,1,1,1,1.0,1509,58,967.8,0.000174,"Based on the provided image, extra money for education at the Radboud University Medical Center can be earned through:  *   **SIRPME grants:** Earmarked for edu",,1,0,1,1,1,1.0,1549,58,781.8,0.000178,"According to the provided image, extra money for education at the Radboud University Medical Center can be earned through:  *   SIRPME grants, which are earmark",
