question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt,multihop_cross,llama4-maverick,1,0,1,0,0,0.0,469,127,3088.2,0.000147,The text does not directly state the relationship between the use of bidirectional gated recurrent units and the implementation of sentence-level BLEU as an obj,,1,1,1,0,0,0.0,547,175,2963.7,0.000187,The encoder is a bidirectional gated recurrent units that encodes the input sequence. The smoothed sentence-level BLEU is utilized as the reinforced objective f,,1,0,1,0,0,0.0,683,156,2492.1,0.000196,The text mentions that the encoder is a bidirectional gated recurrent unit that encodes the input sequence. It also states that the smoothed sentence-level BLEU,,1,1,1,0,0,0.0,765,218,4428.2,0.000246,"The text context states that the encoder is a ""bidirectional gated recurrent units that encodes the input sequence x=(x1,…,xm)"". It also mentions that the ""smoo",
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt,multihop_cross,llama4-maverick,1,1,1,1,1,0.333,441,54,1017.4,9.9e-05,"According to the context, pretrained word2vec embeddings are utilized by initializing the encoder with them and not updating them during the training process. T",,1,1,1,1,1,0.333,516,69,1645.5,0.000119,"According to the context passage [1705.09296v2.txt], pretrained word2vec embeddings are utilized in the training process by initializing the encoder with them a",,1,1,1,1,1,0.333,649,121,2142.1,0.00017,"According to the text context, pretrained word2vec embeddings are utilized in the training process by initializing the encoder with them and, in one case, not u",,1,1,1,1,1,0.333,728,58,1551.0,0.000144,Pretrained word2vec embeddings are utilized in the training process by initializing the encoder with these embeddings and not updating them. According to the te,
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt,multihop_cross,llama4-maverick,1,1,1,1,1,1.0,420,60,1418.1,9.9e-05,I don't know how maximum likelihood estimation is applied in supervised summarization approaches because the provided context doesn't mention it in that context,,0,0,1,1,1,1.0,491,286,6744.5,0.000245,"To answer the question, we need to examine the provided context passages and knowledge-graph facts.  The first passage, [1812.00108v4.txt], discusses supervised",,0,0,1,1,1,1.0,725,197,2181.9,0.000227,"To answer the question, we need to examine the provided text context.  The text context does not directly discuss the application of maximum likelihood estimati",,0,0,1,1,1,1.0,800,239,3158.0,0.000263,"To answer the question, we need to look at the provided text context and knowledge-graph facts.  The text context from [1703.04887v4.txt] mentions that ""we use ",
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt,multihop_cross,llama4-maverick,1,1,1,1,1,1.0,394,142,1825.9,0.000144,"According to the context, knowledge transfer in action recognition utilizes a large amount of training data based on visual similarity. The context states that ",,1,0,1,1,1,1.0,467,157,2318.4,0.000164,"According to the context passage [1804.01429v3.txt], knowledge transfer for action recognition is based on visual similarity, which requires a large amount of t",,1,0,1,1,1,1.0,611,294,4007.6,0.000268,"According to the text context, knowledge transfer in action recognition utilizes a large amount of training data based on visual similarity. Previous work on kn",,0,1,1,1,1,1.0,688,209,3901.8,0.000229,"According to the text context, knowledge transfer in action recognition utilizes a large amount of training data based on visual similarity. Previous work on kn",
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt,multihop_cross,llama4-maverick,1,1,1,1,1,0.5,431,79,1999.5,0.000112,"According to the provided context, in the smoke dataset, the baseline model learns spatial and temporal features and their correlation by using the original, un",,1,1,1,1,1,0.5,504,259,3537.6,0.000231,"To address the question, we need to break it down into parts related to the baseline model in the smoke dataset and the method used for processing spatial featu",,1,1,1,1,1,0.5,658,254,4951.1,0.000251,"To address the question, we need to look at how the baseline model in the smoke dataset learns spatial and temporal features and the method used for processing ",,1,1,1,1,1,0.5,735,183,4104.5,0.00022,"To answer the question, we need to look at the information provided in the text context and knowledge-graph facts.  For the smoke dataset, according to [1811.09",
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt,multihop_cross,llama4-maverick,1,1,1,0,0,0.0,375,91,1779.6,0.000111,"According to the context, one of the most challenging temporal action localization datasets mentioned is THUMOS14. It is not explicitly stated that it is introd",,1,1,1,0,0,0.0,444,75,1950.0,0.000112,"You don't ask about a specific dataset mentioned in the context, but one is mentioned: THUMOS14. According to the context, a key requirement for efficient searc",,1,1,1,0,0,0.0,568,77,1022.5,0.000131,"According to the text context, one of the most challenging temporal action localization datasets mentioned is THUMOS14. The text does not explicitly introduce n",,0,1,1,0,0,0.0,641,115,1481.3,0.000165,"You don't know the specific datasets introduced for temporal action localization from the given text context. However, it is mentioned that ""datasets have becom",
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt,multihop_cross,llama4-maverick,1,1,1,1,1,0.5,394,101,1913.0,0.00012,"According to the provided context, tensor factorization methods face challenges in modeling time modes due to its irregularity. Additionally, when applied to HR",,1,1,1,1,1,0.5,472,66,991.0,0.00011,"According to the context passages, tensor factorization methods face challenges in modeling time modes due to its irregularity. In the context of HRSI, straight",,1,1,1,1,1,0.5,552,70,1154.7,0.000125,"According to the text context, tensor factorization methods face challenges in modeling time modes due to its irregularity. Additionally, straightforward adapta",,1,1,1,1,1,0.5,634,55,1043.7,0.000128,"Tensor factorization methods face challenges in modeling time modes due to irregularity. A novel approach, Tensor Factorization with Back-off and Aggregation (T",
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt,multihop_cross,llama4-maverick,1,0,1,1,1,1.0,395,109,2100.9,0.000125,"The context doesn't directly state how mutual information estimation contributes to the talking face generation task, but it does mention that an ""asymmetric mu",,1,1,1,1,1,1.0,478,118,2212.7,0.000142,"According to the context passages and knowledge-graph facts, mutual information estimation contributes to the talking face generation task by exploring the cohe",,1,1,1,1,1,1.0,600,154,3159.4,0.000182,"Based on the provided text context, the mutual information estimator is used to maximize the coherence between audio and visual modalities for arbitrary talking",,1,1,1,1,1,1.0,687,103,1865.4,0.000165,"The talking face generation task aims to generate a sequence of frames that preserve the identity across a long time range, have accurate lip shape correspondin",
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt,multihop_cross,llama4-maverick,1,0,1,1,1,0.333,482,78,1492.6,0.000119,"The provided context doesn't directly mention how MTSA contributes to question-type classification. However, it does mention that question-type classification (",,1,0,1,1,1,0.333,515,113,2017.5,0.000145,"According to the given context, MTSA's contribution to question-type classification isn't directly stated, but it's mentioned in [1805.00912v4.txt] that MTSA's ",,0,0,1,1,1,0.333,700,159,2598.9,0.0002,"To answer the question, we need to look at the provided text context.  The text context mentions that MTSA's capability is verified on the semantic role labelin",,1,1,1,1,1,0.333,737,205,5759.8,0.000234,"To answer the question, we need to analyze the given text context and knowledge-graph facts.  Firstly, the text context states that MTSA's capability is verifie",
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt,multihop_cross,llama4-maverick,0,1,1,0,0,0.0,383,58,2610.0,9.2e-05,"I don't know. The provided context doesn't discuss the challenges semantic segmentation models face when tested on different datasets. It does, however, discuss",,1,1,1,0,0,0.0,468,149,4638.3,0.00016,The provided context and knowledge-graph facts do not directly discuss the challenges semantic segmentation models face when tested on different datasets. Howev,,1,1,1,0,0,0.0,534,184,38225.4,0.00019,"The text does not directly discuss the challenges semantic segmentation models face when tested on different datasets. However, it does describe a semi-supervis",,1,0,1,0,0,0.0,623,269,4826.4,0.000255,"The text context does not directly discuss the challenges semantic segmentation models face when tested on different datasets. However, it does describe a semi-",
