question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"Which coreference resolver ranks best on the CoNLL development and test sets, and what is the performance ranking of the same systems when evaluated on the WikiCoref dataset?",1708.00160v2.txt,multihop,llama4-scout,1,1,1,1,1,1.0,447,59,2953.8,5.3e-05,"The model of Lee et al. (2017) performs the best on the CoNLL development and test sets, and the model of Clark and Manning (2016b) performs the second best. Ho",,1,1,1,1,1,1.0,523,150,5131.1,8.7e-05,"The model of Lee et al. (2017) performs the best on the CoNLL development and test sets, while the model of Clark and Manning (2016b) performs the second best. ",,1,1,1,1,1,1.0,661,73,1849.9,7.5e-05,"The model of Lee et al. (2017) performs the best on the CoNLL development and test sets. However, if evaluated on the WikiCoref dataset, the performance ranking",,1,1,1,1,1,1.0,741,118,4534.7,9.5e-05,"The model of Lee et al. (2017) performs the best on the CoNLL development and test sets. However, if we evaluate these systems on the WikiCoref dataset, the per",
"In the MTSA mechanism, which type of self-attention captures pairwise dependency, and which type captures global dependency?",1805.00912v4.txt,multihop,llama4-scout,1,1,1,1,1,1.0,417,80,2092.1,5.7e-05,"According to the context:  1. The pairwise dependency is captured by a **token2token self-attention**, which is an efficient dot-product based self-attention. 2",,1,1,1,1,1,1.0,500,68,2400.3,6e-05,According to the provided context:  1. Pairwise dependency is captured by an efficient **dot-product based token2token self-attention**. 2. Global dependency is,,1,1,1,1,1,1.0,616,56,3187.6,6.6e-05,"According to the text context:  In the MTSA mechanism,  1) the **token2token self-attention** captures pairwise dependency, using an efficient dot-product based",,1,1,1,1,1,1.0,703,43,2401.4,6.9e-05,In the MTSA mechanism:  * Pairwise dependency is captured by **dot-product based token2token self-attention**. * Global dependency is captured by **feature-wise,
"What percentage of fake news data traffic during the 2016 US president election came from online social networks, and what type of traditional medium had a smaller share than that?",1805.08751v2.txt,multihop,llama4-scout,1,1,1,1,1,1.0,400,81,5314.9,5.6e-05,"According to the context, online social networks accounted for more than 41.8% of the fake news data traffic during the election. The context also states that o",,1,1,1,1,1,1.0,489,50,2006.8,5.4e-05,"According to the context passages, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. The",,1,1,1,1,1,1.0,672,51,3490.2,6.9e-05,"According to the text, online social networks accounted for more than 41.8% of the fake news data traffic during the election. The traditional medium that had a",,1,1,1,1,1,1.0,765,101,2990.8,9.2e-05,"According to the text context, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. The tex",
"In the Seq2Sick framework, which two techniques are combined to address the challenge posed by the discrete input space of sequence-to-sequence models?",1803.01128v3.txt,multihop,llama4-scout,0,0,1,1,1,1.0,488,5,459.7,4.1e-05,I don't know.,,1,0,1,1,1,1.0,562,79,3148.8,6.9e-05,The two techniques combined to address the challenge posed by the discrete input space of sequence-to-sequence models in the Seq2Sick framework are not explicit,,0,0,0,1,1,1.0,699,143,3703.2,9.9e-05,The text doesn't explicitly state which two techniques are combined to address the challenge posed by the discrete input space of sequence-to-sequence models in,,1,0,1,1,1,1.0,777,12,1150.7,6.6e-05,The techniques are projected gradient method and group lasso.,
"What speed-up does the Simple Recurrent Unit achieve compared to cuDNN LSTM, and on which two task types does it outperform common recurrent and non-recurrent architectures?",1709.02755v5.txt,multihop,llama4-scout,1,1,1,1,1,1.0,437,49,1951.6,5e-05,"According to the context, the Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. SRU outperforms common recurrent and non-recurrent ar",,1,1,1,1,1,1.0,486,45,1833.3,5.2e-05,The Simple Recurrent Unit (SRU) achieves a 5-9x speed-up compared to cuDNN LSTM.   SRU outperforms common recurrent and non-recurrent architectures on classific,,1,1,1,1,1,1.0,626,42,1588.0,6.3e-05,The Simple Recurrent Unit (SRU) achieves a 5-9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,679,44,1751.6,6.8e-05,The Simple Recurrent Unit (SRU) achieves a speed-up of 5-9x compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classific,
"What speed-up factor does the mobile device implementation achieve, and what type of function is used to represent a single 3D input surface over time?",1704.07854v4.txt,multihop,llama4-scout,0,1,1,1,1,1.0,407,92,2987.4,6e-05,"According to the context, the approach achieves effective speed-up factors of more than 2000.  As for the type of function used to represent a single 3D input s",,1,1,1,1,1,1.0,485,46,3074.1,5.3e-05,"The mobile device implementation achieves an effective speed-up factor of more than 2000. A 4D array, specifically a four-dimensional signed-distance function, ",,1,1,1,1,1,1.0,587,80,3950.2,7.1e-05,The approach generates liquid animations several orders of magnitude faster than a traditional simulator and achieves effective speed-up factors of more than **,,1,1,1,1,1,1.0,669,84,2668.6,7.9e-05,"The mobile device implementation achieves an effective speed-up factor of more than 2000.   A 4D array, specifically a four-dimensional signed-distance function",
"In the network traffic use case, what type of query is used to find malicious attackers, and in the social networks use case, what type of query is used to track the spreading path of news?",1809.01246v1.txt,multihop,llama4-scout,1,1,1,1,1,1.0,411,201,4431.8,9.3e-05,"In the network traffic use case, a node query is used to find malicious attackers.   In the social networks use case, the type of query used to track the spread",,0,0,1,1,1,1.0,469,396,16337.4,0.000156,"To answer the question, let's break it down based on the provided context passages and knowledge-graph facts.  1. **Network Traffic Use Case**: In the network t",,1,1,1,1,1,1.0,581,60,2516.1,6.4e-05,"In the network traffic use case, a **node query** is used to find malicious attackers.  In the social networks use case, a **subgraph query** is used to track t",,1,1,1,1,1,1.0,643,45,1837.8,6.5e-05,"To find malicious attackers in the network traffic use case, node queries are used.   To track the spreading path of news in social networks, subgraph queries a",
"In the Taobao adaptive exposure framework, what two levels of constraints are considered when determining the maximum and average number of ads per user visit?",1809.03149v2.txt,multihop,llama4-scout,1,1,1,1,1,1.0,397,57,1750.7,4.9e-05,The two levels of constraints considered are:   1. Request-level: the maximum number of ads on each request (user visit) cannot exceed a threshold. 2. Platform-,,1,1,1,1,1,1.0,515,57,3841.2,5.8e-05,The two levels of constraints considered are:   1. Request-level: the maximum number of ads on each request (user visit) cannot exceed a threshold. 2. Platform-,,1,1,1,1,1,1.0,626,60,2295.2,6.8e-05,"The two levels of constraints considered are:   1. Request-level: the maximum number of ads on each request (i.e., user visit) cannot exceed a threshold. 2. Pla",,1,1,1,1,1,1.0,748,60,2456.5,7.8e-05,"The two levels of constraints considered are:   1. Request-level: the maximum number of ads on each request (i.e., user visit) cannot exceed a threshold. 2. Pla",
"What is the average path length of a merge-and-run block with two residual branches, and what testing error does the network built from these blocks achieve on CIFAR-100?",1611.07718v2.txt,multihop,llama4-scout,0,1,1,1,1,1.0,408,55,1784.3,4.9e-05,I don't know. The context does not provide the average path length of a merge-and-run block with two residual branches or the testing error on CIFAR-100. It doe,,0,0,0,1,1,1.0,486,177,7810.1,9.2e-05,"The average path length of two residual blocks is 2.22, while the average lengths of the corresponding inception-like block and merge-and-run block are not expl",,0,0,1,1,1,1.0,647,217,6325.7,0.000117,"The average length of a merge-and-run block with two residual branches is not explicitly stated for CIFAR-100, but it is mentioned that the average lengths of t",,0,0,1,1,1,1.0,729,143,5818.6,0.000101,"The average path length of two residual blocks is 2, and the average lengths of the corresponding inception-like block and merge-and-run block are compared. How",
"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, how many times per day could a contestant submit guesses, and what accuracy metric did the oracle return for each submission?",1709.02418v2.txt,multihop,llama4-scout,1,1,1,1,1,1.0,434,98,2968.3,6.4e-05,"According to the context, in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times ",,1,1,1,1,1,1.0,531,110,2601.3,7.5e-05,"According to the context passages:  * A contestant could submit guesses up to 5 times per day. * For each submission, the oracle returned the log-loss of the gu",,1,1,1,1,1,1.0,635,71,1523.1,7.2e-05,"According to the text context, in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 t",,1,1,1,1,1,1.0,736,151,4221.3,0.000104,"According to the text context, in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 t",
