question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"What is the name of the algorithm proposed for mining informative (feature, value) pairs in coreference resolution?",1708.00160v2.txt,text,llama4-maverick,1,1,1,1,1,1.0,387,11,775.6,6.5e-05,The name of the algorithm proposed is EPM.,,1,1,1,1,1,1.0,447,20,546.1,7.9e-05,"The name of the algorithm proposed for mining informative (feature, value) pairs is EPM.",,1,1,1,1,1,1.0,564,38,762.7,0.000107,"The name of the algorithm proposed for determining informative (feature, value) pairs is called EPM. According to the text, EPM stands for an efficient discrimi",,1,1,1,1,1,1.0,628,35,1035.9,0.000115,"The algorithm proposed for determining informative (feature, value) pairs is called EPM. According to the text context, EPM is an efficient discriminative patte",
What approach is proposed to safely collect demonstrations for training a deep neural network based assistive robot controller?,1603.03833v4.txt,text,llama4-maverick,1,1,1,1,1,1.0,363,42,679.5,8e-05,"The proposed approach is to have users demonstrate tasks in a virtual environment, allowing for the safe collection of sufficient demonstrations to train a deep",,1,1,1,1,1,1.0,427,33,1102.7,8.4e-05,"The proposed approach is to have users demonstrate tasks in a virtual environment, allowing for the safe collection of sufficient demonstrations to train a deep",,1,1,1,1,1,1.0,591,42,689.6,0.000114,"The proposed approach is to have users demonstrate tasks in a virtual environment, allowing for the safe collection of sufficient demonstrations to train a deep",,1,1,1,1,1,1.0,659,42,958.0,0.000124,"The proposed approach is to have users demonstrate tasks in a virtual environment, allowing for the safe collection of sufficient demonstrations to train a deep",
What are the two categories into which self-attention mechanisms are divided based on the type of dependency they model?,1805.00912v4.txt,text,llama4-maverick,1,1,1,1,1,1.0,447,135,1844.8,0.000148,"Token2token self-attention and source2token self-attention. However, the text also mentions that another source categorizes self-attention mechanisms into token",,1,1,1,1,1,1.0,520,70,1411.9,0.00012,Self-attention mechanisms can be categorized into two classes according to the type of dependency each aims to model: token2token self-attention and source2toke,,1,1,1,1,1,1.0,612,73,1205.3,0.000136,"According to the text, self-attention mechanisms can be categorized into two classes: token2token self-attention and source2token self-attention, based on the t",,1,1,1,1,1,1.0,689,53,1534.7,0.000135,Self-attention mechanisms can be categorized into two classes according to the type of dependency each aims to model: token2token self-attention and source2toke,
What is the name of the model introduced by Pedarsani et al. in 2011 for studying de-anonymization?,1805.02349v2.txt,text,llama4-maverick,1,1,1,1,1,1.0,508,38,1079.2,9.9e-05,"The model is called the correlated Erdös-Rényi model, denoted as 𝔾⁡(n,p;γ) or \operatorname{\mathbb{G}}(n,p;\gamma).",,1,1,1,1,1,1.0,546,26,1465.5,9.7e-05,"The model is called the correlated Erdös-Rényi model, denoted as 𝔾⁡(n,p;γ).",,1,1,1,1,1,1.0,736,50,861.6,0.00014,"The model introduced by Pedarsani et al. in 2011 is called the correlated Erdös-Rényi model, denoted as 𝔾⁡(n,p;γ) or \operatorname{\mathbb{G}}(n,p;\gamma).",,1,1,1,1,1,1.0,778,26,740.5,0.000132,"The model is called the correlated Erdös-Rényi model, denoted as 𝔾⁡(n,p;γ).",
What is the weight of a loss in the adaptive weighted sum used for anytime neural networks?,1708.06832v3.txt,text,llama4-maverick,1,1,1,1,1,1.0,395,21,575.2,7.2e-05,The weight of a loss is inversely proportional to the empirical mean of the loss on the training set.,,1,1,1,1,1,1.0,478,114,1870.5,0.00014,"The weight of a loss is inversely proportional to the empirical mean of the loss on the training set.   This is directly stated in the passage: ""the weight of a",,1,1,1,1,1,1.0,598,21,9544.1,0.000102,The weight of a loss is inversely proportional to the empirical mean of the loss on the training set.,,1,1,1,1,1,1.0,685,91,1603.8,0.000157,"The weight of a loss is inversely proportional to the empirical mean of the loss on the training set. According to the knowledge-graph facts, it is stated that ",
What loss function is proposed for end-to-end F-measure maximization in salient object detection?,1805.07567v2.txt,text,llama4-maverick,1,1,1,1,1,1.0,424,10,1066.6,7e-05,The proposed loss function is named FLoss.,,1,1,1,1,1,1.0,513,59,1260.9,0.000112,"The loss function proposed for end-to-end F-measure maximization in salient object detection is FLoss. According to the context, FLoss is a relaxed F-measure th",,1,1,1,1,1,1.0,657,38,1087.5,0.000121,"The proposed loss function is named FLoss. It is designed to be differentiable with respect to the predicted posteriors, allowing for end-to-end F-measure maxim",,1,1,1,1,1,1.0,750,49,1413.8,0.000142,"The proposed loss function is named FLoss. It is designed to be differentiable with respect to the predicted posteriors, allowing it to be used as the optimizat",
What is the name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction?,1707.01917v2.txt,text,llama4-maverick,1,1,1,1,1,1.0,409,20,566.2,7.3e-05,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,,1,1,1,1,1,1.0,474,35,1655.5,9.2e-05,"TFBA. According to the context passage [1707.01917v2.txt], ""we proposed TFBA, a tensor factorization-based method for higher-order RSI.""",,1,1,1,1,1,1.0,606,20,718.0,0.000103,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,,1,1,1,1,1,1.0,675,20,2090.7,0.000113,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,
What method does the Multi-X approach use to reduce the label space and speed up energy minimization?,1706.00827v2.txt,text,llama4-maverick,1,1,1,1,1,1.0,368,39,1171.9,7.9e-05,"The Multi-X approach uses mode seeking, specifically replacing a set of labels with the corresponding density mode in the model parameter domain, to significant",,1,1,1,1,1,1.0,448,39,1331.9,9.1e-05,"The Multi-X approach uses mode seeking, specifically replacing a set of labels with the corresponding density mode in the model parameter domain, to significant",,1,1,1,1,1,1.0,575,52,951.4,0.000117,"The Multi-X approach uses a ""mode seeking"" or ""label replacement move"" to reduce the label space and speed up energy minimization. Specifically, it replaces a s",,1,1,1,1,1,1.0,659,56,1276.2,0.000132,"The Multi-X approach uses a ""label replacement move"" to reduce the label space and speed up energy minimization. Specifically, it replaces a set of labels corre",
What is the average length of a merge-and-run block when two residual branches are assembled in parallel?,1611.07718v2.txt,text,llama4-maverick,0,0,1,1,1,1.0,452,125,1340.0,0.000143,You don't know the average length of a merge-and-run block. The text only compares the average length of two residual blocks to the average lengths of the corre,,0,0,1,1,1,1.0,530,96,1645.8,0.000137,"You don't know the exact average length of a merge-and-run block. However, according to the context passage, it is mentioned that ""The average lengths of the co",,0,1,1,1,1,1.0,645,87,1212.1,0.000149,"The text does not directly state the average length of a merge-and-run block. However, it does compare the average length of two residual blocks (222) to the av",,0,1,1,1,1,1.0,727,138,3002.9,0.000192,"You don't have the exact average length of a merge-and-run block in the provided text. However, the text does compare the average length of two residual blocks ",
What is the maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle?,1709.02418v2.txt,text,llama4-maverick,1,1,1,1,1,1.0,416,46,1100.3,9e-05,"5. According to the text, ""every contestant can submit her/his guesses up to 5 times per day"" in the 2017 Intel & MobileODT Cervical Cancer Screening competitio",,1,1,1,1,1,1.0,505,46,1660.4,0.000103,"5. According to the passage, ""every contestant can submit her/his guesses up to 5 times per day"" in the 2017 Intel & MobileODT Cervical Cancer Screening competi",,1,1,1,1,1,1.0,634,33,981.0,0.000115,The maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle is 5.,,1,1,1,1,1,1.0,727,82,1442.7,0.000158,The maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle is 5. This ,
