question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What vaccine is currently the only one used in China for leptospirosis?,PMC5985562_00009.txt,text,gpt4o-mini,1,1,1,1,1,1.0,432,20,1027.6,7.7e-05,The only vaccine currently used in China for leptospirosis is a multivalent inactivated vaccine.,,1,1,1,1,1,1.0,445,20,1017.1,7.9e-05,The only vaccine currently used in China for leptospirosis is a multivalent inactivated vaccine.,,1,1,1,1,1,1.0,622,20,1021.7,0.000105,The only vaccine currently used in China for leptospirosis is a multivalent inactivated vaccine.,,1,1,1,1,1,1.0,639,19,847.1,0.000107,The currently used vaccine in China for leptospirosis is a multivalent inactivated vaccine.,
What percentage increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS?,PMC5731661_00008.txt,text,gpt4o-mini,1,1,1,1,1,1.0,472,26,972.0,8.6e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1,1.0,519,26,1638.4,9.3e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1,1.0,628,26,900.8,0.00011,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1,1.0,679,26,864.4,0.000117,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,
What is the name of the instrument developed at Laval University to measure doctor-patient communication competency in medical students?,PMC5658909_00001.txt,text,gpt4o-mini,1,1,1,1,1,1.0,422,33,982.4,8.3e-05,The instrument developed at Laval University to measure doctor-patient communication competency in medical students is called the Doctor-Patient Communication C,,0,0,0,1,1,1.0,515,4,619.0,8e-05,I don't know.,,1,0,1,1,1,1.0,589,34,984.7,0.000109,"The instrument developed at Laval University to measure doctor-patient communication competency in medical students is called the ""Doctor-Patient Communication ",,0,0,0,1,1,1.0,686,4,539.0,0.000105,I don't know.,
What linguistic cue indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension?,PMC5018041_00001.txt,text,gpt4o-mini,1,1,1,1,1,1.0,366,28,856.0,7.2e-05,The use of the subjunctive mood indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension.,,1,1,1,1,1,1.0,420,30,909.8,8.1e-05,The subjunctive mood is the linguistic cue that indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension.,,1,1,1,1,1,1.0,524,32,968.0,9.8e-05,The linguistic cue that indicates the speaker knows what they are saying is factually not true in counterfactual comprehension is the use of the subjunctive moo,,1,1,1,1,1,1.0,582,29,803.2,0.000105,The linguistic cue that indicates the speaker knows what they are saying is factually not true in counterfactual comprehension is the subjunctive mood.,
What was the primary diagnosis of the 115 women in the BED group?,PMC3051108_00002.txt,text,gpt4o-mini,1,1,1,1,1,1.0,463,20,994.1,8.1e-05,The primary diagnosis of the 115 women in the BED group was Binge Eating Disorder (BED).,,1,0,1,1,1,1.0,481,20,1023.2,8.4e-05,The primary diagnosis of the 115 women in the BED group was Binge Eating Disorder (BED).,,1,1,1,1,1,1.0,603,20,871.6,0.000102,The primary diagnosis of the 115 women in the BED group was Binge Eating Disorder (BED).,,1,0,1,1,1,1.0,625,19,1272.4,0.000105,The primary diagnosis of the 115 women in the BED group was binge eating disorder (BED).,
What type of mice were used to evaluate the protective role of EGCG against diabetic testicular damage?,PMC5733955_00001.txt,text,gpt4o-mini,0,1,1,1,1,1.0,477,34,1003.2,9.2e-05,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,,0,1,1,1,1,1.0,570,34,874.2,0.000106,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,,0,1,1,1,1,1.0,659,34,1349.9,0.000119,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,,0,1,1,1,1,1.0,756,34,924.2,0.000134,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,
What questionnaire module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms?,PMC5759866_00005.txt,text,gpt4o-mini,1,1,1,1,1,1.0,498,28,1014.2,9.1e-05,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-ERDS.,,1,1,1,1,1,1.0,588,28,925.6,0.000105,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-ERDS.,,1,1,1,1,1,1.0,656,28,879.9,0.000115,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-ERDS.,,1,1,1,1,1,1.0,750,28,803.7,0.000129,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-ERDS.,
What year is associated with the Cngenve ae Fae nvsom esas entity in the passage?,PMC4974260_00004.txt,text,gpt4o-mini,0,0,0,0,0,0.0,457,4,818.3,7.1e-05,I don't know.,,0,0,0,0,0,0.0,470,4,1606.2,7.3e-05,I don't know.,,0,0,0,0,0,0.0,629,4,844.6,9.7e-05,I don't know.,,0,0,0,0,0,0.0,646,4,700.4,9.9e-05,I don't know.,
What term did the vocational trainees in this Swedish general practice study use to refer to a specific refugee group?,PMC4205530_00005.txt,text,gpt4o-mini,1,1,1,1,1,1.0,440,26,907.8,8.2e-05,"The term used to refer to a specific refugee group by the vocational trainees in the Swedish general practice study is ""Somali patient.""",,1,1,1,1,1,1.0,470,21,1401.2,8.3e-05,"The vocational trainees in the Swedish general practice study referred to a specific refugee group as ""Somali patient.""",,1,1,1,1,1,1.0,602,26,1042.9,0.000106,"The term used to refer to a specific refugee group by the vocational trainees in the Swedish general practice study is ""Somali patient.""",,1,0,1,1,1,1.0,636,21,843.1,0.000108,"The vocational trainees in the Swedish general practice study referred to a specific refugee group as ""Somali patient.""",
What two approaches are discussed for assessing the grammatical abilities of nonhuman animals?,PMC5325849_00000.txt,text,gpt4o-mini,1,1,1,1,1,1.0,431,50,1319.7,9.5e-05,"The two approaches discussed for assessing the grammatical abilities of nonhuman animals are: 1) comparing the vocalizations of animals to linguistic ones, and ",,1,1,1,1,1,1.0,451,51,1351.3,9.8e-05,"The two approaches discussed for assessing the grammatical abilities of nonhuman animals are: 1) comparing the vocalizations of animals to human language, and 2",,1,1,1,1,1,1.0,587,50,1672.8,0.000118,"The two approaches discussed for assessing the grammatical abilities of nonhuman animals are: 1) comparing the vocalizations of animals to linguistic ones, and ",,1,1,1,1,1,1.0,611,50,1282.3,0.000122,"The two approaches discussed for assessing the grammatical abilities of nonhuman animals are: 1) comparing the vocalizations of animals to linguistic ones, and ",
