question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
Are Bamboo Mañalac and Danny Jones both musicians?,Bamboo_Manalac_c064bb.txt|Danny_Jones.txt,hotpot_comparison,llama4-scout,0,0,1,0.5,0,1.0,340,30,2108.0,3.6e-05,"I don't know. The text only mentions Bamboo Mañalac as a musician, and there's no mention of a person named Danny Jones.",,0,0,1,0.5,0,1.0,418,41,2196.2,4.6e-05,I don't know. The context and knowledge-graph facts do not mention a person named Danny Jones. They only provide information about Bamboo Mañalac as a Filipino ,,1,1,1,1.0,1,1.0,464,56,1832.4,5.4e-05,"Yes, Bamboo Mañalac and Danny Jones are both musicians. Bamboo Mañalac is a Filipino American musician and singer-songwriter, and Danny Jones is a British music",
"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",Battle_of_Manila_1945.txt|Seven_Days_Battles.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,317,56,1347.5,4.2e-05,"The Seven Days Battles occurred from June 25 to July 1, 1862, and the Battle of Manila occurred from February 3, 1945 – March 3, 1945. Therefore, the Seven Days",,1,1,1,1.0,1,1.0,429,57,1170.9,5.1e-05,"The Seven Days Battles occurred from June 25 to July 1, 1862, while the Battle of Manila occurred from February 3, 1945, to March 3, 1945. Therefore, the Seven ",,1,1,1,1.0,1,1.0,478,47,1267.7,5.2e-05,"The Seven Days Battles (June 25 to July 1, 1862) were fought earlier in the nation's history than the Battle of Manila (February 3, 1945 – March 3, 1945).",
Are Yingkou and Fuding the same level of city?,Fuding.txt|Yingkou.txt,hotpot_comparison,llama4-scout,1,0,1,0.5,0,1.0,243,25,1402.5,2.7e-05,"No, Yingkou is a prefecture-level city and there is no information on the level of city Fuding is.",,0,0,1,0.5,0,1.0,332,123,4521.8,6.3e-05,"According to the context passages, Yingkou is a prefecture-level city, but I don't have information about the level of city Fuding is. However, based on the pro",,1,1,1,1.0,1,1.0,366,62,1630.6,4.8e-05,"According to the context, Yingkou is a prefecture-level city of Liaoning province, while Fuding is a county-level city in northeastern Ningde prefecture level c",
Are Hot Rod and The Memory of Our People both magazines?,Hot_Rod_magazine.txt|The_Memory_of_Our_People.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,218,15,722.5,2.2e-05,"Yes, both Hot Rod and The Memory of Our People are magazines.",,1,1,1,1.0,1,1.0,298,50,1606.6,3.9e-05,"Yes, both Hot Rod and The Memory of Our People are magazines. This is confirmed by the context passages and knowledge-graph facts, which describe Hot Rod as a """,,1,1,1,1.0,1,1.0,277,33,1080.5,3.2e-05,"Yes, they are both magazines. Hot Rod is a monthly American car magazine and The Memory of Our People is a magazine published in the Argentine city of Rosario.",
"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Henri_Bergson.txt|Thomas_Friedman.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,276,27,1407.9,3e-05,"Thomas Friedman, a three-time Pulitzer Prize winner. I don't know if Henri Bergson has won any Pulitzer Prizes.",,1,1,1,1.0,1,1.0,294,38,1673.9,3.5e-05,"Thomas Friedman has won three Pulitzer Prizes, while Henri Bergson has not been mentioned as a Pulitzer Prize winner. Therefore, Thomas Friedman has won more Pu",,1,1,1,1.0,1,1.0,520,30,975.9,5.1e-05,"Thomas Friedman, because he is a three-time Pulitzer Prize winner. I don't know if Henri Bergson has won any Pulitzer Prizes.",
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,Elko_Regional_Airport.txt|Gerald_R._Ford_International_Airport.txt,hotpot_comparison,llama4-scout,1,0,1,0.5,0,1.0,300,33,1747.3,3.4e-05,"I don't know. The context only provides information about Gerald R. Ford International Airport, which is located in Michigan. It does not mention Elko Regional ",,1,0,1,0.5,0,1.0,410,33,852.3,4.3e-05,"I don't know. The context only provides information about Gerald R. Ford International Airport, which is located in Michigan, but does not mention Elko Regional",,1,0,1,1.0,1,1.0,469,31,1657.9,4.7e-05,"No. Elko Regional Airport is located in Elko County, Nevada, and Gerald R. Ford International Airport is located in Cascade Township, Michigan.",
Are Freakonomics and In the Realm of the Hackers both American documentaries?,Freakonomics_film.txt|In_the_Realm_of_the_Hackers.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,399,25,1203.1,3.9e-05,"No, In the Realm of the Hackers is an Australian documentary, while Freakonomics is an American documentary.",,1,0,1,1.0,1,1.0,444,49,1706.5,5e-05,"No, they are not. According to the context passages and knowledge-graph facts, ""In the Realm of the Hackers"" is an Australian documentary (2003), while ""Freakon",,1,1,1,1.0,1,1.0,575,25,1197.7,5.3e-05,"No, Freakonomics is an American documentary, but In the Realm of the Hackers is an Australian documentary.",
"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters_to_Cleo.txt|Screaming_Trees.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,310,78,2575.4,4.8e-05,"Letters to Cleo had 6 members: Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and Tom Polce.  Screaming Trees had 4 members: Mark La",,1,1,1,1.0,1,1.0,385,130,2456.0,7e-05,"To determine which band had more members, let's list the members of each band.  The members of Letters to Cleo are:  1. Kay Hanley 2. Greg McKenna 3. Michael Ei",,1,1,1,1.0,1,1.0,521,83,1320.7,6.7e-05,"According to the context, Letters to Cleo had 6 members: Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and Tom Polce.  The Screamin",
"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Lev_Yilmaz.txt|Pamela_B._Green.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,281,28,1191.3,3.1e-05,Lev Yilmaz was known for animation. He is best known for his “Tales of Mere Existence” animated comic series.,,1,1,1,1.0,1,1.0,346,33,1534.0,3.8e-05,"Lev Yilmaz is known for animation. He is a filmmaker and artist, best known for his “Tales of Mere Existence” animated comic series.",,1,0,1,1.0,1,1.0,393,24,2029.1,3.9e-05,Lev Yilmaz. He is best known for his “Tales of Mere Existence” animated comic series.,
Do the drinks Gibson and Zurracapote both contain gin?,Gibson_cocktail.txt|Zurracapote.txt,hotpot_comparison,llama4-scout,1,1,1,1.0,1,1.0,222,29,746.0,2.6e-05,"No, according to the context, the Gibson contains gin, but there is no mention of gin in the description of Zurracapote.",,1,0,1,1.0,1,1.0,302,36,1078.6,3.5e-05,"No, according to the context and knowledge-graph facts, only the Gibson is mentioned to contain gin. There is no mention of gin in the description of Zurracapot",,1,1,1,1.0,1,1.0,366,18,746.0,3.5e-05,The Gibson contains gin.  I don't know if Zurracapote contains gin.,
