question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
"According to the 2001 census, what was the population of the city in which Kirton End is located?",Boston_Lincolnshire.txt|Kirton_End.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,328,6,1115.1,3.5e-05,I don't know.,,0,0,1,0.5,0,1.0,443,6,535.9,4.7e-05,I don't know.,,0,0,1,0.5,0,1.0,561,6,560.7,5.8e-05,I don't know.,
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,Andrew_Jaspan.txt|The_Conversation_website.txt,hotpot_bridge,gemini-flash-lite,1,1,1,1.0,1,1.0,371,13,503.4,4.2e-05,"Andrew Jaspan was the co-founder of ""The Conversation"".",,1,1,1,1.0,1,1.0,452,12,483.1,5e-05,Andrew Jaspan was the co-founder of The Conversation.,,1,1,1,1.0,1,1.0,598,13,508.7,6.5e-05,"Andrew Jaspan was the co-founder of ""The Conversation"".",
Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Charles_Hastings_Judd.txt|Kalakaua_055843.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.0,0,0.0,367,6,435.4,3.9e-05,I don't know.,,0,0,1,0.0,0,0.0,382,6,565.6,4.1e-05,I don't know.,,1,1,1,0.5,0,0.2,558,17,600.9,6.3e-05,Charles Hastings Judd was Chamberlain and Colonel of the military staff of King Kalākaua.,
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",Chattahoochee_song.txt|We_ll_Burn_That_Bridge.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,0.5,428,6,423.0,4.5e-05,I don't know.,,0,0,0,0.5,0,0.5,468,6,720.9,4.9e-05,I don't know.,,0,0,0,0.5,0,0.5,646,6,398.9,6.7e-05,I don't know.,
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Aonghus_Mor_b5e643.txt|Kingdom_of_the_Isles.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,0.5,433,6,378.1,4.6e-05,I don't know.,,0,0,0,0.5,0,0.5,460,6,465.7,4.8e-05,I don't know.,,1,0,1,1.0,1,0.5,695,6,390.2,7.2e-05,The Kingdom of the Isles.,
Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Gerald_Reive.txt|Samoa.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.0,0,0.0,285,6,444.4,3.1e-05,I don't know.,,0,0,1,0.0,0,0.0,336,6,472.7,3.6e-05,I don't know.,,0,0,1,0.5,0,0.25,518,6,532.1,5.4e-05,I don't know.,
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,End_of_Days_film.txt|Oh_My_God_Guns_N_Roses_song.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,0.333,308,6,490.9,3.3e-05,I don't know.,,0,0,1,0.5,0,0.333,403,6,485.6,4.3e-05,I don't know.,,1,0,1,1.0,1,0.333,554,4,576.5,5.7e-05,1999,
"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",Marry_Me_a_Little_Marry_Me_a_Little_More.txt|Will_&amp;_Grace.txt,hotpot_bridge,gemini-flash-lite,1,1,1,0.5,0,1.0,453,26,578.0,5.6e-05,"The episode ""Marry Me a Little, Marry Me a Little More"" was broadcast on the National Broadcasting Company (NBC).",,1,1,1,0.5,0,1.0,606,26,572.6,7.1e-05,"The episode ""Marry Me a Little, Marry Me a Little More"" was broadcast on the National Broadcasting Company (NBC).",,1,1,1,0.5,0,1.0,701,26,502.4,8.1e-05,"The episode ""Marry Me a Little, Marry Me a Little More"" was broadcast on the National Broadcasting Company (NBC).",
Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,Greatest_Sports_Legends.txt|Reggie_Jackson.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,246,6,533.6,2.7e-05,I don't know.,,0,0,1,0.5,0,1.0,266,6,4989.1,2.9e-05,I don't know.,,0,0,1,0.5,0,1.0,440,6,605.9,4.6e-05,I don't know.,
"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",Siege_of_Bharatpur.txt|Stapleton_Cotton_1st_Viscount_Combermere.txt,hotpot_bridge,gemini-flash-lite,1,0,1,0.5,0,1.0,378,13,483.7,4.3e-05,"Stapleton Cotton, 1st Viscount Combermere.",,1,0,1,0.5,0,1.0,467,22,550.1,5.6e-05,"Stapleton Cotton, 1st Viscount Combermere, contributed to the storming of Bharatpur.",,1,1,1,1.0,1,1.0,581,27,471.2,6.9e-05,"Lord Combermere (Stapleton Cotton, 1st Viscount Combermere) contributed to the storming of the fortress.",
2014 S/S is the debut album of a South Korean boy group that was formed by who?,2014_S_S.txt|Winner_band.txt,hotpot_bridge,gemini-flash-lite,0,0,1,0.5,0,1.0,432,6,501.6,4.6e-05,I don't know.,,0,0,1,0.5,0,1.0,525,6,406.0,5.5e-05,I don't know.,,1,1,1,0.5,0,1.0,600,26,554.5,7e-05,"2014 S/S is the debut album of WINNER, which was released by their record label, YG Entertainment.",
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",I_Don_t_Wanna_Know.txt|Yeah!_Usher_song.txt,hotpot_bridge,gemini-flash-lite,0,0,0,0.5,0,1.0,297,6,586.0,3.2e-05,I don't know.,,0,0,0,0.5,0,1.0,348,6,634.2,3.7e-05,I don't know.,,1,1,1,1.0,1,1.0,594,42,636.4,7.6e-05,"The singer is Usher. The song ""I Don't Wanna Know"" was stuck at number 2 for eight weeks, but the provided context does not state that it was stuck behind Usher",
