question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
"According to the 2001 census, what was the population of the city in which Kirton End is located?",Boston_Lincolnshire.txt|Kirton_End.txt,hotpot_bridge,llama4-maverick,0,1,1,0.5,0,1.0,315,76,2360.2,9.3e-05,I don't know. The provided context doesn't mention the population of the city in which Kirton End is located according to the 2001 census. It actually doesn't e,,0,0,1,0.5,0,1.0,418,112,1406.4,0.00013,Kirton End is a hamlet in the civil parish of Kirton in the Boston district of Lincolnshire. The context passages do not provide the population of Boston or Lin,,0,1,1,0.5,0,1.0,525,82,2146.2,0.000128,I don't know. The provided context does not mention the population of the city in which Kirton End is located. It only provides information about Kirton End's l,
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,Andrew_Jaspan.txt|The_Conversation_website.txt,hotpot_bridge,llama4-maverick,1,1,1,1.0,1,1.0,339,4,234.2,5.3e-05,The Conversation.,,1,1,1,1.0,1,1.0,421,107,2376.1,0.000127,"The Conversation.   Reasoning:  The context passage [Andrew_Jaspan.txt] states that Andrew Jaspan was the co-founder of ""The Conversation"", and the knowledge-gr",,1,1,1,1.0,1,1.0,560,4,703.3,8.6e-05,The Conversation.,
Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Charles_Hastings_Judd.txt|Kalakaua_055843.txt,hotpot_bridge,llama4-maverick,0,0,1,0.0,0,0.0,357,5,1203.8,5.7e-05,I don't know.,,0,0,1,0.0,0,0.0,368,5,363.1,5.8e-05,I don't know.,,1,1,1,0.5,0,0.2,539,31,917.4,9.9e-05,"Colonel Charles Hastings Judd was Chamberlain and Colonel of the military staff of King Kalākaua, also known as ""The Merrie Monarch"".",
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",Chattahoochee_song.txt|We_ll_Burn_That_Bridge.txt,hotpot_bridge,llama4-maverick,0,0,1,0.5,0,0.5,420,65,1200.7,0.000102,I don't know. The context doesn't provide information about a song being behind the third single on the album for two weeks on the country charts. It does menti,,0,1,1,0.5,0,0.5,458,81,2037.0,0.000117,"According to the context passages, ""Chattahoochee"" was released in May 1993 as the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"". A",,0,0,1,0.5,0,0.5,623,101,2552.4,0.000154,"""Chattahoochee"" was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and it was a Number One hit on the Hot Country Songs charts. ",
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Aonghus_Mor_b5e643.txt|Kingdom_of_the_Isles.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,0.5,428,84,1567.2,0.000115,"The Kingdom of the Isles. According to the context, the Kingdom of the Isles comprised the Hebrides, the islands of the Firth of Clyde, and the Isle of Man, and",,1,0,1,0.5,0,0.5,450,85,1752.8,0.000119,"The Kingdom of the Isles. According to the context passages, the Kingdom of the Isles comprised the Hebrides, the islands of the Firth of Clyde, and the Isle of",,1,1,1,1.0,1,0.5,701,74,1300.4,0.00015,"The Kingdom of the Isles. According to the context, the Kingdom of the Isles comprised the Hebrides, the islands of the Firth of Clyde, and the Isle of Man, and",
Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Gerald_Reive.txt|Samoa.txt,hotpot_bridge,llama4-maverick,0,0,1,0.0,0,0.0,268,5,264.5,4.3e-05,I don't know.,,0,0,1,0.0,0,0.0,314,44,1649.0,7.3e-05,I don't know. The provided context passages and knowledge-graph facts do not contain information about the Falkland Islands beating any country in the 2010 Comm,,1,0,1,0.5,0,0.25,490,57,1125.0,0.000108,"According to the context, the Falkland Islands beat Guernsey and Samoa in the 2010 Commonwealth Games. Guernsey is a British Crown dependency that is divided in",
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,End_of_Days_film.txt|Oh_My_God_Guns_N_Roses_song.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,0.333,297,61,905.3,8.1e-05,"The movie ""End of Days"" starring Arnold Schwarzenegger was released in 1999, and Guns N' Roses performed a promo for its soundtrack that year, specifically in N",,1,0,1,0.5,0,0.333,406,163,1682.3,0.000159,"To answer this question, we need to identify the movie starring Arnold Schwarzenegger as a former New York Police detective and then determine when Guns N' Rose",,1,1,1,1.0,1,0.333,544,63,1327.7,0.000119,"Guns N' Roses performed a promo for the movie ""End of Days"" in 1999, in which Arnold Schwarzenegger starred as Jericho Cane, a former New York Police Department",
"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",Marry_Me_a_Little_Marry_Me_a_Little_More.txt|Will_&amp;_Grace.txt,hotpot_bridge,llama4-maverick,1,1,1,0.5,0,1.0,437,47,1176.4,9.4e-05,"The National Broadcasting Company (NBC) broadcast the episode ""Marry Me a Little, Marry Me a Little More"" of the series ""Will & Grace"", which was created by Max",,1,1,1,0.5,0,1.0,586,82,1441.5,0.000137,"The series ""Will & Grace"" was created by Max Mutchnick and David Kohan. The episode ""Marry Me a Little, Marry Me a Little More"" is from this series. According t",,1,1,1,0.5,0,1.0,673,47,845.9,0.000129,"The National Broadcasting Company (NBC) broadcast the episode ""Marry Me a Little, Marry Me a Little More"" of the series ""Will & Grace"", which was created by Max",
Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,Greatest_Sports_Legends.txt|Reggie_Jackson.txt,hotpot_bridge,llama4-maverick,0,0,1,0.5,0,1.0,242,75,913.2,8.1e-05,"I don't know. The context doesn't mention a 1993 National Baseball Hall of Fame inductee. It does mention Mickey Mantle, who was inducted into the National Base",,0,0,1,0.5,0,1.0,260,93,1374.9,9.5e-05,I don't know. The provided context does not mention a 1993 National Baseball Hall of Fame inductee being featured in the Greatest Sports Legends anthology. Howe,,0,0,1,0.5,0,1.0,416,103,1894.3,0.000124,I don't know. The provided context doesn't mention a 1993 National Baseball Hall of Fame inductee being featured in the Greatest Sports Legends anthology. It do,
"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",Siege_of_Bharatpur.txt|Stapleton_Cotton_1st_Viscount_Combermere.txt,hotpot_bridge,llama4-maverick,1,0,1,0.5,0,1.0,362,39,573.8,7.8e-05,"Stapleton Cotton, 1st Viscount Combermere. He was Commander-in-Chief, Ireland and later Commander-in-Chief, India, where he stormed Bharatpur.",,1,0,1,0.5,0,1.0,447,61,1058.0,0.000104,"Stapleton Cotton, 1st Viscount Combermere was Commander-in-Chief, Ireland and then Commander-in-Chief, India. He stormed Bharatpur, a fort previously deemed imp",,1,1,1,1.0,1,1.0,549,56,1161.6,0.000116,"Stapleton Cotton, 1st Viscount Combermere, was Commander-in-Chief, Ireland and later Commander-in-Chief, India. He led the British troops during the Siege of Bh",
