question,expected_source,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_answer,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_answer,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_answer,+both_acc,+both_faith,+both_rel,+both_rec,+both_answer
"What percentage of orphans from previously enrolled households were tested for HIV, and how did the odds of testing compare for children with male guardians versus female guardians?",PMC4991227_00003.txt,0,0,1,1,Forty-nine percent of orphans from previously enrolled households were tested for HIV. The context does not provide information on how the odds of testing compa,0,0,1,1,Forty-four percent of orphans from previously enrolled households were tested for HIV. The context does not provide specific information on the odds of testing ,0,1,1,1,Forty-nine percent of orphans from previously enrolled households were tested for HIV. The text does not provide information on the odds of testing for children,0,0,1,1,Forty-four percent of orphans from previously enrolled households were tested for HIV. The text does not provide specific information on the odds of testing for
"What medium was selected for enhancing the production of active SMa, and which resin produced more biomass in Penicillium sp. strain CF-210988?",PMC4205895_00005.txt,0,1,1,1,"The medium selected for enhancing the production of active SMa was YES medium, and the resin that produced more biomass in Penicillium sp. strain CF-210988 was ",0,1,1,1,"The medium selected for enhancing the production of active SMa was YES medium, and the resin that produced more biomass in Penicillium sp. strain CF-210988 was ",0,1,1,1,The medium selected for enhancing the production of active SMa was YES medium. The resin that produced more biomass in Penicillium sp. strain CF-210988 was eith,0,1,1,1,"The medium selected for enhancing the production of active SMa was YES medium, and the resin that produced more biomass in Penicillium sp. strain CF-210988 was "
"What are the two main subtypes that macrophages can be polarized into, and what is one of their functions in the immune system?",PMC5828319_00000.txt,0,0,0,1,I don't know.,0,0,0,1,I don't know.,0,0,0,1,I don't know.,0,0,0,1,I don't know.
"What is the relationship between nerve sparing surgery and continence outcomes, and what technique has been reported to improve continence rates?",PMC3649202_00011.txt,0,1,1,1,"The relationship between nerve sparing surgery and continence outcomes is controversial, as recent reports have not found convincing evidence that nerve sparing",0,0,1,1,"The relationship between nerve sparing surgery and continence outcomes is that nerve sparing is necessary for continence, although recent reports have shown mix",1,1,1,1,The text indicates that there is controversy regarding the relationship between nerve sparing surgery and continence outcomes. Recent reports have not found con,1,0,1,1,"The relationship between nerve sparing surgery and continence outcomes is that nerve sparing is necessary for continence, as indicated in the text context. Howe"
"What components are part of the fear extinction network, and which sex hormone is suggested to modulate neural plasticity within this network?",PMC3384233_00000.txt,1,1,1,1,"The components of the fear extinction network include the amygdala, hippocampus, and medial prefrontal cortical region. The sex hormone suggested to modulate ne",1,1,1,1,"The components of the fear extinction network include the amygdala, hippocampus, and medial prefrontal cortical region. The sex hormone suggested to modulate ne",1,1,1,1,"The components of the fear extinction network include the amygdala, hippocampus, and medial prefrontal cortical region. The sex hormone suggested to modulate ne",1,1,1,1,"The components of the fear extinction network include the amygdala, hippocampus, and medial prefrontal cortical region. The sex hormone suggested to modulate ne"
"What percentage of variance in QoL scores was explained by the models, and what was linked to poor SCRQoL?",PMC5573976_00005.txt,1,1,1,1,The models explained 37% of the variance in QoL scores. Poor SCRQoL was linked to reporting moderate pain discomfort.,1,0,1,1,"The models explained 37% of the variance in QoL scores. Poor SCRQoL was linked to reporting moderate pain discomfort, as well as those who rated their health mo",1,1,1,1,The models explained 37% of the variance in QoL scores. Poor SCRQoL was linked to reporting moderate pain discomfort.,1,1,1,1,The models explained 37% of the variance in QoL scores. Poor SCRQoL was linked to reporting moderate pain discomfort.
"What percentage of patients had concha bullosa on the left side, and what was the total number of patients analyzed in the study?",PMC3541255_00002.txt,0,1,1,1,"16.0% of patients had concha bullosa on the left side, and the total number of patients analyzed in the study was 46.",0,0,1,1,"16.0% of patients had concha bullosa on the left side, and the total number of patients analyzed in the study was 46.",0,1,1,1,16.0% of patients had concha bullosa on the left side. The total number of patients analyzed in the study was 46.,0,1,1,1,The percentage of patients with concha bullosa on the left side was 16.0%. The total number of patients analyzed in the study was 46.
"What software was used to run DEA models, and what was the model strength reported?",PMC5423988_00002.txt,1,1,1,1,"The software used to run DEA models was MaxDEA 6.6, and the model strength reported was 0.92.",1,1,1,1,"The software used to run DEA models was MaxDEA 6.6, and the model strength reported was 0.92.",1,1,1,1,"The software used to run DEA models was MaxDEA 6.6, and the model strength reported was 0.92.",1,1,1,1,"The software used to run DEA models was MaxDEA 6.6, and the model strength reported was 0.92."
"What was the incidence of rheumatic fever reduction attributed to antibiotic use, and what was the primary infection being treated?",PMC3388424_00000.txt,1,1,1,1,"The incidence of rheumatic fever reduction attributed to antibiotic use was a mere 0.5 cases per 100,000. The primary infection being treated was group A beta-h",1,1,1,1,"The incidence of rheumatic fever reduction attributed to antibiotic use was 0.5 cases per 100,000. The primary infection being treated was group A beta-hemolyti",1,1,1,1,"The incidence of rheumatic fever reduction attributed to antibiotic use was a mere 0.5 cases per 100,000. The primary infection being treated was group A beta-h",1,1,1,1,"The incidence of rheumatic fever reduction attributed to antibiotic use was 0.5 cases per 100,000. The primary infection being treated was group A beta-hemolyti"
"What gene expression was significantly elevated in the brain after LPS injection, and which type of cells predominantly showed this elevation?",PMC4676294_00007.txt,0,1,1,1,The gene expression that was significantly elevated in the brain after LPS injection was Shoo? mRNA. This elevation was predominantly shown in astrocytes and th,0,1,1,1,"Soo2 mRNA was significantly elevated in the brain after LPS injection, and this elevation was predominantly shown in astrocytes.",0,1,1,1,The gene expression that was significantly elevated in the brain after LPS injection was Shoo? mRNA. This elevation was predominantly observed in astrocytes and,0,1,1,1,"Soo2 mRNA was significantly elevated in the brain after LPS injection, and this elevation was predominantly shown in astrocytes."
