question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,473,5,1586.9,3.9e-05,I don't know.,,0,0,0,0,0,0.0,492,5,590.3,4.1e-05,I don't know.,,0,0,1,0,0,0.0,642,40,1209.3,6.3e-05,I don't know. The provided text context and image descriptions do not mention the use of bidirectional gated recurrent units in encoding sequences or the implem,,0,0,0,0,0,0.0,665,5,486.8,5.5e-05,I don't know.,
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,508,5,452.7,4.2e-05,I don't know.,,0,0,0,0,0,0.0,519,43,1018.4,5.4e-05,"I don't know. The provided context and knowledge-graph facts do not mention pretrained word2vec embeddings, their utilization in the training process, or their ",,0,0,1,0,0,0.0,664,28,595.3,6.2e-05,"I don't know. The provided text context and image descriptions do not mention pretrained word2vec embeddings, IMDB, or Yahoo answers.",,0,0,0,0,0,0.0,679,5,319.8,5.6e-05,I don't know.,
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,432,5,975.8,3.6e-05,I don't know.,,0,0,0,0,0,0.0,443,5,846.2,3.7e-05,I don't know.,,0,0,0,0,0,0.0,624,36,905.4,6.1e-05,"I don't know. The provided text context and image descriptions do not mention maximum likelihood estimation, supervised summarization approaches, or the role of",,0,0,0,0,0,0.0,639,5,330.4,5.3e-05,I don't know.,
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,391,43,1812.0,4.4e-05,"I don't know. The provided context does not mention action recognition, knowledge transfer, or deep generative models. It discusses machine learning algorithms,",,0,0,1,0,0,0.0,408,48,1626.0,4.7e-05,I don't know. The provided context passages and knowledge-graph facts do not contain information about how knowledge transfer in action recognition utilizes a l,,0,0,0,0,0,0.0,553,44,1290.3,5.7e-05,"I don't know. The provided text context and image descriptions do not mention knowledge transfer in action recognition, utilizing a large amount of training dat",,0,0,0,0,0,0.0,574,51,2104.7,6.1e-05,"I don't know. The provided text context, knowledge-graph facts, and image descriptions do not contain information about how knowledge transfer in action recogni",
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,541,5,448.4,4.5e-05,I don't know.,,0,0,0,0,0,0.0,613,5,529.9,5.1e-05,I don't know.,,0,0,0,0,0,0.0,703,5,463.6,5.8e-05,I don't know.,,0,0,0,0,0,0.0,779,5,1098.0,6.4e-05,I don't know.,
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,398,44,1481.5,4.5e-05,"I don't know. The provided context does not mention temporal action localization, nor does it introduce datasets or requirements for efficient search in that ar",,0,0,0,0,0,0.0,409,5,548.0,3.4e-05,I don't know.,,0,0,0,0,0,0.0,593,42,1254.2,6e-05,"I don't know. The provided text context does not mention temporal action localization, nor does it introduce datasets or requirements for it. The text appears t",,0,0,1,0,0,0.0,608,31,750.0,5.8e-05,"The provided text context does not mention temporal action localization or the introduction of datasets for this task. Therefore, I don't know the answer to you",
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,408,5,598.5,3.4e-05,I don't know.,,0,0,0,0,0,0.0,419,5,861.4,3.5e-05,I don't know.,,0,0,0,0,0,0.0,592,5,371.8,4.9e-05,I don't know.,,0,0,0,0,0,0.0,607,5,984.7,5e-05,I don't know.,
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,421,5,664.8,3.5e-05,I don't know.,,0,0,0,0,0,0.0,455,5,403.4,3.8e-05,I don't know.,,0,0,0,0,0,0.0,597,72,1911.9,6.9e-05,"I don't know. The provided text context and image descriptions do not mention ""talking face generation task"" or ""mutual information estimation"" in relation to g",,0,0,0,0,0,0.0,635,5,509.9,5.2e-05,I don't know.,
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,463,5,454.1,3.9e-05,I don't know.,,0,0,0,0,0,0.0,474,5,589.8,3.9e-05,I don't know.,,0,0,1,0,0,0.0,620,37,1228.0,6.1e-05,"I don't know. The provided text context does not mention MTSA or its contribution to question-type classification, nor does it mention the classification type o",,0,0,0,0,0,0.0,635,5,428.6,5.2e-05,I don't know.,
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt,multihop_cross,llama4-scout,0,0,1,0,0,0.0,485,59,2719.2,5.7e-05,"Semantic segmentation models face challenges when tested on different datasets, particularly for patient cases with low contrast, as it becomes much more challe",,0,0,1,0,0,0.0,554,82,2154.9,6.9e-05,"It becomes much more challenging for segmentation of different Ssos Gt pit tinmtas saith Low omic, especially for segmentation of different models. The segmenta",,0,0,0,0,0,0.0,667,187,5110.8,0.000109,"Based on the provided text context and image descriptions, I can tell you that:  The text context does not explicitly mention the challenges faced by semantic s",,0,0,1,0,0,0.0,740,293,7964.6,0.000147,"Semantic segmentation models face challenges when tested on different datasets, particularly when there is a high variability in image quality, such as low cont",
"How does the feed-forward neural network predict the next joint configuration of a robot, and what role does it play in evaluating the coherence of sentence embeddings?",1603.03833v4.txt,multihop_cross,llama4-scout,0,0,0,0,0,0.0,467,5,663.1,3.9e-05,I don't know.,,0,0,0,0,0,0.0,478,36,1637.5,4.9e-05,"I don't know. The provided context and knowledge-graph facts do not mention feed-forward neural networks, predicting next joint configurations of a robot, or ev",,0,0,0,0,0,0.0,674,65,2922.8,7.3e-05,I don't know. The provided text context and image descriptions do not mention a feed-forward neural network predicting the next joint configuration of a robot o,,0,0,0,0,0,0.0,689,5,475.8,5.7e-05,I don't know.,
