question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"In the German Nationwide Survey, what was the incidence of pulmonary embolism after bariatric surgery, and what was the incidence of VTE after gastric banding according to the BOLD Registry?",PMC3400389_00002.txt,multihop,gpt4o-mini,1,0,1,1,1,1.0,535,57,3141.5,0.000114,"In the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was reported as 0.08%. According to the BOLD Registry, the inc",,0,0,0,1,1,1.0,625,4,899.6,9.6e-05,I don't know.,,1,0,1,1,1,1.0,713,57,1311.6,0.000141,"In the German Nationwide Survey, the incidence of pulmonary embolism (PE) after bariatric surgery was reported as 0.08%. According to the BOLD Registry, the inc",,1,0,1,1,1,1.0,807,55,1501.7,0.000154,"The German Nationwide Survey reported an incidence of pulmonary embolism (PE) of 0.08% in bariatric surgery. According to the BOLD Registry, the incidence of ve",
"What is the odds ratio for headache in individuals with chronic pain, and what is it for back pain?",PMC4913715_00002.txt,multihop,gpt4o-mini,0,0,0,0,0,0.0,480,4,971.9,7.4e-05,I don't know.,,0,0,0,0,0,0.0,510,4,597.0,7.9e-05,I don't know.,,0,0,0,0,0,0.0,621,4,533.0,9.6e-05,I don't know.,,0,0,0,0,0,0.0,655,4,626.5,0.000101,I don't know.,
"What does the new global dataset on killings of journalists between 2002 and 2013 reveal about the perpetrators of all killings, and what does the analysis show about the likelihood of state repression deteriorating in the following two years after journalists are killed?",PMC5427995_00002.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,440,63,1285.2,0.000104,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,,1,1,1,1,1,1.0,522,63,1349.8,0.000116,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,,1,1,1,1,1,1.0,609,63,1328.0,0.000129,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,,1,1,1,1,1,1.0,695,63,1297.7,0.000142,The new global dataset on killings of journalists between 2002 and 2013 reveals that the perpetrators of all killings usually remain unconfirmed. The analysis s,
"What percentage of Native Hawaiians and other Pacific Islanders were among the highest of all ethnic groups for obesity, and what type of program was culturally adapted to reduce diabetes and improve weight and exercise in worksites serving these populations?",PMC4927448_00000.txt,multihop,gpt4o-mini,0,0,1,1,1,1.0,487,48,1566.1,0.000102,"The percentage of Native Hawaiians among the highest of all ethnic groups for obesity is 725%, and the program that was culturally adapted to reduce diabetes an",,0,0,1,1,1,1.0,500,48,1321.5,0.000104,"The percentage of Native Hawaiians among the highest of all ethnic groups for obesity is 725%, and the program that was culturally adapted to reduce diabetes an",,0,0,1,1,1,1.0,618,57,1525.3,0.000127,The text states that Native Hawaiians were 725% and other Pacific Islanders were 27% among the highest of all ethnic groups for obesity. The program that was cu,,1,0,1,1,1,1.0,635,59,1462.7,0.000131,The text states that Native Hawaiians were 72.5% and other Pacific Islanders were 27% among the highest of all ethnic groups for obesity. The program that was c,
"What is the retention factor for moxonidine under the optimal HILIC conditions, and what is the recovery percentage for impurity A?",PMC5101389_00000.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,427,4,657.0,6.6e-05,I don't know.,,0,0,0,1,1,1.0,548,4,682.4,8.5e-05,I don't know.,,0,0,0,1,1,1.0,579,4,1247.9,8.9e-05,I don't know.,,0,0,0,1,1,1.0,704,4,589.8,0.000108,I don't know.,
"What is the vapor pressure of 1-butanol at 304 K, and what is the vapor pressure of 1-nonanol at the same temperature?",PMC5704694_00001.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,496,4,748.6,7.7e-05,I don't know.,,0,0,0,1,1,1.0,509,4,620.8,7.9e-05,I don't know.,,0,0,0,1,1,1.0,681,4,781.8,0.000105,I don't know.,,0,0,0,1,1,1.0,698,4,578.4,0.000107,I don't know.,
"What is the number of cases reported for the 20–24 age group in the 2013 data, and what is the corresponding number for the 25–29 age group?",PMC4359599_00004.txt,multihop,gpt4o-mini,0,0,0,0,0,0.0,654,4,723.1,0.0001,I don't know.,,0,0,0,0,0,0.0,681,4,3339.0,0.000105,I don't know.,,0,0,0,0,0,0.0,792,4,1810.0,0.000121,I don't know.,,0,0,0,0,0,0.0,823,4,1047.6,0.000126,I don't know.,
"What is the age range of the males with FXS in the Repetitive Behavior Questionnaire study, and how many such individuals were included?",PMC5467057_00021.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,482,32,829.6,9.2e-05,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1,1.0,520,32,1254.9,9.7e-05,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1,1.0,627,32,1290.5,0.000113,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included.",,1,1,1,1,1,1.0,669,32,1083.6,0.00012,"The age range of the males with FXS in the Repetitive Behavior Questionnaire study is 6-17 years, and there were 191 individuals included.",
"What is the correlation between wave V latency and implant experience in the prelingual group, and what time constant describes the exponential decay of wave V latency on the middle electrode in prelingual subjects?",PMC4569605_00005.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,562,55,1443.7,0.000117,"The correlation between wave V latency and implant experience in the prelingual group is significant, with a correlation coefficient of -0.706. The time constan",,1,1,1,1,1,1.0,622,44,1219.3,0.00012,"In the prelingual group, wave V latency is significantly correlated with implant experience. The time constant that describes the exponential decay of wave V la",,1,1,1,1,1,1.0,727,55,1621.9,0.000142,"The correlation between wave V latency and implant experience in the prelingual group is significant, with a correlation coefficient of -0.706. The time constan",,1,1,1,1,1,1.0,791,44,1018.6,0.000145,"In the prelingual group, wave V latency was significantly correlated with implant experience. The time constant that describes the exponential decay of wave V l",
What was the effect of celecoxib treatment on the escape latency and path length in diabetic rats compared to the diabetic group?,PMC5486519_00004.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,503,23,750.4,8.9e-05,The celecoxib treatment significantly decreased the escape latency and path length in the diabetic rats compared to the diabetic group.,,1,1,1,1,1,1.0,583,20,735.9,9.9e-05,Celecoxib treatment significantly decreased escape latency and path length in diabetic rats compared to the diabetic group.,,1,1,1,1,1,1.0,698,29,813.4,0.000122,The celecoxib treatment significantly decreased the escape latency and path length in the diabetic group compared to the diabetic animals that did not receive t,,1,1,1,1,1,1.0,782,20,757.1,0.000129,Celecoxib treatment significantly decreased escape latency and path length in diabetic rats compared to the diabetic group.,
"What is the specific marker used to identify the ventricular myocardium in Xenopus, and at what developmental stage does its expression become restricted to the ventricle?",PMC4798847_00001.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,525,4,544.5,8.1e-05,I don't know.,,0,0,0,1,1,1.0,538,4,1349.6,8.3e-05,I don't know.,,0,0,0,1,1,1.0,709,4,724.3,0.000109,I don't know.,,0,0,0,1,1,1.0,726,4,747.9,0.000111,I don't know.,
"According to Grofkaus, what is the assassination norm an amalgam of, and what do Haas and Fischer expect will expand targeted-killing missions beyond counterterrorism?",PMC5632895_00019.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,400,69,1295.2,0.000101,"According to Grofkaus, the assassination norm is an ""amalgam"" that follows from the discursive separation between targeted killing and liberal meta-norms. Haas ",,1,1,1,1,1,1.0,436,48,1184.0,9.4e-05,"According to Grofkaus, the assassination norm is an ""amalgam."" Haas and Fischer expect that technological advances, specifically in terms of autonomous weapons ",,1,1,1,1,1,1.0,549,69,1166.2,0.000124,"According to Grofkaus, the assassination norm is an ""amalgam"" that follows from the discursive separation between targeted killing and liberal meta-norms. Haas ",,1,1,1,1,1,1.0,589,70,1341.6,0.00013,"According to Grofkaus, the assassination norm is an ""amalgam"" that transforms largely from the discursive separation between targeted killing and liberal meta-n",
"What is the GenBank number for the dmaW homolog from Metarhizium aurantiaca, and which isolate of Aspergillus fumigatus has the GenBank number 7 aasaaa?",PMC2747131_00003.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,567,4,720.3,8.7e-05,I don't know.,,0,0,0,1,1,1.0,580,4,1495.6,8.9e-05,I don't know.,,0,0,0,1,1,1.0,713,4,599.3,0.000109,I don't know.,,0,0,0,1,1,1.0,730,4,816.3,0.000112,I don't know.,
"What is the decoy receptor for LIGHT that is found only in humans, and which disease has been linked to genetic variation at the TL1A locus?",PMC5599977_00004.txt,multihop,gpt4o-mini,0,0,1,1,1,1.0,449,37,1136.8,9e-05,The decoy receptor for LIGHT that is found only in humans is DR-3. The disease linked to genetic variation at the TL1A locus is inflammatory bowel disease (IBD),,0,0,1,1,1,1.0,497,35,860.7,9.6e-05,The decoy receptor for LIGHT that is found only in humans is DR-3. The disease linked to genetic variation at the TL1A locus is rheumatoid arthritis (RA).,,0,0,1,1,1,1.0,625,37,967.0,0.000116,The decoy receptor for LIGHT that is found only in humans is DR-3. The disease linked to genetic variation at the TL1A locus is inflammatory bowel disease (IBD),,0,0,1,1,1,1.0,677,35,1188.0,0.000123,The decoy receptor for LIGHT that is found only in humans is DR-3. Genetic variation was not associated with rheumatoid arthritis (RA) at the TL1A locus.,
"What was the range of mean appropriateness and clarity scores given by content experts for the newly developed items, and how many participants completed the HIP-Q and participated in cognitive interviews?",PMC4656221_00004.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,446,4,483.6,6.9e-05,I don't know.,,0,0,0,1,1,1.0,474,4,559.3,7.3e-05,I don't know.,,0,0,0,1,1,1.0,605,4,518.0,9.3e-05,I don't know.,,0,0,0,1,1,1.0,637,4,511.4,9.8e-05,I don't know.,
"What two elements must ethical policies include according to the passage, beyond validity and binding character?",PMC4934536_00006.txt,multihop,gpt4o-mini,0,1,1,1,1,1.0,365,62,1439.8,9.2e-05,"According to the passage, ethical policies must include the following two elements beyond validity and binding character: 1) the ability to anticipate any ethic",,0,1,1,1,1,1.0,444,19,886.5,7.8e-05,Ethical policies must include the anticipation of ethical values and the ability to address controversial moral issues.,,0,1,1,1,1,1.0,514,58,1236.7,0.000112,"According to the passage, ethical policies must include the following two elements beyond validity and binding character: 1) the ability to anticipate any ethic",,0,1,1,1,1,1.0,597,23,821.9,0.000103,"According to the passage, ethical policies must include the anticipation of ethical values and the ability to address controversial moral issues.",
"What concentration of tetraethylammonium was used as a nonselective K⁺ channel blocker, and which specific K⁺ channel blocker was applied at 0.4 µM?",PMC3759249_00002.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,527,49,1449.0,0.000108,"The concentration of tetraethylammonium used as a nonselective K⁺ channel blocker was 1 mM, and the specific K⁺ channel blocker applied at 0.4 µM was glibenclam",,1,1,1,1,1,1.0,542,48,1061.2,0.00011,"The concentration of tetraethylammonium used as a nonselective K⁺ channel blocker was 1 mM, and the specific K⁺ channel blocker applied at 0.4 µM was gibendamid",,1,1,1,1,1,1.0,781,48,1045.4,0.000146,"The concentration of tetraethylammonium used as a nonselective K⁺ channel blocker was 1 mM, and the specific K⁺ channel blocker applied at 0.4 µM was gibendamid",,1,1,1,1,1,1.0,800,48,1177.2,0.000149,"The concentration of tetraethylammonium used as a nonselective K⁺ channel blocker was 1 mM, and the specific K⁺ channel blocker applied at 0.4 µM was gibendamid",
What value prominent in the West Virginia community was leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Management program?,PMC5110146_00008.txt,multihop,gpt4o-mini,1,1,1,1,1,1.0,415,26,714.0,7.8e-05,The value of generosity was leveraged to make peer-to-peer support more readily received in the Diabetes Prevention and Management program in West Virginia.,,1,1,1,1,1,1.0,476,31,1114.5,9e-05,The value of generosity was prominent in the West Virginia community and was leveraged to make peer-to-peer support more readily received in the Diabetes Preven,,1,1,1,1,1,1.0,573,31,911.5,0.000105,The value of generosity was prominent in the West Virginia community and was leveraged to make peer-to-peer support more readily received in the Diabetes Preven,,1,1,1,1,1,1.0,638,31,698.9,0.000114,The value of generosity was prominent in the West Virginia community and was leveraged to make peer-to-peer support more readily received in the Diabetes Preven,
"How many peptides were identified for BSA after SCW hydrolysis at 160°C for 0 minutes, and how many for casein hydrolysate at the same temperature and time?",PMC5556142_00009.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,463,4,615.7,7.2e-05,I don't know.,,0,0,0,1,1,1.0,484,4,546.6,7.5e-05,I don't know.,,0,0,0,1,1,1.0,658,4,781.2,0.000101,I don't know.,,0,0,0,1,1,1.0,683,4,657.9,0.000105,I don't know.,
What was the incubation temperature and duration used for the samples placed in an orbital shaker during the equilibrium solubility measurements?,PMC5710999_00002.txt,multihop,gpt4o-mini,0,0,0,1,1,1.0,493,4,650.4,7.6e-05,I don't know.,,0,1,1,1,1,1.0,539,42,969.4,0.000106,"The incubation temperature used for the samples was 20 + 2 °C. However, the duration of the incubation is not provided in the context or knowledge-graph facts, ",,0,0,0,1,1,1.0,683,4,580.0,0.000105,I don't know.,,0,1,1,1,1,1.0,733,34,1404.7,0.00013,The incubation temperature used for the samples was 20 + 2 °C. The duration for the samples in the orbital shaker is not specified in the provided text context.,
"What was the particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g, and what was the factor for 18 g of zirconia TZ3Y dropped from the same height compared to the smallest amount?",PMC5820406_00009.txt,multihop,gpt4o-mini,0,1,1,1,1,1.0,546,77,2227.3,0.000128,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was found to be a factor of 14. For 18 g of zirconia,,0,1,1,1,1,1.0,587,78,1944.7,0.000135,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was a factor of 14. For 18 g of zirconia TZ3Y droppe,,0,1,1,1,1,1.0,763,75,1934.6,0.000159,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was found to be a factor of 14. For 18 g of zirconia,,0,1,1,1,1,1.0,808,71,1673.0,0.000164,The particle number concentration factor for 60 g TiO₂ dropped from 40 cm compared to the mass load of 11 g was a factor of 14. For 18 g of zirconia TZ3Y droppe,
