question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What vaccine is currently the only one used in China for leptospirosis?,PMC5985562_00009.txt,text,llama4-maverick,1,1,1,1,1,1.0,434,20,1593.0,7.7e-05,Multivalent inactivated vaccine is currently the only one used in China for leptospirosis.,,1,1,1,1,1,1.0,445,27,1346.0,8.3e-05,"Multivalent inactivated vaccine is currently the only one used in China for leptospirosis, specifically for both humans and livestock.",,1,1,1,1,1,1.0,624,28,2027.5,0.00011,"The multivalent inactivated vaccine is currently the only one used in China for leptospirosis, specifically administered to high-risk populations.",,1,0,1,1,1,1.0,639,54,1908.0,0.000128,"The text states that ""multivalent inactivated vaccine is currently the only one used in China"" for leptospirosis vaccination, specifically mentioning its use in",
What percentage increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS?,PMC5731661_00008.txt,text,llama4-maverick,1,0,1,1,1,1.0,474,3,694.8,7.3e-05,323%,,1,0,1,1,1,1.0,519,3,372.8,8e-05,323%,,1,1,1,1,1,1.0,629,17,949.7,0.000105,A 323% increase in signal was observed for buprenorphine.,,1,0,1,1,1,1.0,678,3,555.4,0.000103,323%,
What is the name of the instrument developed at Laval University to measure doctor-patient communication competency in medical students?,PMC5658909_00001.txt,text,llama4-maverick,1,0,1,1,1,1.0,417,68,2397.4,0.000103,"The text doesn't explicitly mention that the instrument was developed at Laval University. However, it does mention the development of an instrument called ""Doc",,1,0,1,1,1,1.0,509,49,2096.3,0.000106,"According to the provided context, the instrument is referred to as ""Doctor-Patient Communication Competency for Medical Students (DPCC-MS)"".   Therefore, the a",,0,0,1,1,1,1.0,582,67,2833.4,0.000128,"You don't have the relevant text to answer the question directly, however, the text does mention ""Doctor-Patient Communication Competency for Medical Students (",,1,0,1,1,1,1.0,678,38,1792.0,0.000124,"The text mentions the ""Doctor-Patient Communication Competency for Medical Students (DPCC-MS)"" as the instrument to measure doctor-patient communication. Theref",
What linguistic cue indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension?,PMC5018041_00001.txt,text,llama4-maverick,1,1,1,1,1,1.0,367,66,2695.2,9.5e-05,"The subjunctive mood. According to the text, ""Counterfactual comprehension... relies on successful comprehension of the subjunctive mood"" and an example is give",,1,1,1,1,1,1.0,416,86,3937.5,0.000114,"The knowledge-graph fact states that ""counterfactual comprehension relies on successful comprehension of subjunctive mood"" and ""subjunctive mood is linguistic c",,1,1,1,1,1,1.0,526,104,4065.9,0.000141,"The text mentions that counterfactual comprehension relies on successful comprehension of the subjunctive mood. It is stated that ""Counterfactuals are pragmatic",,1,1,1,1,1,1.0,579,68,2854.0,0.000128,The subjunctive mood is the linguistic cue that indicates the speaker knows what they are saying is factually not true in counterfactual comprehension. Accordin,
What was the primary diagnosis of the 115 women in the BED group?,PMC3051108_00002.txt,text,llama4-maverick,1,1,1,1,1,1.0,464,16,1093.3,7.9e-05,The primary diagnosis of the 115 women in the BED group was BED.,,1,0,1,1,1,1.0,480,146,5071.4,0.00016,"According to the context passage, the BED group actually included 115 women (stated as ""15 women with BED a9 their primary dingnoels"" in one passage and ""ith BE",,1,1,1,1,1,1.0,603,21,967.9,0.000103,The primary diagnosis of the 115 women in the BED group was BED (Binge Eating Disorder).,,1,0,1,1,1,1.0,623,40,1590.6,0.000117,"The primary diagnosis of the women in the BED group was BED (Binge Eating Disorder). According to the text, ""115 women with BED as their primary diagnosis"" were",
What type of mice were used to evaluate the protective role of EGCG against diabetic testicular damage?,PMC5733955_00001.txt,text,llama4-maverick,1,1,1,1,1,1.0,478,38,1305.8,9.4e-05,C57BL/6 wild-type and Nef Knockout male mice were used to evaluate the protective role of EGCG against diabetic testicular damage. They were 8 weeks old.,,1,1,1,1,1,1.0,568,41,1779.9,0.00011,"C57BL/6 wild-type and Nef Knockout mice were used to evaluate the protective role of EGCG against diabetic testicular damage. Specifically, they were 8-week-old",,1,1,1,1,1,1.0,658,55,2768.1,0.000132,"According to the text context provided in [PMC5733955_00001.txt], the type of mice used to evaluate the protective role of EGCG against diabetic testicular dama",,1,1,1,1,1,1.0,752,39,1810.6,0.000136,C57BL/6 wild-type and Nef Knockout mice were used to evaluate the protective role of EGCG against diabetic testicular damage. They were 8 weeks old male mice.,
What questionnaire module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms?,PMC5759866_00005.txt,text,llama4-maverick,1,0,1,1,1,1.0,494,135,4972.5,0.000155,"The EORTC-QLQ-BR23 is not mentioned, instead, the text mentions ""the breast cancer specific module EORTC-QLQ-BR23 is not present but"" EORTC-QLQ-BR25 is mentione",,0,0,1,1,1,1.0,579,209,7649.3,0.000212,"The EORTC-QLQ-BR23 is mentioned in the context passage [PMC5759866_00005.txt] as the breast cancer specific module used alongside the EORTC QLQ-C30. However, th",,0,0,1,1,1,1.0,652,183,5543.7,0.000208,"The EORTC-QLQ-BR23 is mentioned in the text context as being used in conjunction with the EORTC QLQ-C30. However, the text actually refers to ""EORTC-QLQ-ERDS"" a",,0,0,1,1,1,1.0,741,207,6524.4,0.000235,"The EORTC-QLQ-BR23 is mentioned in the text context as being used alongside the EORTC QLQ-C30. However, the text actually refers to it as ""EORTC-QLQ-ERDS"" and """,
What year is associated with the Cngenve ae Fae nvsom esas entity in the passage?,PMC4974260_00004.txt,text,llama4-maverick,0,0,1,0,0,0.0,464,50,1993.9,0.0001,"I don't know. The provided context does not contain a clear reference to ""Cngenve ae Fae nvsom esas entity"" or a related year. The text appears to be garbled or",,0,0,1,0,0,0.0,475,57,2176.6,0.000105,"I don't know. There is no information in the provided context or knowledge-graph facts that associates a year with the entity ""Cngenve ae Fae nvsom esas"" in the",,0,0,1,0,0,0.0,633,54,2518.4,0.000127,"I don't know. The provided text context does not clearly mention a ""Cngenve ae Fae nvsom esas entity"" or a specific year associated with it. The text appears to",,0,0,1,0,0,0.0,648,76,4773.5,0.000143,"I don't know. The provided text context does not contain a clear or coherent reference to a ""Cngenve ae Fae nvsom esas entity"" or an associated year. The text a",
What term did the vocational trainees in this Swedish general practice study use to refer to a specific refugee group?,PMC4205530_00005.txt,text,llama4-maverick,1,1,1,1,1,1.0,448,10,822.4,7.3e-05,"The term used was ""Somali patient"".",,1,1,1,1,1,1.0,476,10,725.3,7.7e-05,"The term used was ""Somali patient"".",,1,1,1,1,1,1.0,610,10,539.7,9.7e-05,"The term used was ""Somali patient"".",,1,0,1,1,1,1.0,642,28,1487.3,0.000113,"The term used by the vocational trainees in the Swedish general medical practice study to refer to a specific refugee group was ""Somali patient"".",
What two approaches are discussed for assessing the grammatical abilities of nonhuman animals?,PMC5325849_00000.txt,text,llama4-maverick,1,1,1,1,1,1.0,433,41,2101.6,9e-05,The two approaches discussed are:   1. Comparing the structure of animal vocalizations with linguistic ones. 2. Addressing the grammatical rule- and pattern-lea,,1,1,1,1,1,1.0,451,49,2266.7,9.7e-05,Two approaches are discussed for assessing the grammatical abilities of nonhuman animals:   1. Comparing the structure of animal vocalizations with linguistic o,,1,1,1,1,1,1.0,588,50,2537.0,0.000118,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:   1. Comparing the structure of animal vocalizations with linguist,,1,1,1,1,1,1.0,610,50,1902.8,0.000121,Two approaches are discussed for assessing the grammatical abilities of nonhuman animals:   1. Comparing the structure of animal vocalizations with that of huma,
