question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"Which coreference resolver ranks best on the CoNLL development and test sets, and what is the performance ranking of the same systems when evaluated on the WikiCoref dataset?",1708.00160v2.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,490,63,852.5,7.4e-05,"On the CoNLL development and test sets, the model of Lee et al. (2017) performs the best, and the model of Clark and Manning (2016b) performs the second best. W",,1,1,1,1,1,1.0,573,67,560.0,8.4e-05,"Based on the provided context, the model of Lee et al. (2017) performs the best on the CoNLL development and test sets, followed by the model of Clark and Manni",,1,1,1,1,1,1.0,734,67,561.5,0.0001,"Based on the provided text, the model of Lee et al. (2017) performs the best on the CoNLL development and test sets, followed by the model of Clark and Manning ",,1,1,1,1,1,1.0,821,67,588.0,0.000109,"Based on the provided text, the model of Lee et al. (2017) performs the best on the CoNLL development and test sets, followed by the model of Clark and Manning ",
"In the MTSA mechanism, which type of self-attention captures pairwise dependency, and which type captures global dependency?",1805.00912v4.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,449,46,535.7,6.3e-05,"In the MTSA mechanism, the pairwise dependency is captured by an efficient dot-product based token2token self-attention, while the global dependency is modeled ",,1,1,1,1,1,1.0,537,41,548.9,7e-05,"In the MTSA mechanism, pairwise dependency is captured by dot-product based token2token self-attention, and global dependency is modeled by feature-wise multi-d",,1,1,1,1,1,1.0,673,44,554.6,8.5e-05,"In the MTSA mechanism, pairwise dependency is captured by an efficient dot-product based token2token self-attention, while global dependency is modeled by a fea",,1,1,1,1,1,1.0,765,44,528.0,9.4e-05,"In the MTSA mechanism, pairwise dependency is captured by an efficient dot-product based token2token self-attention, while global dependency is modeled by a fea",
"What percentage of fake news data traffic during the 2016 US president election came from online social networks, and what type of traditional medium had a smaller share than that?",1805.08751v2.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,425,43,574.8,6e-05,Online social networks accounted for more than 41.8% of the fake news data traffic during the election. The provided text states that this share is greater than,,1,1,1,1,1,1.0,520,52,691.1,7.3e-05,"According to the provided text, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. This s",,1,1,1,1,1,1.0,726,56,707.1,9.5e-05,"According to the provided text, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. The te",,1,1,1,1,1,1.0,825,54,658.7,0.000104,"According to the provided text, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. This s",
"In the Seq2Sick framework, which two techniques are combined to address the challenge posed by the discrete input space of sequence-to-sequence models?",1803.01128v3.txt,multihop,gemini-flash-lite,0,0,1,1,1,1.0,509,6,460.0,5.3e-05,I don't know.,,0,0,1,1,1,1.0,581,6,495.2,6.1e-05,I don't know.,,0,0,1,1,1,1.0,749,65,635.0,0.000101,I don't know. The provided text mentions that the Seq2Sick framework formulates crafting adversarial examples as an optimization problem and mentions the use of,,0,0,0,1,1,1.0,825,51,690.7,0.000103,I don't know. While the provided text and knowledge-graph facts identify Seq2Sick as an adversarial attack framework and mention that it involves an optimizatio,
"What speed-up does the Simple Recurrent Unit achieve compared to cuDNN LSTM, and on which two task types does it outperform common recurrent and non-recurrent architectures?",1709.02755v5.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,479,39,688.8,6.3e-05,"The Simple Recurrent Unit achieves a 5–9x speed-up compared to cuDNN LSTM, and it outperforms common recurrent and non-recurrent architectures on classification",,1,1,1,1,1,1.0,533,42,639.4,7e-05,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,692,42,802.6,8.6e-05,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,750,42,637.2,9.2e-05,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,
"What speed-up factor does the mobile device implementation achieve, and what type of function is used to represent a single 3D input surface over time?",1704.07854v4.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,438,93,874.3,8.1e-05,"The provided context states that the approach achieves effective speed-up factors of more than 2000. Regarding the representation of the surface, the text descr",,1,1,1,1,1,1.0,523,40,547.5,6.8e-05,The mobile device implementation achieves effective speed-up factors of more than 2000. A single 3D input surface over time is represented as a four-dimensional,,1,1,1,1,1,1.0,645,77,762.2,9.5e-05,"Based on the provided text, the approach achieves effective speed-up factors of more than 2000 compared to a traditional simulator.  Regarding the function used",,1,1,1,1,1,1.0,734,38,556.2,8.9e-05,The mobile device implementation achieves effective speed-up factors of more than 2000. A single 3D input surface is represented as a four-dimensional signed-di,
"In the network traffic use case, what type of query is used to find malicious attackers, and in the social networks use case, what type of query is used to track the spreading path of news?",1809.01246v1.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,439,42,518.8,6.1e-05,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, tracking the spreading path of a piece of n",,1,1,1,1,1,1.0,499,37,531.9,6.5e-05,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, queries like tracking the spreading path of",,1,1,1,1,1,1.0,628,37,520.6,7.8e-05,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, queries to track the spreading path of a pi",,1,1,1,1,1,1.0,692,37,619.8,8.4e-05,"In the network traffic use case, node queries are used to find malicious attackers. In the social networks use case, queries to track the spreading path of a pi",
"In the Taobao adaptive exposure framework, what two levels of constraints are considered when determining the maximum and average number of ads per user visit?",1809.03149v2.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,417,58,1149.7,6.5e-05,"In the Taobao adaptive exposure framework, the two levels of constraints considered are:  1. **Request-level:** The maximum number of ads on each request (user ",,1,1,1,1,1,1.0,533,89,567.2,8.9e-05,"In the Taobao adaptive exposure framework, the two levels of constraints considered are:  1.  **Request-level:** The maximum number of ads on each request (a us",,1,1,1,1,1,1.0,672,78,608.6,9.8e-05,"In the Taobao adaptive exposure framework, the two levels of constraints considered are:  1.  **Request-level:** The maximum number of ads on each request (a us",,1,1,1,1,1,1.0,792,89,698.4,0.000115,"In the Taobao adaptive exposure framework, the two levels of constraints considered are:  1.  **Request-level:** The maximum number of ads on each request (a us",
"What is the average path length of a merge-and-run block with two residual branches, and what testing error does the network built from these blocks achieve on CIFAR-100?",1611.07718v2.txt,multihop,gemini-flash-lite,0,0,0,1,1,1.0,459,64,689.0,7.2e-05,"The provided text states that the average length of two residual blocks is 222, but it does not provide the specific average length for the merge-and-run block.",,0,0,1,1,1,1.0,544,56,622.6,7.7e-05,I don't know. The provided context mentions the average length of two residual blocks (222) but does not provide the specific average length for the merge-and-r,,0,1,1,1,1,1.0,735,131,893.7,0.000126,"Based on the provided text, the average length of a merge-and-run block with two residual branches is not explicitly stated (the text cuts off after mentioning ",,0,0,1,1,1,1.0,824,133,785.9,0.000136,"Based on the provided text, the average length of a merge-and-run block with two residual branches is not explicitly stated (the text only mentions the average ",
"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, how many times per day could a contestant submit guesses, and what accuracy metric did the oracle return for each submission?",1709.02418v2.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,467,47,669.8,6.6e-05,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition, a contestant could submit guesses up to 5 times per day, and for each submission, the oracl",,1,1,1,1,1,1.0,565,62,657.7,8.1e-05,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per day. For each submissi",,1,1,1,1,1,1.0,694,62,544.2,9.4e-05,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per day. For each submissi",,1,1,1,1,1,1.0,796,62,553.4,0.000104,"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per day. For each submissi",
"In the ChoiceNet framework, what transform is used for sampling the weights of a neural network to model correlated outputs, and what type of distributions are leveraged to handle inconsistencies in a dataset?",1805.06431v4.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,401,42,560.2,5.7e-05,"In the ChoiceNet framework, the Cholesky transform is used to estimate the mixture of the target distribution and other correlated distributions. To handle inco",,1,1,1,1,1,1.0,472,51,720.7,6.8e-05,"In the ChoiceNet framework, the Cholesky transform is used to estimate the mixture of the target distribution and other correlated distributions. To handle inco",,1,1,1,1,1,1.0,651,48,564.9,8.4e-05,"Based on the provided text, the Cholesky transform is used in the Cholesky Block to estimate the mixture of the target distribution and other correlated distrib",,1,1,1,1,1,1.0,726,55,580.1,9.5e-05,"In the ChoiceNet framework, the Cholesky transform is used to estimate the mixture of the target distribution and other correlated distributions. To handle inco",
"In the comparison of RPCA methods on the changedetection.net baseline category, which method achieved the highest F1 score, and what was its run time per frame?",1809.03550v3.txt,multihop,gemini-flash-lite,0,0,1,1,1,1.0,539,46,615.9,7.2e-05,"I don't know. The provided text mentions that the best results are highlighted in bold in a table, but the table content for the F1 score and run time for the w",,0,0,1,1,1,1.0,643,35,610.1,7.8e-05,I don't know. The provided context and knowledge-graph facts do not identify which specific method achieved the highest F1 score or provide its corresponding ru,,0,0,1,1,1,1.0,807,61,737.2,0.000105,"I do not know. While the provided text mentions that the F1 score on the baseline category is 0.80254 and references a table comparing RPCA implementations, the",,0,0,1,1,1,1.0,915,62,648.2,0.000116,"Based on the provided text, the F1 score for the approach on the baseline category of changedetection.net is 0.80254. The provided text does not explicitly name",
"What is the computational complexity per word for the Sent2Vec model, and which training objective does it extend?",1703.02507v3.txt,multihop,gemini-flash-lite,1,1,1,1,1,1.0,481,65,671.3,7.4e-05,"The provided text states that the training and inference complexity of Sent2Vec is ""exactly as low as in averaging methods."" Regarding the training objective, t",,1,1,1,1,1,1.0,555,60,581.9,8e-05,"Based on the provided context and knowledge-graph facts, the Sent2Vec model has training and inference complexity as low as in averaging methods. The model is i",,1,1,1,1,1,1.0,691,60,640.8,9.3e-05,"Based on the provided text, the Sent2Vec model has training and inference complexity ""exactly as low as in averaging methods."" Conceptually, the model extends t",,1,1,1,1,1,1.0,769,70,728.0,0.000105,"Based on the provided text, the Sent2Vec model has training and inference complexity that is ""exactly as low as in averaging methods.""   Conceptually, the model",
"In the Robertson-Webb query model, what is the lower bound for envy-free cake cutting, and what is the upper bound for the same problem?",1705.02946v3.txt,multihop,gemini-flash-lite,0,1,1,1,1,1.0,481,61,720.5,7.3e-05,I don't know. The provided text mentions that impossibility results preclude the computation of envy-free allocations in the standard query model and that bound,,0,1,1,1,1,1.0,583,76,706.5,8.9e-05,"Based on the provided context and knowledge-graph facts, the lower bound for envy-free cake cutting is $\omega(\log(1/\epsilon))$. The provided text and knowled",,0,0,1,1,1,1.0,642,79,681.7,9.6e-05,I do not know. While the provided text mentions that the paper studies the query complexity of envy-free allocations in the Robertson-Webb model and references ,,0,1,1,1,1,1.0,748,74,689.9,0.000104,"Based on the provided knowledge-graph facts, the lower bound for envy-free cake cutting is $\omega(\log(1/\epsilon))$. The provided text and knowledge-graph fac",
