question,src_recall,facts,baseline_subs,baseline_both,baseline_answer,+KG_subs,+KG_both,+KG_answer,+multimodal_subs,+multimodal_both,+multimodal_answer,+both_subs,+both_both,+both_answer
"What stabilization method is most commonly described in the articles regarding the effect of applying dentition? Also, separately: What medium was selected to enhance the production of active SMa?",1.0,7,01,0,The most commonly described stabilization method in the articles regarding the effect of applying dentition is the use of wires. The medium ,11,1,The stabilization method most commonly described in the articles regarding the effect of applying dentition is the use of wires as a stabili,11,1,The stabilization method most commonly described in the articles regarding the effect of applying dentition is the use of wires as a stabili,11,1,The stabilization method most commonly described in the articles regarding the effect of applying dentition is the use of wires as a stabili
"What is the prevalence of Pompe disease in Australia compared to the expected prevalence for Bop? Also, separately: What is the primary mechanism by which fibrates lower lipid levels?",1.0,8,11,1,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   The primary m",11,1,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   The primary m",11,1,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   The primary m",11,1,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   The primary m"
"What is a key feature of a substrate-based radiotracer for a hyalase? Also, separately: What compensatory mechanism occurs in Dictyostelium discoideum when SCAR is lost?",1.0,4,11,1,A key feature of a substrate-based radiotracer for a hyalase is that the enzyme activation of the radiolabeled substrate produces two fragme,11,1,A key feature of a substrate-based radiotracer for a hyalase is that the enzyme activation of the radiolabeled substrate produces two fragme,11,1,A key feature of a substrate-based radiotracer for a hyalase is that the enzyme activation of the radiolabeled substrate produces two fragme,11,1,A key feature of a substrate-based radiotracer for a hyalase is that the enzyme activation of the radiolabeled substrate produces two fragme
"What did Shabuova et al. (2014) define as the bacterial 'core' assemblage? Also, separately: What do the abbreviations ECFP and DR stand for in the context of fluorescent proteins?",1.0,0,11,1,"Shabuova et al. (2014) defined a bacterial ""core"" assemblage as the subset of those bacterial genotypes that were present in all samples dur",10,0,"Shabuova et al. (2014) defined a bacterial ""core"" assemblage as the subset of those bacterial genotypes that were present in all samples dur",11,1,"Shabuova et al. (2014) defined a bacterial ""core"" assemblage as the subset of those bacterial genotypes that were present in all samples dur",10,0,"Shabuova et al. (2014) defined a bacterial ""core"" assemblage as the subset of those bacterial genotypes that were present in all samples dur"
"What compensatory mechanism occurs in Dictyostelium discoideum when SCAR is lost? Also, separately: What method is used to assess the spatial consistency of ERP maps across subjects?",1.0,8,11,1,"In Dictyostelium discoideum, when SCAR is lost, the compensatory mechanism involves WASP moving to the leading edge to generate morphologica",11,1,"In Dictyostelium discoideum, when SCAR is lost, the compensatory mechanism involves WASP moving to the leading edge to generate morphologica",11,1,"In Dictyostelium discoideum, when SCAR is lost, the compensatory mechanism involves WASP moving to the leading edge to generate morphologica",11,1,"In Dictyostelium discoideum, when SCAR is lost, the compensatory mechanism involves WASP moving to the leading edge to generate morphologica"
"What did Shabuova et al. (2014) define as the bacterial 'core' assemblage? Also, separately: What stem cell factors are associated with NSCLC resistance to chemotherapy?",0.5,8,00,0,I don't know.,00,0,"I don't know.   The stem cell factors associated with NSCLC resistance to chemotherapy include Sox2, Oct, and Nanog.",00,0,I don't know.,00,0,"I don't know.   The stem cell factors associated with NSCLC resistance to chemotherapy include Sox2, Oct, and Nanog."
"What is the prevalence of Pompe disease in Australia compared to the expected prevalence for Bop? Also, separately: What stabilization method is most commonly described in the articles regarding the effect of applying dentition?",0.5,8,10,0,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   I don't know ",10,0,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   I don't know ",10,0,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   I don't know ",10,0,"The prevalence of Pompe disease in Australia is considerably lower than the expected prevalence for Bop, which is 1-283,000.   I don't know "
"What does the Hepatocoon clade represent in terms of its phylogenetic structure? Also, separately: What genes were analyzed for allelic frequencies and case-control associations with ASDs?",1.0,2,01,0,"The Hepatocoon clade represents a polyphyletic structure with well-supported monophyletic clades, including two well-supported monophyletic ",01,0,"The Hepatocoon clade represents a well-supported monophyletic group comprising Hepatocoon species, with two well-supported monophyletic clad",01,0,"The Hepatocoon clade represents a well-supported monophyletic group, with two well-supported monophyletic clades within it.   For the alleli",01,0,"The Hepatocoon clade represents a well-supported monophyletic group, with two well-supported monophyletic clades within it.   For the alleli"
"What did Shabuova et al. (2014) define as the bacterial 'core' assemblage? Also, separately: What is the prevalence of Pompe disease in Australia compared to the expected prevalence for Bop?",1.0,8,11,1,"Shabuova et al. (2014) defined a bacterial ""core"" assemblage as the subset of those bacterial genotypes that were present in all samples dur",00,0,"I don't know.   The prevalence of Pompe disease in Australia is lower than the expected prevalence for Bop, which is 1-283,000.",11,1,"Shabuova et al. (2014) defined a bacterial ""core"" assemblage as the subset of those bacterial genotypes that were present in all samples dur",10,0,"Shabuova et al. (2014) defined a bacterial ""core"" assemblage as the subset of those bacterial genotypes that were present in all samples dur"
"What was the effect of LPS stimulation on the mRNA level of a specific gene in SJL and L/L pups? Also, separately: What do the abbreviations ECFP and DR stand for in the context of fluorescent proteins?",0.5,7,10,0,LPS stimulation significantly elevated the mRNA level of a specific gene in SJL and L/L pups.   I don't know what the abbreviations ECFP and,10,0,The effect of LPS stimulation on the mRNA level of a specific gene in SJL and L/L pups was that it significantly elevated the mRNA level of ,10,0,LPS stimulation significantly elevated the mRNA level of a specific gene in SJL and L/L pups.   I don't know what the abbreviations ECFP and,00,0,LPS stimulation elevated the mRNA level of a specific gene in SJL and L/L pups.   I don't know what the abbreviations ECFP and DR stand for 
