question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"Which coreference resolver ranks best on the CoNLL development and test sets, and what is the performance ranking of the same systems when evaluated on the WikiCoref dataset?",1708.00160v2.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,447,60,987.2,0.000103,"The model of Lee et al. (2017) performs the best and that of Clark and Manning (2016b) performs the second best on the CoNLL development and test sets. However,",,1,1,1,1,1,1.0,523,60,1136.4,0.000114,"The model of Lee et al. (2017) performs the best and that of Clark and Manning (2016b) performs the second best on the CoNLL development and test sets. However,",,1,1,1,1,1,1.0,661,58,1003.7,0.000134,"The model of Lee et al. (2017) performs the best, and that of Clark and Manning (2016b) performs the second best on the CoNLL development and test sets. However",,1,1,1,1,1,1.0,741,61,1072.5,0.000148,"The model of Lee et al. (2017) performs the best, and that of Clark and Manning (2016b) performs the second best on the CoNLL development and test sets. However",
"In the MTSA mechanism, which type of self-attention captures pairwise dependency, and which type captures global dependency?",1805.00912v4.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,417,74,2354.2,0.000107,"According to the text, in MTSA,  1) pairwise dependency is captured by an efficient dot-product based token2token self-attention,  2) global dependency is model",,1,1,1,1,1,1.0,500,88,1619.3,0.000128,"According to the context passage [1805.00912v4.txt], in the MTSA mechanism:  1. Pairwise dependency is captured by an efficient dot-product based token2token se",,1,1,1,1,1,1.0,616,50,1005.2,0.000122,"According to the text context, in the MTSA mechanism, the pairwise dependency is captured by an efficient dot-product based token2token self-attention, while th",,1,1,1,1,1,1.0,703,50,958.2,0.000135,"According to the text context and knowledge-graph facts, in the MTSA mechanism, pairwise dependency is captured by dot-product based token2token self-attention,",
"What percentage of fake news data traffic during the 2016 US president election came from online social networks, and what type of traditional medium had a smaller share than that?",1805.08751v2.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,400,47,912.0,8.8e-05,"According to the text, online social networks accounted for more than 41.8% of the fake news data traffic during the election. The data traffic shares of tradit",,1,1,1,1,1,1.0,489,76,1394.9,0.000119,"According to the provided context, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. The",,1,1,1,1,1,1.0,672,84,2017.0,0.000151,"According to the text, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. The text also s",,1,1,1,1,1,1.0,765,75,959.3,0.00016,"According to the text context, online social networks accounted for more than 41.8% of the fake news data traffic during the 2016 US president election. The dat",
"In the Seq2Sick framework, which two techniques are combined to address the challenge posed by the discrete input space of sequence-to-sequence models?",1803.01128v3.txt,multihop,llama4-maverick,0,0,1,1,1,1.0,488,5,336.1,7.6e-05,I don't know.,,0,0,1,1,1,1.0,562,153,2461.7,0.000176,"You don't know.   However, based on the context passage, it is mentioned that ""we can employ approximate nearest neighbor (ANN) approaches to further speed up t",,0,0,0,1,1,1.0,699,321,5125.9,0.000297,"To determine the techniques combined in the Seq2Sick framework to address the challenge posed by the discrete input space of sequence-to-sequence models, we nee",,1,0,1,1,1,1.0,777,64,1582.0,0.000155,"According to the text context, the techniques used in Seq2Sick include the projected gradient method. Additionally, the knowledge-graph facts mention that the t",
"What speed-up does the Simple Recurrent Unit achieve compared to cuDNN LSTM, and on which two task types does it outperform common recurrent and non-recurrent architectures?",1709.02755v5.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,437,42,817.4,9.1e-05,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,486,42,996.8,9.8e-05,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,626,42,1619.8,0.000119,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,,1,1,1,1,1,1.0,679,42,905.9,0.000127,The Simple Recurrent Unit (SRU) achieves a 5–9x speed-up compared to cuDNN LSTM. It outperforms common recurrent and non-recurrent architectures on classificati,
"What speed-up factor does the mobile device implementation achieve, and what type of function is used to represent a single 3D input surface over time?",1704.07854v4.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,407,45,1132.1,8.8e-05,The speed-up factor achieved is more than 2000. The type of function used to represent large collections of space-time surfaces is a deformation-aware neural ne,,1,1,1,1,1,1.0,485,42,956.2,9.8e-05,"According to the provided context, the mobile device implementation achieves a speed-up factor of more than 2000. A single 3D input surface over time is represe",,1,1,1,1,1,1.0,587,109,2363.0,0.000153,"According to the text, the approach achieves ""effective speed up factors of more than 2000"" on mobile devices. The text also mentions that their method ""yields ",,1,1,1,1,1,1.0,669,36,691.1,0.000122,The mobile device implementation achieves a speed-up factor of more than 2000. A single 3D input surface over time is represented as a four-dimensional signed-d,
"In the network traffic use case, what type of query is used to find malicious attackers, and in the social networks use case, what type of query is used to track the spreading path of news?",1809.01246v1.txt,multihop,llama4-maverick,1,0,1,1,1,1.0,411,318,4106.8,0.000252,"According to the provided context, in the network traffic use case (Use case 1), node queries are used to find malicious attackers. In the social networks use c",,0,0,1,1,1,1.0,469,365,6957.4,0.000289,"To answer this question, we need to look at the provided context passages.  For the network traffic use case, according to the passage in [1809.01246v1.txt], ""p",,0,0,1,1,1,1.0,581,244,4587.4,0.000234,"To answer the question, we need to refer to the provided text context.  For the network traffic use case, according to the text, ""performing node queries to fin",,0,0,1,1,1,1.0,643,370,7433.1,0.000318,"To answer the question, we need to refer to the provided text context and knowledge-graph facts.  For the network traffic use case, according to the text contex",
"In the Taobao adaptive exposure framework, what two levels of constraints are considered when determining the maximum and average number of ads per user visit?",1809.03149v2.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,397,58,1141.7,9.4e-05,The two levels of constraints considered are:   1. Request-level: the maximum number of ads on each request (or user visit) cannot exceed a threshold. 2. Platfo,,1,1,1,1,1,1.0,515,71,1303.9,0.00012,The two levels of constraints considered are:   1. Request-level: the maximum number of ads on each request (or user visit) cannot exceed a threshold. 2. Platfo,,1,1,1,1,1,1.0,626,58,1432.2,0.000129,The two levels of constraints considered are:   1. Request-level: the maximum number of ads on each request (or user visit) cannot exceed a threshold. 2. Platfo,,1,1,1,1,1,1.0,748,60,973.6,0.000148,The two levels of constraints considered are: (1) request-level: the maximum number of ads on each request (or user visit) cannot exceed a threshold; and (2) pl,
"What is the average path length of a merge-and-run block with two residual branches, and what testing error does the network built from these blocks achieve on CIFAR-100?",1611.07718v2.txt,multihop,llama4-maverick,0,0,1,1,1,1.0,408,122,1585.0,0.000134,I don't know. The text only discusses CIFAR-10 and doesn't mention CIFAR-100. It also doesn't directly state the average path length of a merge-and-run block. H,,0,0,1,1,1,1.0,486,62,1035.5,0.00011,I don't know. The provided context passages and knowledge-graph facts do not contain information about the average path length of a merge-and-run block with two,,0,0,1,1,1,1.0,647,163,3251.1,0.000195,I don't know. The text context does not provide the average path length of a merge-and-run block with two residual branches and its testing error on CIFAR-100. ,,0,0,1,1,1,1.0,729,138,2782.7,0.000192,You don't know.  The text context does not provide the testing error achieved by the network built from merge-and-run blocks on CIFAR-100. It does mention CIFAR,
"In the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, how many times per day could a contestant submit guesses, and what accuracy metric did the oracle return for each submission?",1709.02418v2.txt,multihop,llama4-maverick,1,1,1,1,1,1.0,434,66,1149.1,0.000105,"According to the text, in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per",,1,1,1,1,1,1.0,531,68,1288.0,0.00012,"According to the context passage, in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to ",,1,1,1,1,1,1.0,635,69,1053.7,0.000137,"According to the text, in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 times per",,1,1,1,1,1,1.0,736,71,1486.0,0.000153,"According to the text context, in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle, a contestant could submit guesses up to 5 t",
