question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt,multihop_cross,llama4-scout,1,1,1,0,0,0.0,469,191,6334.8,9.5e-05,The use of bidirectional gated recurrent units in encoding sequences and the implementation of sentence-level BLEU as an objective for the generator are two sep,,1,1,1,0,0,0.0,547,237,10556.1,0.000115,The use of bidirectional gated recurrent units (GRUs) in encoding sequences and the implementation of sentence-level BLEU as an objective for the generator are ,,1,0,1,0,0,0.0,683,123,3506.5,9.2e-05,The text does not explicitly state how the use of bidirectional gated recurrent units in encoding sequences relates to the implementation of sentence-level BLEU,,1,1,1,0,0,0.0,765,178,7149.5,0.000115,The use of bidirectional gated recurrent units in encoding sequences and the implementation of sentence-level BLEU as an objective for the generator are two rel,
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt,multihop_cross,llama4-scout,1,1,1,1,1,0.333,441,67,2009.4,5.5e-05,"Initializing the encoder with pretrained word2vec embeddings, and not updating them, returned a model with the best internal coherence of any model considered f",,1,1,1,1,1,0.333,516,72,1899.1,6.3e-05,"According to the context passages, pretrained word2vec embeddings are utilized in the training process by initializing the encoder with them. Specifically, in o",,1,1,1,1,1,0.333,649,59,1384.1,7e-05,"Pretrained word2vec embeddings are utilized in the training process by initializing the encoder with them. In one case, they are not updated during training. Th",,1,1,1,1,1,0.333,728,205,6851.7,0.00012,"According to the text context, pretrained word2vec embeddings are utilized in the training process in the following way:  * In [1705.09296v2.txt], initializing ",
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt,multihop_cross,llama4-scout,1,0,1,1,1,1.0,420,145,5033.6,7.7e-05,"In the provided context, maximum likelihood estimation is used to pre-train the generator in GANs. Specifically, it is mentioned that the generator is pre-train",,1,0,1,1,1,1.0,491,76,1642.7,6.2e-05,"In supervised summarization approaches, I don't know how maximum likelihood estimation is applied.   In GANs, maximum likelihood estimation is used to pre-train",,1,0,1,1,1,1.0,725,116,2966.6,9.3e-05,"In the context of supervised summarization approaches, the provided text does not mention the application of maximum likelihood estimation. However, in the cont",,1,0,1,1,1,1.0,800,178,2542.9,0.000117,"In supervised summarization approaches, maximum likelihood estimation (MLE) is not explicitly mentioned in the provided text context. However, based on the cont",
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt,multihop_cross,llama4-scout,0,0,1,1,1,1.0,394,129,2518.0,7e-05,"According to the context, knowledge transfer in action recognition utilizes a large amount of training data through methods based on visual similarity. However,",,1,1,1,1,1,1.0,467,255,6208.0,0.000114,"According to the provided context passages, knowledge transfer in action recognition typically utilizes visual similarity, which requires a large amount of trai",,0,1,1,1,1,1.0,611,90,2947.4,7.6e-05,"According to the text, previous work on knowledge transfer for images and videos has been based on visual similarity, which requires **a large amount of trainin",,1,1,1,1,1,1.0,688,140,3571.8,9.7e-05,"Knowledge transfer in action recognition, based on previous work, utilizes a large amount of training data through visual similarity. This approach requires a l",
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt,multihop_cross,llama4-scout,1,1,1,1,1,0.5,431,85,2214.7,6e-05,"For the first question, the baseline model in the smoke dataset learns spatial and temporal features of the target domain, as well as their correlation, using t",,1,1,1,1,1,0.5,504,85,2495.9,6.6e-05,"The baseline model in the smoke dataset learns spatial and temporal features by using the original, unwarped triplets, i.e., {Ig or Ib}, as input.   The method ",,1,1,1,1,1,0.5,658,72,1728.1,7.4e-05,"The baseline model in the smoke dataset learns spatial and temporal features by using the original, unwarped triplets as input, which consists of only the origi",,1,1,1,1,1,0.5,735,130,7188.0,9.8e-05,"The baseline model in the smoke dataset learns spatial and temporal features by using the original, unwarped triplets as input, which consists of only the origi",
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt,multihop_cross,llama4-scout,0,1,1,0,0,0.0,375,62,2419.3,4.9e-05,"According to the context, one of the datasets introduced for temporal action localization is THUMOS14.   A key requirement for efficient search in temporal acti",,1,1,1,0,0,0.0,444,102,6280.2,6.6e-05,One of the datasets mentioned for temporal action localization is THUMOS14.   A key requirement for efficient search in temporal action localization is that the,,1,1,1,0,0,0.0,568,104,9079.1,7.7e-05,"According to the text context, one of the datasets introduced for temporal action localization is THUMOS14 [24].   A key requirement for efficient search in tem",,1,1,1,0,0,0.0,641,194,8681.0,0.000109,"Based on the provided text context, knowledge-graph facts, and image descriptions, I can answer your question as follows:  The text context mentions THUMOS14 as",
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt,multihop_cross,llama4-scout,1,1,1,1,1,0.5,394,64,3163.4,5.1e-05,"Tensor factorization methods face challenges in modeling time modes due to their irregularity, such as sparsity. In the context of HRSI, straightforward adaptat",,1,1,1,1,1,0.5,472,84,5174.1,6.3e-05,"Tensor factorization methods face challenges in modeling time modes due to the irregularity of the time mode, such as irregularity and sparsity.   A novel appro",,1,1,1,1,1,0.5,552,89,5466.6,7.1e-05,"Tensor factorization methods face challenges in modeling time modes due to their irregularity, which can manifest as issues like sparsity.   A novel approach pr",,1,1,1,1,1,0.5,634,82,6145.7,7.5e-05,"Tensor factorization methods face challenges in modeling time modes due to their irregularity, and some cases are intrinsically difficult for regular tensor fac",
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt,multihop_cross,llama4-scout,1,1,1,1,1,1.0,395,76,3903.4,5.4e-05,The asymmetric mutual information estimator is introduced to maximize the coherence between audio and visual modalities for arbitrary talking face generation.  ,,1,1,1,1,1,1.0,478,175,8215.3,9.1e-05,"Mutual information estimation contributes to the talking face generation task by exploring the coherence between audio and visual modalities. Specifically, it a",,1,1,1,1,1,1.0,600,77,5082.1,7.1e-05,The asymmetric mutual information estimator is introduced to maximize the mutual information between audio and visual modalities for arbitrary talking face gene,,1,1,1,1,1,1.0,687,223,12481.8,0.000122,Mutual information estimation contributes to the talking face generation task by exploring the coherence between audio and visual modalities. The objective is t,
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt,multihop_cross,llama4-scout,0,0,0,1,1,0.333,482,5,758.7,4e-05,I don't know.,,1,1,1,1,1,0.333,515,41,3017.4,5.4e-05,"Question-type classification is categorized as a multi-class classification task in TREC.  As for MTSA's contribution to question-type classification, I don't k",,1,1,1,1,1,0.333,700,37,2059.7,6.7e-05,"The text does not provide information on how MTSA contributes to question-type classification. However, it does mention that question-type classification (TREC)",,0,1,1,1,1,0.333,737,47,3588.6,7.3e-05,"Question-type classification is categorized as a multi-class classification task in TREC. As for MTSA's contribution to question-type classification, I don't kn",
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt,multihop_cross,llama4-scout,1,1,1,0,0,0.0,383,117,7319.0,6.6e-05,I don't know. The provided context does not mention challenges faced by semantic segmentation models when tested on different datasets. It does mention that cur,,1,1,1,0,0,0.0,468,92,6204.1,6.5e-05,"Semantic segmentation models face challenges when tested on different datasets, but the provided context doesn't specify the challenges. However, a semi-supervi",,1,1,1,0,0,0.0,534,204,6756.7,0.000104,"The text does not provide information on challenges faced by semantic segmentation models when tested on different datasets.   However, it does mention that cur",,1,1,1,0,0,0.0,623,181,6103.0,0.000104,"Semantic segmentation models face challenges when tested on different datasets, as the annotation requirements are high, and obtaining fully supervised data can",
