run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd,_source
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,baseline,0.914,0.914,0.886,0.657,0.714,0.8,457.8,22.7,919.8,0.00288,0.0082,summary_questions_publaynet_text_gpt4o-mini_20260716_211248.csv
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,+KG,0.914,0.914,0.886,0.571,0.571,0.743,500.0,20.9,1084.5,0.003065,0.0088,summary_questions_publaynet_text_gpt4o-mini_20260716_211248.csv
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,+multimodal,0.914,0.914,0.886,0.657,0.714,0.829,628.2,24.1,1024.3,0.003804,0.0109,summary_questions_publaynet_text_gpt4o-mini_20260716_211248.csv
2026-07-16_21:12:48,questions_publaynet_text,text,gpt4o-mini,OpenAI,closed,35,+both,0.914,0.914,0.886,0.6,0.629,0.8,674.3,22.1,984.7,0.004005,0.0114,summary_questions_publaynet_text_gpt4o-mini_20260716_211248.csv
2026-07-16_21:40:34,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,baseline,0.914,0.914,0.886,0.514,0.6,0.771,484.2,24.5,619.6,0.002038,0.0058,summary_questions_publaynet_text_gemini-flash-lite_20260716_214034.csv
2026-07-16_21:40:34,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,+KG,0.914,0.914,0.886,0.6,0.543,0.771,526.8,24.1,735.8,0.002181,0.0062,summary_questions_publaynet_text_gemini-flash-lite_20260716_214034.csv
2026-07-16_21:40:34,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,+multimodal,0.914,0.914,0.886,0.571,0.6,0.8,684.9,28.0,617.5,0.002789,0.008,summary_questions_publaynet_text_gemini-flash-lite_20260716_214034.csv
2026-07-16_21:40:34,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,+both,0.914,0.914,0.886,0.6,0.571,0.8,731.5,29.1,876.5,0.002968,0.0085,summary_questions_publaynet_text_gemini-flash-lite_20260716_214034.csv
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,baseline,0.914,0.914,0.886,0.543,0.686,0.8,459.6,23.2,890.7,0.001531,0.0044,summary_questions_publaynet_text_llama4-scout_20260717_010946.csv
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,+KG,0.914,0.914,0.886,0.6,0.571,0.829,499.6,36.5,1341.9,0.001782,0.0051,summary_questions_publaynet_text_llama4-scout_20260717_010946.csv
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,+multimodal,0.914,0.914,0.886,0.6,0.571,0.771,628.9,38.2,1598.2,0.002162,0.0062,summary_questions_publaynet_text_llama4-scout_20260717_010946.csv
2026-07-17_01:09:46,questions_publaynet_text,text,llama4-scout,Meta/DeepInfra,open,35,+both,0.914,0.914,0.886,0.571,0.543,0.8,672.8,37.6,1363.7,0.002279,0.0065,summary_questions_publaynet_text_llama4-scout_20260717_010946.csv
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,baseline,0.914,0.914,0.886,0.657,0.571,0.857,459.6,51.1,2845.5,0.003486,0.01,summary_questions_publaynet_text_llama4-maverick_20260717_014348.csv
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,+KG,0.914,0.914,0.886,0.714,0.543,0.857,499.6,58.6,2748.8,0.003853,0.011,summary_questions_publaynet_text_llama4-maverick_20260717_014348.csv
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,+multimodal,0.914,0.914,0.886,0.6,0.629,0.857,628.9,59.6,2672.0,0.004554,0.013,summary_questions_publaynet_text_llama4-maverick_20260717_014348.csv
2026-07-17_01:43:48,questions_publaynet_text,text,llama4-maverick,Meta/DeepInfra,open,35,+both,0.914,0.914,0.886,0.657,0.486,0.857,672.8,79.8,4087.1,0.005207,0.0149,summary_questions_publaynet_text_llama4-maverick_20260717_014348.csv
2026-07-16_22:53:49,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,baseline,0.9,0.9,0.883,0.433,0.5,0.633,484.4,32.2,1169.7,0.002759,0.0092,summary_questions_publaynet_multihop_gpt4o-mini_20260716_225349.csv
2026-07-16_22:53:49,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+KG,0.9,0.9,0.883,0.367,0.467,0.6,536.7,27.7,1122.6,0.002914,0.0097,summary_questions_publaynet_multihop_gpt4o-mini_20260716_225349.csv
2026-07-16_22:53:49,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+multimodal,0.9,0.9,0.883,0.433,0.5,0.633,657.2,32.4,1129.6,0.003541,0.0118,summary_questions_publaynet_multihop_gpt4o-mini_20260716_225349.csv
2026-07-16_22:53:49,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+both,0.9,0.9,0.883,0.467,0.467,0.667,713.4,31.9,1036.0,0.003785,0.0126,summary_questions_publaynet_multihop_gpt4o-mini_20260716_225349.csv
2026-07-16_23:16:10,questions_publaynet_multihop,multihop,gemini-flash-lite,Google,closed,30,baseline,0.9,0.9,0.883,0.6,0.467,0.633,516.8,37.7,501.9,0.002003,0.0067,summary_questions_publaynet_multihop_gemini-flash-lite_20260716_231610.csv
2026-07-16_23:16:10,questions_publaynet_multihop,multihop,gemini-flash-lite,Google,closed,30,+KG,0.9,0.9,0.883,0.533,0.433,0.733,570.8,46.2,498.9,0.002267,0.0076,summary_questions_publaynet_multihop_gemini-flash-lite_20260716_231610.csv
2026-07-16_23:16:10,questions_publaynet_multihop,multihop,gemini-flash-lite,Google,closed,30,+multimodal,0.9,0.9,0.883,0.633,0.5,0.867,718.9,47.7,507.0,0.002729,0.0091,summary_questions_publaynet_multihop_gemini-flash-lite_20260716_231610.csv
2026-07-16_23:16:10,questions_publaynet_multihop,multihop,gemini-flash-lite,Google,closed,30,+both,0.9,0.9,0.883,0.567,0.467,0.767,776.9,47.9,659.2,0.002906,0.0097,summary_questions_publaynet_multihop_gemini-flash-lite_20260716_231610.csv
2026-07-17_01:20:59,questions_publaynet_multihop,multihop,llama4-scout,Meta/DeepInfra,open,30,baseline,0.9,0.9,0.883,0.5,0.467,0.7,486.0,70.0,1603.8,0.001797,0.006,summary_questions_publaynet_multihop_llama4-scout_20260717_012059.csv
2026-07-17_01:20:59,questions_publaynet_multihop,multihop,llama4-scout,Meta/DeepInfra,open,30,+KG,0.9,0.9,0.883,0.533,0.467,0.667,536.0,72.7,1699.7,0.00194,0.0065,summary_questions_publaynet_multihop_llama4-scout_20260717_012059.csv
