question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt|1703.04887v4.txt,multihop_cross,llama4-scout,1,1,1,0.5,0,1.0,469,154,5651.9,8.4e-05,The use of bidirectional gated recurrent units in encoding sequences and the implementation of sentence-level BLEU as an objective for the generator are two sep,,1,1,1,0.5,0,1.0,547,236,4653.1,0.000115,The use of bidirectional gated recurrent units (GRUs) in encoding sequences and the implementation of sentence-level BLEU as an objective for the generator are ,,1,0,1,0.5,0,1.0,682,84,3292.3,8e-05,The text does not provide a direct relationship between the use of bidirectional gated recurrent units in encoding sequences and the implementation of sentence-,
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt|1705.09296v2.txt,multihop_cross,llama4-scout,1,1,1,1.0,1,1.0,441,67,2944.4,5.5e-05,"Initializing the encoder with pretrained word2vec embeddings, and not updating them, returned a model with the best internal coherence of any model considered f",,1,1,1,1.0,1,1.0,516,121,3719.5,7.8e-05,"According to the context passages, pretrained word2vec embeddings are utilized in the training process by initializing the encoder with them.   In the passage f",,1,1,1,1.0,1,1.0,658,61,1699.9,7.1e-05,"According to the context, pretrained word2vec embeddings are utilized in the training process by initializing the encoder with them. Specifically, when the embe",
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt|1703.04887v4.txt,multihop_cross,llama4-scout,1,1,1,1.0,1,1.0,420,142,4698.8,7.6e-05,"In the provided context, maximum likelihood estimation is used to pre-train the generator in GANs. Specifically, it is mentioned that the generator is pre-train",,0,0,1,1.0,1,1.0,491,99,2618.6,6.9e-05,"In supervised summarization approaches, I don't know how maximum likelihood estimation is applied.   However, in GANs, maximum likelihood estimation is used to ",,1,0,1,1.0,1,1.0,665,66,1534.0,7.3e-05,"In supervised summarization approaches, the context doesn't mention the application of maximum likelihood estimation. However, in GANs, maximum likelihood estim",
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt|1703.10730v2.txt,multihop_cross,llama4-scout,1,0,1,0.5,0,1.0,394,127,3635.3,7e-05,"According to the context, knowledge transfer in action recognition utilizes a large amount of training data through methods based on visual similarity. However,",,1,1,1,0.5,0,1.0,467,246,6226.7,0.000111,"According to the provided context passages, knowledge transfer in action recognition typically utilizes visual similarity, which requires a large amount of trai",,1,1,1,0.5,0,1.0,650,120,14971.8,8.8e-05,"According to the context, previous work on knowledge transfer for both images and videos has been based on visual similarity, which requires a large amount of t",
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt|1812.00108v4.txt,multihop_cross,llama4-scout,1,1,1,1.0,1,1.0,431,85,2045.7,6e-05,"For the first question, the baseline model in the smoke dataset learns spatial and temporal features of the target domain, as well as their correlation, using t",,1,1,1,1.0,1,1.0,504,84,1970.5,6.6e-05,"The baseline model in the smoke dataset learns spatial and temporal features by using the original, unwarped triplets, i.e., {Ig or Ib}.   The method used to pr",,1,1,1,1.0,1,1.0,691,89,2967.1,8.2e-05,"The baseline model in the smoke dataset learns spatial and temporal features of the target domain and their correlation using the original, unwarped triptychs, ",
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt|1706.04269v2.txt,multihop_cross,llama4-scout,0,1,1,0.5,0,1.0,375,62,2417.9,4.9e-05,"According to the context, one of the datasets introduced for temporal action localization is THUMOS14.   A key requirement for efficient search in temporal acti",,1,1,1,0.5,0,1.0,444,102,3852.7,6.6e-05,One of the datasets mentioned for temporal action localization is THUMOS14.   A key requirement for efficient search in temporal action localization is that the,,1,1,1,1.0,1,1.0,661,99,2996.6,8.3e-05,"According to the context, the datasets introduced for temporal/spatial-temporal action localization are:  * THUMOS * ActivityNet * AVA  A key requirement for ef",
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt|1707.01917v2.txt,multihop_cross,llama4-scout,1,1,1,1.0,1,1.0,394,64,2129.9,5.1e-05,"Tensor factorization methods face challenges in modeling time modes due to their irregularity, such as sparsity. In the context of HRSI, straightforward adaptat",,1,1,1,1.0,1,1.0,472,84,2675.5,6.3e-05,"Tensor factorization methods face challenges in modeling time modes due to the irregularity of the time mode, such as irregularity and sparsity.   A novel appro",,1,1,1,1.0,1,1.0,661,51,2143.0,6.8e-05,"Tensor factorization methods face challenges in modeling time modes due to their irregularity, such as irregular tensor input and sparsity. A novel approach pro",
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt|1804.04786v3.txt,multihop_cross,llama4-scout,1,1,1,1.0,1,1.0,395,76,3020.5,5.4e-05,The asymmetric mutual information estimator is introduced to maximize the coherence between audio and visual modalities for arbitrary talking face generation.  ,,1,1,1,1.0,1,1.0,478,146,5049.5,8.2e-05,"Mutual information estimation contributes to the talking face generation task as a measure to explore coherence between heterogeneous modalities, specifically b",,1,1,1,1.0,1,1.0,645,93,3614.3,7.9e-05,Mutual information estimation contributes to the talking face generation task through the Asymmetric Mutual Information Estimator (AMIE). The AMIE is introduced,
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt|1809.02731v3.txt,multihop_cross,llama4-scout,0,0,0,1.0,1,1.0,482,5,580.6,4e-05,I don't know.,,1,1,1,1.0,1,1.0,515,30,3445.3,5e-05,"Question-type classification is categorized as a multi-class classification task in TREC. However, I don't know how MTSA contributes to question-type classifica",,0,0,0,1.0,1,1.0,701,5,811.3,5.8e-05,I don't know.,
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt|1811.07073v3.txt,multihop_cross,llama4-scout,1,1,1,0.5,0,1.0,383,117,4182.0,6.6e-05,I don't know. The provided context does not mention challenges faced by semantic segmentation models when tested on different datasets. It does mention that cur,,1,1,1,0.5,0,1.0,468,92,2556.7,6.5e-05,"Semantic segmentation models face challenges when tested on different datasets, but the provided context doesn't specify the challenges. However, a semi-supervi",,1,1,1,1.0,1,1.0,602,141,6147.2,9e-05,"According to the context, semantic segmentation models face a challenge of domain shift when tested on different datasets. Specifically, models perform much wor",
