question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt,multihop_cross,gpt4o-mini,0,0,1,0,0,0.0,498,41,2286.6,9.9e-05,The context does not provide a direct relationship between the use of bidirectional gated recurrent units in encoding sequences and the implementation of senten,,1,1,1,0,0,0.0,580,121,2041.5,0.00016,"The use of bidirectional gated recurrent units (GRUs) in encoding sequences is part of the traditional neural machine translation (NMT) model, which is widely e",,1,1,1,0,0,0.0,718,132,1838.1,0.000187,"The use of bidirectional gated recurrent units (GRUs) in encoding sequences is part of the traditional neural machine translation (NMT) model, which is implemen",
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt,multihop_cross,gpt4o-mini,1,1,1,1,1,0.333,455,48,1246.7,9.7e-05,Pretrained word2vec embeddings are utilized in the training process by initializing the encoder with these embeddings and not updating them during training. Thi,,1,1,1,1,1,0.333,533,59,1043.7,0.000115,Pretrained word2vec embeddings are utilized in the training process by initializing the encoder with these embeddings and not updating them during training. Thi,,1,1,1,1,1,0.333,674,48,1211.6,0.00013,Pretrained word2vec embeddings are utilized in the training process by initializing the encoder with these embeddings and not updating them during training. Thi,
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt,multihop_cross,gpt4o-mini,0,0,1,1,1,1.0,430,62,1099.2,0.000102,The provided context does not contain information about how maximum likelihood estimation is applied in supervised summarization approaches. It does mention tha,,0,0,0,1,1,1.0,504,4,593.0,7.8e-05,I don't know.,,1,0,1,1,1,1.0,679,78,2057.0,0.000149,"The provided context does not contain information on how maximum likelihood estimation is applied in supervised summarization approaches. However, it does menti",
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt,multihop_cross,gpt4o-mini,1,1,1,1,1,1.0,398,95,1669.1,0.000117,Knowledge transfer in action recognition utilizes a large amount of training data by relying on visual similarity to generalize a model trained with limited sce,,1,1,1,1,1,1.0,474,118,1759.9,0.000142,Knowledge transfer in action recognition utilizes a large amount of training data by relying on visual similarity to generalize a model trained with limited sce,,1,1,1,1,1,1.0,657,111,1490.9,0.000165,Knowledge transfer in action recognition utilizes a large amount of training data by relying on visual similarity to generalize a model trained with limited sce,
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt,multihop_cross,gpt4o-mini,1,1,1,1,1,0.5,440,66,1206.6,0.000106,"The baseline model in the smoke dataset learns spatial and temporal features using the original, unwarped triplets of images. For processing spatial features ac",,1,1,1,1,1,0.5,516,50,843.4,0.000107,"The baseline model in the smoke dataset learns spatial and temporal features using the original, unwarped triplets. Spatial features are processed across frames",,1,1,1,1,1,0.5,713,96,1465.5,0.000165,"The baseline model in the smoke dataset learns spatial and temporal features using the original, unwarped triplets, which consist of images {Ig or Ib}. However,",
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt,multihop_cross,gpt4o-mini,0,1,1,0,0,0.0,375,40,1166.7,8e-05,The dataset mentioned for temporal action localization is THUMOS14. A key requirement for efficient search in temporal action localization is the ability to sim,,0,1,1,0,0,0.0,446,45,804.0,9.4e-05,The context mentions THUMOS14 as one of the datasets used for temporal action localization. A key requirement for efficient search in temporal action localizati,,1,1,1,1,1,0.25,663,46,1255.2,0.000127,"The datasets introduced for temporal action localization include THUMOS, ActivityNet, and AVA. A key requirement for efficient search in temporal action localiz",
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt,multihop_cross,gpt4o-mini,1,1,1,1,1,0.5,405,48,1016.3,9e-05,Tensor factorization methods face challenges in modeling time modes due to irregularity and data sparsity. The novel approach proposed to address the gap in the,,1,1,1,1,1,0.5,488,48,889.9,0.000102,Tensor factorization methods face challenges in modeling time modes due to irregularity and data sparsity. The novel approach proposed to address the gap in the,,1,1,1,1,1,0.5,677,48,908.7,0.00013,Tensor factorization methods face challenges in modeling time modes due to irregularity and data sparsity. A novel approach proposed to address the gap in their,
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt,multihop_cross,gpt4o-mini,1,1,1,1,1,1.0,392,80,1676.1,0.000107,"The mutual information estimation contributes to the talking face generation task by helping to model the coherence between audio and visual modalities, ensurin",,1,1,1,1,1,1.0,478,83,1321.6,0.000121,"Mutual information estimation contributes to the talking face generation task by exploring the coherence between audio and visual modalities, which is essential",,1,1,1,1,1,1.0,646,88,1517.8,0.00015,The mutual information estimation contributes to the talking face generation task by ensuring that the generated image sequence preserves the identity across a ,
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt,multihop_cross,gpt4o-mini,1,1,1,1,1,0.333,491,36,700.8,9.5e-05,"The provided context does not mention how MTSA contributes to question-type classification. However, it states that question-type classification (TREC) is categ",,1,1,1,1,1,0.333,526,41,1129.1,0.000103,"MTSA contributes to question-type classification by providing context-aware representations of tokens, which can enhance the performance of the classification t",,1,1,1,1,1,0.333,713,36,1075.0,0.000129,"The provided context does not mention how MTSA contributes to question-type classification. However, it states that question-type classification (TREC) is categ",
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt,multihop_cross,gpt4o-mini,0,0,0,0,0,0.0,384,4,675.4,6e-05,I don't know.,,0,0,0,0,0,0.0,474,4,819.6,7.3e-05,I don't know.,,1,1,1,1,1,0.25,607,122,2743.6,0.000164,"Semantic segmentation models face challenges such as a dramatic domain shift when tested on different datasets, which can lead to significantly worse performanc",
