question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What demographic and lifestyle factors are categorized in relation to mean BMI and waist circumference?,PMC4537884_00002_table0.png,figure,llama4-scout,0,0,1,0,0,0.0,471,32,991.2,4.7e-05,Sociodemographic and lifestyle factors.  These factors are also related to prevalence rates of underweight and abdominal obesity in 21315 men and women.,,0,0,0,0,0,0.0,547,114,1700.8,7.8e-05,"According to the provided context passages and knowledge-graph facts, sociodemographic and lifestyle factors are related to BMI, waist circumference, and preval",,0,0,0,0,0,0.0,624,82,2150.7,7.5e-05,"The provided text and table do not mention demographic and lifestyle factors categorized in relation to mean BMI and waist circumference. However, [PMC4537884_0",,0,0,1,0,0,0.0,704,126,3316.0,9.4e-05,"The text context provides information on the relationship between waist circumference, body composition, and various demographic and lifestyle factors. Specific",
How many genes are included in the Retinitis Pigmentosa panel?,PMC5592712_00002_table0.png,figure,llama4-scout,1,1,1,0,0,0.0,493,19,1051.4,4.5e-05,132 genes are included in the panel for retinal dystrophies (RD/132 panel).,,1,1,1,0,0,0.0,511,34,766.7,5.1e-05,"According to the context passage, the panel contained 132 retinal dystrophy genes. Therefore, the Retinitis Pigmentosa (RP) panel includes 132 genes.",,1,0,1,0,0,0.0,936,22,880.1,8.1e-05,"The text context states that the panel includes 132 genes. Therefore, the answer is: 132.",,1,0,1,0,0,0.0,958,55,4072.2,9.3e-05,"The text context states that ""The 132 gene panel was comprised of coding exons and splicing sites of 132 known retinal disease genes"". Therefore, the number of ",
"What are the statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benefit (INB)?",PMC5763423_00016_table0.png,figure,llama4-scout,0,0,1,0,0,0.0,338,71,2541.8,4.8e-05,"I don't know. The provided context does not mention specific statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benef",,0,0,0,0,0,0.0,375,5,406.4,3.1e-05,I don't know.,,0,0,0,0,0,0.0,781,100,1908.4,9.2e-05,"The provided text and image do not explicitly mention the statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benefit ",,0,0,0,0,0,0.0,822,138,4276.0,0.000107,"The provided text context, knowledge-graph facts, and attached image(s) do not explicitly mention the specific statistical methods used to estimate incremental ",
What genetic variants are analyzed for allele frequency in the NLGN3 and NLGN4X genes?,PMC3120659_00004_table0.png,figure,llama4-scout,0,0,1,0,0,0.0,481,65,1240.1,5.8e-05,The provided context does not specify which genetic variants are analyzed for allele frequency in the NLGN3 and NLGN4X genes. The text appears to be a jumbled c,,0,0,1,0,0,0.0,492,99,2860.6,6.9e-05,The provided context does not specify which genetic variants are analyzed for allele frequency in the NLGN3 and NLGN4X genes. The text appears to mention specif,,0,0,0,0,0,0.0,924,178,4077.1,0.000127,"The provided text context and table do not directly mention the specific genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes. However, ",,0,0,1,0,0,0.0,939,121,2453.6,0.000111,"The provided text and image do not explicitly mention the specific genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes. However, based ",
What types of microorganisms are distributed in the saturated zone during baseflow and an event?,PMC5947618_00010_figure0.png,figure,llama4-scout,0,0,0,0,0,0.0,449,5,419.9,3.7e-05,I don't know.,,0,0,0,0,0,0.0,460,5,341.7,3.8e-05,I don't know.,,1,1,1,1,1,1.0,892,67,2006.1,9.1e-05,"The image shows that during baseflow and an event, the following types of microorganisms are distributed in the saturated zone:  * Protozoa * Bacteria and archa",,1,1,1,1,1,1.0,907,102,2861.3,0.000103,The types of microorganisms distributed in the saturated zone during baseflow and an event are:  * Protozoa * Bacteria and archaea * Bacterial and archaeal viru,
"What are the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups?",PMC5986835_00005_figure0.png,figure,llama4-scout,0,0,1,0,0,0.0,572,32,1354.8,5.5e-05,"I don't know. The provided context does not mention the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups.",,0,0,0,0,0,0.0,583,5,459.5,4.8e-05,I don't know.,,0,0,1,0,0,0.0,1015,211,3971.6,0.000144,"The concentrations of TGFβ1, IL-1β, and IL-6 across the three groups are not explicitly mentioned in the provided text context. However, I can see a table in th",,0,0,0,0,0,0.0,1030,260,8409.0,0.00016,"The provided text context and knowledge-graph facts do not directly mention the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups. However, there",
What are the key considerations for bariatric intervention in type 1 diabetes?,PMC4936488_00011_table0.png,figure,llama4-scout,0,0,0,0,0,0.0,327,86,1285.3,5.2e-05,I don't know. The provided context does not mention key considerations for bariatric intervention in type 1 diabetes. It appears to discuss clinical considerati,,0,0,0,0,0,0.0,338,5,841.4,2.9e-05,I don't know.,,0,0,0,0,0,0.0,770,55,2823.3,7.8e-05,"The provided text and image do not mention key considerations for bariatric intervention in type 1 diabetes. However, the first text file mentions ""Clinical Con",,0,0,0,0,0,0.0,785,373,7182.6,0.000175,"The provided text context and knowledge-graph facts do not directly address the key considerations for bariatric intervention in type 1 diabetes. However, based",
What are the categories compared for the duration and display percentages of alcohol cues and responsible drinking statements?,PMC5467671_00004_table0.png,figure,llama4-scout,0,0,0,0,0,0.0,404,56,1410.6,4.9e-05,"I don't know. The context only discusses the rates of complications during treatment for different substance-related classes (alcohol-related, drug-related, alc",,0,0,0,0,0,0.0,438,5,1395.8,3.7e-05,I don't know.,,0,0,0,0,0,0.0,557,32,1135.3,5.4e-05,The provided text and image do not mention the categories compared for the duration and display percentages of alcohol cues and responsible drinking statements.,,0,0,1,0,0,0.0,595,30,1049.5,5.7e-05,"The provided text and knowledge-graph facts do not mention the duration and display percentages of alcohol cues and responsible drinking statements. Therefore, ",
What does the phylogenetic tree illustrate about genetic relationships?,PMC4366372_00020_figure0.png,figure,llama4-scout,0,1,1,0,0,0.0,345,62,1646.8,4.6e-05,"The phylogenetic tree depicts the evolutionary relationships among species. Specifically, it shows the relationships between different species, with the scale r",,0,1,1,0,0,0.0,356,59,1771.0,4.6e-05,"The phylogenetic tree illustrates evolutionary relationships among species. The tree depicts the relationships between different species, with the scale represe",,1,1,1,0,0,0.0,788,146,5314.3,0.000107,"The phylogenetic tree illustrates the genetic relationships among different species of *Entamoeba*, showing their evolutionary distances and classifications bas",,1,1,1,0,0,0.0,803,242,5612.2,0.000137,The phylogenetic tree illustrates the genetic relationships among different species of Entamoeba. The tree shows the evolutionary distances between these specie,
What opportunities for additional funding are available for undergraduate medical education at Radboud University Medical Center?,PMC5579150_00007_table0.png,figure,llama4-scout,0,0,0,0,0,0.0,392,5,349.2,3.3e-05,I don't know.,,0,0,0,0,0,0.0,425,5,614.7,3.6e-05,I don't know.,,0,0,0,1,1,1.0,835,5,412.2,6.8e-05,I don't know.,,0,0,0,1,1,1.0,872,177,3386.3,0.000123,The provided text context does not mention Radboud University Medical Center or opportunities for additional funding for undergraduate medical education there. ,
