question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"What is the name of the algorithm proposed for mining informative (feature, value) pairs in coreference resolution?",1708.00160v2.txt,text,llama4-scout,1,1,1,1,1,1.0,387,4,893.3,3.2e-05,EPM.,,1,1,1,1,1,1.0,447,22,712.3,4.2e-05,"The algorithm proposed for mining informative (feature, value) pairs in coreference resolution is called EPM.",,1,1,1,1,1,1.0,564,20,1094.1,5.1e-05,"The name of the algorithm proposed for mining informative (feature, value) pairs is EPM.",,1,1,1,1,1,1.0,628,81,2687.5,7.5e-05,"The algorithm proposed for mining informative (feature, value) pairs in coreference resolution is called EPM. This is stated in the text context: ""We propose an",
What approach is proposed to safely collect demonstrations for training a deep neural network based assistive robot controller?,1603.03833v4.txt,text,llama4-scout,1,1,1,1,1,1.0,363,44,1209.6,4.2e-05,"The approach proposed is to have users demonstrate the tasks to be performed in a virtual environment, and then use these virtual demonstrations to train a deep",,1,1,1,1,1,1.0,427,57,2209.8,5.1e-05,The approach proposed to safely collect demonstrations for training a deep neural network based assistive robot controller is to have users demonstrate the task,,1,1,1,1,1,1.0,591,58,2823.3,6.5e-05,The approach proposed to safely collect demonstrations for training a deep neural network based assistive robot controller is to have the users demonstrate the ,,1,1,1,1,1,1.0,659,57,1886.2,7e-05,The approach proposed to safely collect demonstrations for training a deep neural network based assistive robot controller is to have users demonstrate the task,
What are the two categories into which self-attention mechanisms are divided based on the type of dependency they model?,1805.00912v4.txt,text,llama4-scout,0,0,1,1,1,1.0,447,62,1741.8,5.4e-05,"The two categories are:   1. Token2token self-attention (e.g., Hu et al. (2017); Vaswani et al. (2017); Shen et al. (2018a))   The other category isn't specifie",,1,1,1,1,1,1.0,520,88,2074.0,6.8e-05,"According to the context passage, self-attention mechanisms can be categorized into two classes according to the type of dependency each aims to model:   1. Tok",,1,1,1,1,1,1.0,612,50,1877.8,6.4e-05,The two categories are:  1. Token2token self-attention  2. Source2token self-attention mechanism.   Note that token2token self-attention is also mentioned as mo,,1,1,1,1,1,1.0,689,99,2043.6,8.5e-05,"According to the text context, self-attention mechanisms can be categorized into two classes:   1. Token2token self-attention  2. Source2token self-attention me",
What is the name of the model introduced by Pedarsani et al. in 2011 for studying de-anonymization?,1805.02349v2.txt,text,llama4-scout,1,1,1,1,1,1.0,508,33,1815.8,5.1e-05,"The correlated Erdös-Rényi model, specifically denoted as 𝔾⁡(n,p;γ) or 𝔾𝑛𝑝𝛾.",,1,1,1,1,1,1.0,546,63,1899.4,6.3e-05,"The model introduced by Pedarsani et al. in 2011 for studying de-anonymization is called the correlated Erdös-Rényi model, denoted as 𝔾⁡(n,p;γ)𝔾𝑛𝑝𝛾\operatorname",,1,1,1,1,1,1.0,736,43,2135.5,7.2e-05,"The correlated Erdös-Rényi model, also referred to as 𝔾⁡(n,p;γ)𝔾𝑛𝑝𝛾\operatorname{\mathbb{G}}(n,p;\gamma).",,1,1,1,1,1,1.0,778,63,3681.5,8.1e-05,"The model introduced by Pedarsani et al. in 2011 for studying de-anonymization is called the correlated Erdös-Rényi model, denoted as 𝔾⁡(n,p;γ)𝔾𝑛𝑝𝛾\operatorname",
What is the weight of a loss in the adaptive weighted sum used for anytime neural networks?,1708.06832v3.txt,text,llama4-scout,1,1,1,1,1,1.0,395,26,879.4,3.9e-05,The weight of a loss in the adaptive weighted sum is inversely proportional to the empirical mean of the loss on the training set.,,1,1,1,1,1,1.0,478,21,1269.3,4.5e-05,The weight of a loss is inversely proportional to the empirical mean of the loss on the training set.,,1,1,1,1,1,1.0,598,21,1501.1,5.4e-05,The weight of a loss is inversely proportional to the empirical mean of the loss on the training set.,,1,1,1,1,1,1.0,685,21,632.6,6.1e-05,The weight of a loss is inversely proportional to the empirical mean of the loss on the training set.,
What loss function is proposed for end-to-end F-measure maximization in salient object detection?,1805.07567v2.txt,text,llama4-scout,1,1,1,1,1,1.0,424,10,993.5,3.7e-05,The proposed loss function is named FLoss.,,1,1,1,1,1,1.0,513,49,1718.9,5.6e-05,"The proposed loss function is named FLoss. It is a relaxed F-measure that is differentiable with respect to the predicted posteriors, allowing for end-to-end le",,1,1,1,1,1,1.0,657,66,3075.2,7.2e-05,"The proposed loss function for end-to-end F-measure maximization in salient object detection is named ""FLoss"". It is designed to overcome the non-differentiabil",,1,1,1,1,1,1.0,750,86,2098.4,8.6e-05,The proposed loss function for end-to-end F-measure maximization in salient object detection is named FLoss. It is designed to overcome the non-differentiabilit,
What is the name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction?,1707.01917v2.txt,text,llama4-scout,1,1,1,1,1,1.0,409,4,502.8,3.4e-05,TFBA.,,1,0,1,1,1,1.0,474,4,974.9,3.9e-05,TFBA.,,1,0,1,1,1,1.0,606,3,622.1,4.9e-05,TFBA,,1,1,1,1,1,1.0,675,4,859.9,5.5e-05,TFBA.,
What method does the Multi-X approach use to reduce the label space and speed up energy minimization?,1706.00827v2.txt,text,llama4-scout,1,1,1,1,1,1.0,368,53,1393.5,4.5e-05,"The Multi-X approach uses a new move in the label space: replacement of a set of labels with the corresponding density mode in the model parameter domain, also ",,1,1,1,1,1,1.0,448,53,1986.0,5.2e-05,"The Multi-X approach uses mode seeking in the model parameter domain to reduce the label space and speed up energy minimization. Specifically, it uses a new mov",,1,1,1,1,1,1.0,575,38,1122.1,5.7e-05,"The Multi-X approach uses mode seeking, which involves replacing a set of labels with the corresponding density mode in the model parameter domain, to reduce th",,1,1,1,1,1,1.0,659,49,1752.9,6.7e-05,"The Multi-X approach uses a new move in the label space: replacement of a set of labels with the corresponding density mode in the model parameter domain, also ",
What is the average length of a merge-and-run block when two residual branches are assembled in parallel?,1611.07718v2.txt,text,llama4-scout,0,0,1,1,1,1.0,452,94,3370.4,6.4e-05,The average length of the corresponding merge-and-run block is mentioned alongside the inception-like block:  the average length of the corresponding inception-,,0,0,1,1,1,1.0,530,38,1667.6,5.4e-05,"The average length of the corresponding merge-and-run block is given as  shorter than two residual blocks, which has an average length of 2. However, the exact ",,0,1,0,1,1,1.0,645,83,2374.3,7.7e-05,The average length of two residual blocks is 222. The average lengths of the corresponding inception-like block and merge-and-run block are not explicitly state,,0,1,1,1,1,1.0,727,96,3033.4,8.7e-05,"The average length of two residual blocks is 222. However, when two residual branches are assembled in parallel using an inception-like block or a merge-and-run",
What is the maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle?,1709.02418v2.txt,text,llama4-scout,1,1,1,1,1,1.0,416,38,1344.7,4.5e-05,"According to the context, contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle can submit their guesses up to 5 time",,1,1,1,1,1,1.0,505,29,1610.8,4.9e-05,"According to the context, contestants can submit their guesses up to 5 times per day.   So, the answer is: 5.",,1,1,1,1,1,1.0,634,39,2386.7,6.2e-05,"According to the text context, contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle can submit their guesses up to 5",,1,1,1,1,1,1.0,727,53,2069.1,7.4e-05,"According to the text context, contestants can submit guesses up to 5 times per day in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted b",
What method is proposed to introduce constraints such as smoothness and sparsity into PARAFAC2 modeling?,1803.04572v2.txt,text,llama4-scout,1,1,1,1,1,1.0,380,18,1235.0,3.6e-05,The method proposed is called COnstrained PARAFAC2 method (COPA).,,1,1,1,1,1,1.0,443,33,1184.8,4.5e-05,The method proposed to introduce constraints such as smoothness and sparsity into PARAFAC2 modeling is called the COnstrained PARAFAC2 method (COPA).,,1,1,1,1,1,1.0,614,39,1275.8,6.1e-05,"The proposed method is called COPA, which stands for COnstrained PARAFAC2 method. It introduces various useful constraints in PARAFAC2 modeling, including gener",,1,1,1,1,1,1.0,681,47,1981.7,6.9e-05,"The proposed method is called COPA, which stands for COnstrained PARAFAC2 method. It introduces various useful constraints, including generalized temporal smoot",
What is the name of the representation proposed to explicitly model scene layout for action recognition using semantic segmentation maps?,1804.01429v3.txt,text,llama4-scout,0,1,1,1,1,1.0,350,33,1203.5,3.8e-05,The representation proposed has three components:  1) A semantic component  2) A geometric component.  The text does not provide a specific name for this repres,,1,1,1,1,1,1.0,422,55,1937.4,5e-05,"The proposed representation has three components:  1) A semantic component  2) A geometric component  However, the name of the representation is not explicitly ",,0,1,1,1,1,1.0,551,77,1899.9,6.7e-05,The proposed representation is composed of three components:   1. A semantic component represented by a set of bitmaps used for decomposing features in differen,,0,1,1,1,1,1.0,627,45,1724.0,6.4e-05,The representation proposed to explicitly model scene layout for action recognition using semantic segmentation maps has three components:   1. A semantic compo,
What model is proposed to jointly learn a low-dimension embedding space and a linear mapping function from that space to classification parameters for base classes?,1710.06177v2.txt,text,llama4-scout,1,1,1,1,1,1.0,356,31,1682.7,3.8e-05,The VAGER model is proposed to jointly learn a low-dimension embedding space and a linear mapping function from the embedding space to classification parameters,,1,1,1,1,1,1.0,423,45,1841.6,4.7e-05,The proposed model is called VAGER (Visual Analogy Graph Embedded Regression) model. It is used to jointly learn a low-dimension embedding space and a linear ma,,1,1,1,1,1,1.0,588,43,1165.1,6e-05,The proposed model is called VAGER (Visual Analogy Graph Embedding Regression). It is designed to jointly learn a low-dimension embedding space and a linear map,,1,1,1,1,1,1.0,659,42,1399.0,6.5e-05,The proposed model is called VAGER (Visual Analogy embedded Regression). It is designed to jointly learn a low-dimension embedding space and a linear mapping fu,
What technique is applied to high-level state features to generate binary codes for each state in the proposed informed exploration framework?,1707.00524v2.txt,text,llama4-scout,1,1,1,1,1,1.0,431,24,1396.1,4.2e-05,Locality-sensitive hashing (LSH) is applied to high-level state features to generate binary codes for each state.,,1,1,1,1,1,1.0,503,26,963.8,4.8e-05,Locality-sensitive hashing (LSH) is applied to the high-level state features to generate binary codes to represent each state.,,1,1,1,1,1,1.0,656,24,1037.6,6e-05,The technique applied to high-level state features to generate binary codes for each state is locality-sensitive hashing (LSH).,,1,1,1,1,1,1.0,732,24,1178.4,6.6e-05,The technique applied to high-level state features to generate binary codes for each state is locality-sensitive hashing (LSH).,
