question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"What is the name of the algorithm proposed for mining informative (feature, value) pairs in coreference resolution?",1708.00160v2.txt,text,gpt4o-mini,1,1,1,1,1,1.0,386,21,2585.6,7e-05,"The algorithm proposed for mining informative (feature, value) pairs in coreference resolution is called EPM.",,1,1,1,1,1,1.0,448,23,1191.8,8.1e-05,"The name of the algorithm proposed for mining informative (feature, value) pairs in coreference resolution is EPM.",,1,1,1,1,1,1.0,563,21,1037.9,9.7e-05,"The algorithm proposed for mining informative (feature, value) pairs in coreference resolution is called EPM.",,1,1,1,1,1,1.0,629,23,775.4,0.000108,"The name of the algorithm proposed for mining informative (feature, value) pairs in coreference resolution is EPM.",
What approach is proposed to safely collect demonstrations for training a deep neural network based assistive robot controller?,1603.03833v4.txt,text,gpt4o-mini,1,1,1,1,1,1.0,366,34,797.0,7.5e-05,"The proposed approach is for users to demonstrate the tasks in a virtual environment, which allows for the safe collection of sufficient demonstrations to train",,1,1,1,1,1,1.0,432,33,3089.3,8.5e-05,"The proposed approach is for users to demonstrate tasks in a virtual environment, which allows for the safe collection of sufficient demonstrations to train a d",,1,1,1,1,1,1.0,597,67,1794.3,0.00013,The proposed approach to safely collect demonstrations for training a deep neural network based assistive robot controller is for users to demonstrate the tasks,,1,1,1,1,1,1.0,667,66,1687.6,0.00014,The proposed approach to safely collect demonstrations for training a deep neural network based assistive robot controller involves having users demonstrate the,
What are the two categories into which self-attention mechanisms are divided based on the type of dependency they model?,1805.00912v4.txt,text,gpt4o-mini,1,1,1,1,1,1.0,457,34,835.1,8.9e-05,The two categories into which self-attention mechanisms are divided based on the type of dependency they model are token2token self-attention and source2token s,,1,1,1,1,1,1.0,534,34,989.1,0.0001,The two categories into which self-attention mechanisms are divided based on the type of dependency they model are token2token self-attention and source2token s,,1,1,1,1,1,1.0,626,34,915.1,0.000114,The two categories into which self-attention mechanisms are divided based on the type of dependency they model are token2token self-attention and source2token s,,1,1,1,1,1,1.0,707,34,1042.1,0.000126,The two categories into which self-attention mechanisms are divided based on the type of dependency they model are token2token self-attention and source2token s,
What is the name of the model introduced by Pedarsani et al. in 2011 for studying de-anonymization?,1805.02349v2.txt,text,gpt4o-mini,1,1,1,1,1,1.0,522,76,1176.5,0.000124,"The model introduced by Pedarsani et al. in 2011 for studying de-anonymization is the correlated Erdös-Rényi model, specifically referred to as the 𝔾⁡(n,p;γ)𝔾𝑛𝑝",,1,1,1,1,1,1.0,568,48,1028.4,0.000114,"The model introduced by Pedarsani et al. in 2011 for studying de-anonymization is the 𝔾⁡(n,p;γ)𝔾𝑛𝑝𝛾 model.",,1,1,1,1,1,1.0,755,76,1331.8,0.000159,"The model introduced by Pedarsani et al. in 2011 for studying de-anonymization is the correlated Erdös-Rényi model, specifically referred to as the 𝔾⁡(n,p;γ)𝔾𝑛𝑝",,1,1,1,1,1,1.0,805,49,1125.4,0.00015,"The model introduced by Pedarsani et al. in 2011 for studying de-anonymization is the correlated Erdös-Rényi model, specifically referred to as the 𝔾⁡(n,p;γ) mo",
What is the weight of a loss in the adaptive weighted sum used for anytime neural networks?,1708.06832v3.txt,text,gpt4o-mini,1,1,1,1,1,1.0,396,26,803.6,7.5e-05,The weight of a loss in the adaptive weighted sum is inversely proportional to the empirical mean of the loss on the training set.,,1,1,1,1,1,1.0,485,31,920.6,9.1e-05,The weight of a loss in the adaptive weighted sum used for anytime neural networks is inversely proportional to the empirical mean of the loss on the training s,,1,1,1,1,1,1.0,600,26,674.0,0.000106,The weight of a loss in the adaptive weighted sum is inversely proportional to the empirical mean of the loss on the training set.,,1,1,1,1,1,1.0,693,26,869.2,0.00012,The weight of a loss in the adaptive weighted sum is inversely proportional to the empirical mean of the loss on the training set.,
What loss function is proposed for end-to-end F-measure maximization in salient object detection?,1805.07567v2.txt,text,gpt4o-mini,1,1,1,1,1,1.0,447,22,733.7,8e-05,The proposed loss function for end-to-end F-measure maximization in salient object detection is named FLoss.,,1,1,1,1,1,1.0,538,22,901.6,9.4e-05,The proposed loss function for end-to-end F-measure maximization in salient object detection is named FLoss.,,1,1,1,1,1,1.0,682,22,1221.6,0.000115,The proposed loss function for end-to-end F-measure maximization in salient object detection is named FLoss.,,1,1,1,1,1,1.0,777,22,966.4,0.00013,The proposed loss function for end-to-end F-measure maximization in salient object detection is named FLoss.,
What is the name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction?,1707.01917v2.txt,text,gpt4o-mini,1,1,1,1,1,1.0,414,21,884.1,7.5e-05,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,,1,1,1,1,1,1.0,483,21,904.1,8.5e-05,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,,1,1,1,1,1,1.0,627,21,754.4,0.000107,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,,1,1,1,1,1,1.0,700,21,3885.1,0.000118,The name of the tensor factorization-based method proposed for Higher-order Relation Schema Induction is TFBA.,
What method does the Multi-X approach use to reduce the label space and speed up energy minimization?,1706.00827v2.txt,text,gpt4o-mini,1,1,1,1,1,1.0,372,29,884.2,7.3e-05,The Multi-X approach uses a new move in the label space: replacing a set of labels with the corresponding density mode in the model parameter domain.,,1,1,1,1,1,1.0,455,44,1154.3,9.5e-05,"The Multi-X approach uses a new move in the label space, specifically the replacement of a set of labels with the corresponding density mode in the model parame",,1,1,1,1,1,1.0,583,34,1025.1,0.000108,The Multi-X approach uses a new move in the label space: replacing a set of labels corresponding to model instances by the mode of the density in the model para,,1,1,1,1,1,1.0,670,34,979.1,0.000121,The Multi-X approach uses a new move in the label space: replacing a set of labels corresponding to model instances by the mode of the density in the model para,
What is the average length of a merge-and-run block when two residual branches are assembled in parallel?,1611.07718v2.txt,text,gpt4o-mini,1,0,1,1,1,1.0,471,4,561.2,7.3e-05,I don't know.,,1,0,1,1,1,1.0,551,4,703.3,8.5e-05,I don't know.,,1,0,1,1,1,1.0,665,4,510.0,0.000102,I don't know.,,1,0,1,1,1,1.0,749,4,545.0,0.000115,I don't know.,
What is the maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle?,1709.02418v2.txt,text,gpt4o-mini,1,1,1,1,1,1.0,416,35,1972.9,8.3e-05,The maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle is 5 times ,,1,1,1,1,1,1.0,508,35,1457.4,9.7e-05,The maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle is 5 times ,,1,1,1,1,1,1.0,633,35,785.9,0.000116,The maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle is 5 times ,,1,1,1,1,1,1.0,729,35,2014.9,0.00013,The maximum number of daily submissions allowed for contestants in the 2017 Intel & MobileODT Cervical Cancer Screening competition hosted by Kaggle is 5 times ,
