question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
Are Bamboo Mañalac and Danny Jones both musicians?,Bamboo_Manalac_c064bb.txt|Danny_Jones.txt,hotpot_comparison,gemini-flash-lite,0,0,1,0.5,0,1.0,327,6,609.2,3.5e-05,I don't know.,,0,0,1,0.5,0,1.0,412,6,494.4,4.4e-05,I don't know.,,1,1,1,1.0,1,1.0,454,23,616.7,5.5e-05,"Yes, both are musicians. Bamboo Mañalac is a Filipino American musician and Danny Jones is a British musician.",
"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",Battle_of_Manila_1945.txt|Seven_Days_Battles.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,326,43,598.5,5e-05,"The Seven Days Battles were fought earlier, as they took place in 1862 during the American Civil War, while the Battle of Manila took place in 1945 during the S",,1,1,1,1.0,1,1.0,444,55,751.0,6.6e-05,"The Seven Days Battles were fought earlier in history, occurring from June 25 to July 1, 1862, while the Battle of Manila occurred from February 3, 1945, to Mar",,1,1,1,1.0,1,1.0,499,51,568.1,7e-05,"The Seven Days Battles were fought earlier in history (June 25 to July 1, 1862) than the Battle of Manila (February 3, 1945 – March 3, 1945).",
Are Yingkou and Fuding the same level of city?,Fuding.txt|Yingkou.txt,hotpot_comparison,gemini-flash-lite,1,0,1,0.5,0,1.0,252,32,640.2,3.8e-05,"I don't know. The provided context states that Yingkou is a prefecture-level city, but it does not specify the administrative level of Fuding.",,1,0,1,0.5,0,1.0,344,32,580.5,4.7e-05,"I don't know. The provided information states that Yingkou is a prefecture-level city, but it does not specify the administrative level of Fuding.",,1,1,1,1.0,1,1.0,380,27,628.5,4.9e-05,"No. According to the provided text, Yingkou is a prefecture-level city, while Fuding is a county-level city.",
Are Hot Rod and The Memory of Our People both magazines?,Hot_Rod_magazine.txt|The_Memory_of_Our_People.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,228,6,496.0,2.5e-05,"Yes, both are magazines.",,1,1,1,1.0,1,1.0,313,14,518.2,3.7e-05,"Yes, both Hot Rod and The Memory of Our People are magazines.",,1,0,1,1.0,1,1.0,293,6,545.1,3.2e-05,"Yes, both are magazines.",
"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Henri_Bergson.txt|Thomas_Friedman.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,287,22,483.6,3.8e-05,Thomas Friedman has won three Pulitzer Prizes. The provided text does not mention Henri Bergson winning any Pulitzer Prizes.,,1,1,1,1.0,1,1.0,307,22,519.5,3.9e-05,Thomas Friedman has won three Pulitzer Prizes. The provided context does not mention Henri Bergson winning any Pulitzer Prizes.,,1,1,1,1.0,1,1.0,536,22,528.5,6.2e-05,Thomas Friedman has won three Pulitzer Prizes. The provided context does not mention Henri Bergson winning any Pulitzer Prizes.,
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,Elko_Regional_Airport.txt|Gerald_R._Ford_International_Airport.txt,hotpot_comparison,gemini-flash-lite,1,0,1,0.5,0,1.0,300,17,702.3,3.7e-05,I don't know. The provided context does not mention Elko Regional Airport.,,0,0,1,0.5,0,1.0,411,24,613.4,5.1e-05,I don't know. The provided context and knowledge-graph facts do not contain information regarding Elko Regional Airport.,,1,0,1,1.0,1,1.0,469,27,587.3,5.8e-05,"No. Gerald R. Ford International Airport is located in Michigan, but Elko Regional Airport is located in Elko County, Nevada.",
Are Freakonomics and In the Realm of the Hackers both American documentaries?,Freakonomics_film.txt|In_the_Realm_of_the_Hackers.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,402,36,664.7,5.5e-05,"No. According to the provided text, *Freakonomics: The Movie* is an American documentary, while *In The Realm of the Hackers* is an Australian documentary.",,1,0,1,1.0,1,1.0,452,36,567.4,6e-05,"No. According to the provided text, *Freakonomics: The Movie* is an American documentary, but *In the Realm of the Hackers* is an Australian documentary.",,1,0,1,1.0,1,1.0,581,33,615.6,7.1e-05,"No. According to the provided text, *Freakonomics* is an American documentary, but *In the Realm of the Hackers* is an Australian documentary.",
"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters_to_Cleo.txt|Screaming_Trees.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,311,67,682.0,5.8e-05,"Letters to Cleo had more members. Letters to Cleo had six members (Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and Tom Polce), wh",,1,0,1,1.0,1,1.0,386,74,679.8,6.8e-05,"Based on the provided text, Letters to Cleo had six members (Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and Tom Polce). Screamin",,1,1,1,1.0,1,1.0,535,74,745.2,8.3e-05,"Based on the provided text, Letters to Cleo had six members (Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and Tom Polce). Screamin",
"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Lev_Yilmaz.txt|Pamela_B._Green.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,287,18,587.7,3.6e-05,Lev Yilmaz is known for his “Tales of Mere Existence” animated comic series.,,1,0,1,1.0,1,1.0,356,12,476.4,4e-05,Lev Yilmaz is known for his animated comic series.,,1,0,1,1.0,1,1.0,404,18,629.5,4.8e-05,Lev Yilmaz is known for his “Tales of Mere Existence” animated comic series.,
Do the drinks Gibson and Zurracapote both contain gin?,Gibson_cocktail.txt|Zurracapote.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,1.0,222,35,534.8,3.6e-05,"No. According to the provided text, the Gibson is made with gin and vermouth, while Zurracapote consists of red wine, fruit, sugar, and cinnamon.",,1,1,1,1.0,1,1.0,307,54,655.7,5.2e-05,"No, I don't know if Zurracapote contains gin. According to the provided text and facts, Zurracapote consists of red wine, fruit, sugar, and cinnamon. The provid",,1,1,1,1.0,1,1.0,369,35,636.5,5.1e-05,"No. According to the provided text, the Gibson is made with gin and vermouth, while Zurracapote consists of red wine, fruit, sugar, and cinnamon.",
Are Daryl Hall and Gerry Marsden both musicians?,Daryl_Hall.txt|Gerry_Marsden.txt,hotpot_comparison,gemini-flash-lite,1,1,1,1.0,1,0.5,279,38,659.5,4.3e-05,"Yes, both are musicians. Daryl Hall is an American rock, R&B, and soul singer, keyboardist, guitarist, songwriter, and producer. Gerry Marsden is an English mus",,1,1,1,1.0,1,0.5,359,35,566.5,5e-05,"Yes, Daryl Hall is an American rock, R&B, and soul singer, keyboardist, guitarist, songwriter, and producer, and Gerry Marsden is an English musician.",,1,1,1,1.0,1,0.5,516,25,612.4,6.2e-05,"Yes, Daryl Hall is an American rock, R&B, and soul singer, and Gerry Marsden is an English musician.",
