question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
Are Bamboo Mañalac and Danny Jones both musicians?,Bamboo_Manalac_c064bb.txt|Danny_Jones.txt,hotpot_comparison,gpt4o-mini,0,0,1,0.5,0,1.0,321,4,1306.7,5.1e-05,I don't know.,,0,0,1,0.5,0,1.0,399,4,806.5,6.2e-05,I don't know.,,1,1,1,1.0,1,1.0,444,14,1061.8,7.5e-05,"Yes, both Bamboo Mañalac and Danny Jones are musicians.",
"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",Battle_of_Manila_1945.txt|Seven_Days_Battles.txt,hotpot_comparison,gpt4o-mini,1,1,1,1.0,1,1.0,310,48,977.1,7.5e-05,"The Seven Days Battles were fought earlier in our nation's history, as they occurred from June 25 to July 1, 1862, while the Battle of Manila took place from Fe",,1,1,1,1.0,1,1.0,422,44,985.2,9e-05,"The Seven Days Battles were fought earlier in our nation's history, from June 25 to July 1, 1862, while the Battle of Manila occurred from February 3 to March 3",,1,1,1,1.0,1,1.0,468,44,1365.0,9.7e-05,"The Seven Days Battles were fought earlier in our nation's history, from June 25 to July 1, 1862, while the Battle of Manila occurred from February 3 to March 3",
Are Yingkou and Fuding the same level of city?,Fuding.txt|Yingkou.txt,hotpot_comparison,gpt4o-mini,1,1,1,0.5,0,1.0,241,22,894.2,4.9e-05,"No, Yingkou is a prefecture-level city, while Fuding is a subdistrict of a city.",,1,1,1,0.5,0,1.0,326,29,992.7,6.6e-05,"No, Yingkou is a prefecture-level city, while Fuding is a city. Therefore, they are not the same level of city.",,1,1,1,1.0,1,1.0,362,20,753.1,6.6e-05,"No, Yingkou is a prefecture-level city, while Fuding is a county-level city.",
Are Hot Rod and The Memory of Our People both magazines?,Hot_Rod_magazine.txt|The_Memory_of_Our_People.txt,hotpot_comparison,gpt4o-mini,1,1,1,1.0,1,1.0,215,14,599.6,4.1e-05,"Yes, both Hot Rod and The Memory of Our People are magazines.",,1,1,1,1.0,1,1.0,297,14,710.1,5.3e-05,"Yes, both Hot Rod and The Memory of Our People are magazines.",,1,1,1,1.0,1,1.0,273,14,885.9,4.9e-05,"Yes, both Hot Rod and The Memory of Our People are magazines.",
"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Henri_Bergson.txt|Thomas_Friedman.txt,hotpot_comparison,gpt4o-mini,1,1,1,1.0,1,1.0,267,31,683.3,5.9e-05,"Thomas Friedman has won more Pulitzer Prizes, as he is a three-time Pulitzer Prize winner, while Henri Bergson has not won any Pulitzer Prizes.",,1,1,1,1.0,1,1.0,287,34,917.5,6.3e-05,"Thomas Friedman has won more Pulitzer Prizes, as he is a three-time Pulitzer Prize winner, while there is no mention of Henri Bergson winning any Pulitzer Prize",,1,1,1,1.0,1,1.0,510,31,1200.4,9.5e-05,"Thomas Friedman has won more Pulitzer Prizes, as he is a three-time Pulitzer Prize winner, while Henri Bergson has not won any Pulitzer Prizes.",
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,Elko_Regional_Airport.txt|Gerald_R._Ford_International_Airport.txt,hotpot_comparison,gpt4o-mini,1,0,1,0.5,0,1.0,294,4,504.2,4.6e-05,I don't know.,,1,0,1,0.5,0,1.0,405,4,475.5,6.3e-05,I don't know.,,1,0,1,1.0,1,1.0,464,23,677.8,8.3e-05,"No, only Gerald R. Ford International Airport is located in Michigan. Elko Regional Airport is located in Nevada.",
Are Freakonomics and In the Realm of the Hackers both American documentaries?,Freakonomics_film.txt|In_the_Realm_of_the_Hackers.txt,hotpot_comparison,gpt4o-mini,1,1,1,1.0,1,1.0,388,23,634.4,7.2e-05,"No, only Freakonomics is an American documentary. In the Realm of the Hackers is an Australian documentary.",,1,0,1,1.0,1,1.0,434,23,682.5,7.9e-05,"No, In the Realm of the Hackers is an Australian documentary, while Freakonomics is an American documentary.",,1,1,1,1.0,1,1.0,561,23,700.6,9.8e-05,"No, Freakonomics is an American documentary, but In the Realm of the Hackers is an Australian documentary.",
"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters_to_Cleo.txt|Screaming_Trees.txt,hotpot_comparison,gpt4o-mini,0,1,1,1.0,1,1.0,301,58,1049.6,8e-05,"Screaming Trees had more members, as it originally consisted of four members (Mark Lanegan, Gary Lee Conner, Van Conner, and Mark Pickerel) and later included B",,1,0,1,1.0,1,1.0,376,31,728.0,7.5e-05,"Letters to Cleo had six members, while Screaming Trees had four members (with one member replaced). Therefore, Letters to Cleo had more members.",,0,1,1,1.0,1,1.0,512,45,752.7,0.000104,"Screaming Trees had more members, with four original members (Mark Lanegan, Gary Lee Conner, Van Conner, and Mark Pickerel) and later Barrett Martin, while Lett",
"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Lev_Yilmaz.txt|Pamela_B._Green.txt,hotpot_comparison,gpt4o-mini,1,1,1,1.0,1,1.0,281,9,738.4,4.8e-05,Lev Yilmaz is known for animation.,,1,0,1,1.0,1,1.0,348,9,761.0,5.8e-05,Lev Yilmaz is known for animation.,,1,0,1,1.0,1,1.0,395,9,501.6,6.5e-05,Lev Yilmaz is known for animation.,
Do the drinks Gibson and Zurracapote both contain gin?,Gibson_cocktail.txt|Zurracapote.txt,hotpot_comparison,gpt4o-mini,1,1,1,1.0,1,1.0,219,23,1035.3,4.7e-05,"No, only the Gibson contains gin. Zurracapote consists of red wine and does not contain gin.",,1,1,1,1.0,1,1.0,307,42,1257.7,7.1e-05,"No, Zurracapote does not contain gin; it consists of red wine mixed with fruit, sugar, and cinnamon. The Gibson, on the other hand, is made with gin and vermout",,1,1,1,1.0,1,1.0,362,32,1001.6,7.3e-05,"No, only the Gibson contains gin. Zurracapote consists of red wine mixed with fruit, sugar, and cinnamon, but does not contain gin.",
Are Daryl Hall and Gerry Marsden both musicians?,Daryl_Hall.txt|Gerry_Marsden.txt,hotpot_comparison,gpt4o-mini,1,1,1,1.0,1,0.5,272,13,540.8,4.9e-05,"Yes, Daryl Hall and Gerry Marsden are both musicians.",,1,1,1,1.0,1,0.5,351,13,593.2,6e-05,"Yes, Daryl Hall and Gerry Marsden are both musicians.",,1,1,1,1.0,1,0.5,496,13,841.0,8.2e-05,"Yes, Daryl Hall and Gerry Marsden are both musicians.",
